Station,Stn_name,Stn_code,Fuel,Long,Lat,X,Y,LongDD.LatDD,State,Capacity_MW,X.DEC,Y.DEC
Anta GPS,Anta GPS,ANTA,Gas,76 19 08E,25 10 47N,76 19 08,25 10 47,"76 19 08,25 10 47",Rajasthan,419,76.31888889,25.17972222
Auraiya GPS,Auraiya GPS,AURAIYA,Gas,79 39 41E,26 37 50N,79 39 41,26 37 50,"79 39 41,26 37 50",UP,663,79.66138889,26.63055556
Chamera HPS,Chamera HPS,CHAMERA,Hydro,75 59 09E,32 35 50N,75 59 09,32 35 50,"75 59 09,32 35 50",HP,1071,75.98583333,32.59722222
Dadri NCGPS,Dadri NCGPS,DADRI_GPP,Gas,77 36 25E,28 36 04N,77 36 25,28 36 04,"77 36 25,28 36 04",UP,830,77.60694444,28.60111111
Dadri NCTPS,Dadri NCTPS,DADRI_TPS,Coal,77 36 25E,28 36 04N,77 36 25,28 36 04,"77 36 25,28 36 04",UP,1820,77.60694444,28.60111111
Dhauliganga HEP,Dhauliganga HEP,DHAULIGANGA,Hydro,80 37E,29 58N,80 37 00,29 58 00,"80 37,29 58",Uttarakhand,280,80.61666667,29.96666667
Farakka STPS,Farakka STPS,Farakka STPS,Coal,87 53 43E,24 46 23N,87 53 43,24 46 23,"87 53 43,24 46 23",West Bengal,113,87.89527778,24.77305556
Kahalgaon I STPS,Kahalgaon I STPS,Kahalgaon I STPS,Coal,87 15 48E,25 14 34N,87 15 48,25 14 34,"87 15 48,25 14 34",Bihar,261,87.26333333,25.24277778
Kahalgaon II STPS,Kahalgaon II STPS,Kahalgaon II STPS,Coal,87 15 48E,25 14 34N,87 15 48,25 14 34,"87 15 48,25 14 34",Bihar,841,87.26333333,25.24277778
Nathpa Jhakri HPS,Nathpa Jhakri HPS $,NATHPA JHAKRI,Hydro,77 58 49E,31 33 50N,77 58 49,31 33 50,"77 58 49,31 33 50",HP,1500,77.98027778,31.56388889
Rihand STPS,Rihand STPS,RIHAND,Coal,82 47 28E,24 01 39N,82 47 28,24 01 39,"82 47 28,24 01 39",UP,2000,82.79111111,24.0275
Salal HPS,Salal HPS,SALAL,Hydro,74 48 27E,33 8 26N,74 48 27,33 8 26,"74 48 27,33 8 26",Jammu & Kashmir,690,74.8075,33.14055556
Singrauli STPS,Singrauli STPS,SINGRAULI,Coal,82 42 27E,24 06 16N,82 42 27,24 06 16,"82 42 27,24 06 16",UP,2000,82.7075,24.10444444
Tanakpur HPS,Tanakpur HPS,TANAKPUR,Hydro,81 23E,27 21N,81 23 00,27 21 00,"81 23,27 21",Uttarakhand,94,81.38333333,27.35
Tehri I HEP,Tehri Stage - I (4 Units),TEHRI,Hydro,78 28 50E,30 22 40N,78 28 50,30 22 40,"78 28 50,30 22 40",Uttarakhand,1000,78.48055556,30.37777778
Unchahar I TPS,Unchahar - I TPS,UNCHAHAR-I,Coal,81 19 33E,25 54 52N,81 19 33,25 54 52,"81 19 33,25 54 52",UP,420,81.32583333,25.91444444
Unchahar II TPS,Unchahar - II TPS,UNCHAHAR-II,Coal,81 19 33E,25 54 52N,81 19 33,25 54 52,"81 19 33,25 54 52",UP,420,81.32583333,25.91444444
Unchahar III TPS,Unchahar - III TPS (Unit 5),UNCHAHAR-III,Coal,81 19 33E,25 54 52N,81 19 33,25 54 52,"81 19 33,25 54 52",UP,210,81.32583333,25.91444444
Uri HPS,Uri HPS,URI,Hydro,74 11 08E,34 08 40N,74 11 08,34 08 40,"74 11 08,34 08 40",Jammu & Kashmir,480,74.18555556,34.14444444
Baira Siul HPS,Baira Siul HPS,BAIRASIUL,Hydro,76.14178E,32.8063N,76.14178,32.8063,,HP,180,76.14178,32.8063
Dulhasti HEP *,Dulhasti HEP *,DULHASTI,Hydro,75.798711776733E,33.368025970561N,75.79871178,33.36802597,,Jammu & Kashmir,390,75.79871178,33.36802597
Indira Gandhi STPS (Jhajjar) (Unit 1&2) (##),Indira Gandhi STPS (Jhajjar) (Unit 1&2) (##),JHAJJAR,Coal,76.3754E,28.4849N,76.3754,28.4849,,Haryana,1000,76.3754,28.4849
"Koteshwar HEPS (Unit 1,2,3 & 4)","Koteshwar HEPS (Unit 1,2,3 & 4)",KOTESHWAR,Hydro,78.4971E,30.25944N,78.4971,30.25944,,Uttarakhand,400,78.4971,30.25944
NAPS (Narora Atomic Power Station),NAPS (Narora Atomic Power Station),NAPP,Nuclear,78.4094E,28.1581N,78.4094,28.1581,,UP,440,78.4094,28.1581
RAPP (Rajasthan Atomic Power Project),RAPP (Rajasthan Atomic Power Project),RAPP,Nuclear,75.6139E,24.8722N,75.6139,24.8722,,Rajasthan,1080,75.6139,24.8722
Sewa - II HEP (3 units),Sewa - II HEP (3 units),SEWA-II,Hydro,78.8215N,32.6762N,78.8215,32.6762,,Jammu & Kashmir,120,78.8215,32.6762
