YR,M,D,HR,LAT,LONG,ELEV,WIND.DIR,WIND.SPD,TEMP,DEW.POINT,city
2010,1,1,0,5.6,-0.167,69,220,2.6,27.8,25.7,Accra
2010,1,1,1,5.6,-0.167,69,999,0,28,26,Accra
2010,1,1,3,5.6,-0.167,69,999,0,26.5,24.8,Accra
2010,1,1,4,5.6,-0.167,69,999,0,27,25,Accra
2010,1,1,5,5.6,-0.167,69,999,0,26,24,Accra
2010,1,1,6,5.6,-0.167,69,300,1.5,26,24.3,Accra
2010,1,1,7,5.6,-0.167,69,270,3.1,26,24,Accra
2010,1,1,8,5.6,-0.167,69,270,3.1,27,25,Accra
2010,1,1,9,5.6,-0.167,69,250,2.6,28,24.9,Accra
2010,1,1,10,5.6,-0.167,69,270,2.6,30,25,Accra
2010,1,1,11,5.6,-0.167,69,270,2.6,31,27,Accra
2010,1,1,12,5.6,-0.167,69,220,2.1,32,23,Accra
2010,1,1,13,5.6,-0.167,69,210,6.2,32,23,Accra
2010,1,1,14,5.6,-0.167,69,210,5.1,31,24,Accra
2010,1,1,15,5.6,-0.167,69,190,6.7,31,24.2,Accra
2010,1,1,16,5.6,-0.167,69,210,6.2,31,24,Accra
2010,1,1,17,5.6,-0.167,69,210,5.1,30,24,Accra
2010,1,1,18,5.6,-0.167,69,210,5.1,29,25.2,Accra
2010,1,1,19,5.6,-0.167,69,220,5.1,29,25,Accra
2010,1,1,20,5.6,-0.167,69,210,5.1,29,25,Accra
2010,1,1,21,5.6,-0.167,69,230,2.6,28.4,25.2,Accra
2010,1,1,22,5.6,-0.167,69,270,3.1,28,26,Accra
2010,1,1,23,5.6,-0.167,69,270,2.6,28,26,Accra
2010,1,2,0,5.6,-0.167,69,280,1,27.5,25.2,Accra
2010,1,2,1,5.6,-0.167,69,999,0,27,25,Accra
2010,1,2,2,5.6,-0.167,69,290,1,27,25,Accra
2010,1,2,5,5.6,-0.167,69,270,2.6,27,24,Accra
2010,1,2,6,5.6,-0.167,69,280,4.1,26,24.3,Accra
2010,1,2,7,5.6,-0.167,69,280,1.5,26,24,Accra
2010,1,2,8,5.6,-0.167,69,290,2.6,26,24,Accra
2010,1,2,9,5.6,-0.167,69,280,3.1,27.5,24.1,Accra
2010,1,2,10,5.6,-0.167,69,280,4.1,29,24,Accra
2010,1,2,11,5.6,-0.167,69,210,4.1,31,23,Accra
2010,1,2,12,5.6,-0.167,69,280,1,32,23.2,Accra
2010,1,2,13,5.6,-0.167,69,200,6.7,32,23,Accra
2010,1,2,14,5.6,-0.167,69,180,6.7,32,23,Accra
2010,1,2,15,5.6,-0.167,69,190,7.2,31.5,22.6,Accra
2010,1,2,16,5.6,-0.167,69,200,6.7,30,24,Accra
2010,1,2,17,5.6,-0.167,69,200,6.2,30,25,Accra
2010,1,2,18,5.6,-0.167,69,210,5.1,28.7,25.3,Accra
2010,1,2,19,5.6,-0.167,69,210,5.1,28,25,Accra
2010,1,2,20,5.6,-0.167,69,220,2.1,28,26,Accra
2010,1,2,21,5.6,-0.167,69,220,2.6,28,25.6,Accra
2010,1,2,22,5.6,-0.167,69,999,0,28,26,Accra
2010,1,2,23,5.6,-0.167,69,999,0,28,26,Accra
2010,1,3,0,5.6,-0.167,69,999,0,27.5,25.4,Accra
2010,1,3,1,5.6,-0.167,69,999,0,27,25,Accra
2010,1,3,2,5.6,-0.167,69,999,0,27,25,Accra
2010,1,3,3,5.6,-0.167,69,999,0,26.5,25.1,Accra
2010,1,3,4,5.6,-0.167,69,999,0,26,25,Accra
2010,1,3,5,5.6,-0.167,69,999,0,26,25,Accra
2010,1,3,6,5.6,-0.167,69,634.5,0.25,25.9,24.5,Accra
2010,1,3,7,5.6,-0.167,69,999,0,26,24,Accra
2010,1,3,8,5.6,-0.167,69,280,4.1,27,25,Accra
2010,1,3,9,5.6,-0.167,69,280,4.1,28.2,25,Accra
2010,1,3,10,5.6,-0.167,69,290,4.1,30,24,Accra
2010,1,3,11,5.6,-0.167,69,270,4.1,31,23,Accra
2010,1,3,12,5.6,-0.167,69,200,5.1,32.5,22.2,Accra
2010,1,3,13,5.6,-0.167,69,210,6.7,33,23,Accra
2010,1,3,14,5.6,-0.167,69,180,7.2,33,24,Accra
2010,1,3,15,5.6,-0.167,69,190,7.7,31.8,23,Accra
2010,1,3,16,5.6,-0.167,69,180,7.2,31,23,Accra
2010,1,3,17,5.6,-0.167,69,210,7.2,30,25,Accra
2010,1,3,18,5.6,-0.167,69,210,6.2,29,25.2,Accra
2010,1,3,19,5.6,-0.167,69,220,5.1,29,25,Accra
2010,1,3,20,5.6,-0.167,69,210,6.2,29,25,Accra
2010,1,3,21,5.6,-0.167,69,200,5.1,28.6,24.9,Accra
2010,1,3,22,5.6,-0.167,69,210,5.7,29,25,Accra
2010,1,3,23,5.6,-0.167,69,220,4.1,28,25,Accra
2010,1,4,0,5.6,-0.167,69,220,5.1,28,24.9,Accra
2010,1,4,1,5.6,-0.167,69,260,5.1,28,25,Accra
2010,1,4,3,5.6,-0.167,69,250,4.1,27.4,24.9,Accra
2010,1,4,4,5.6,-0.167,69,270,2.6,27,24.9,Accra
2010,1,4,5,5.6,-0.167,69,290,1,27,25,Accra
2010,1,4,6,5.6,-0.167,69,280,1,26.5,24.7,Accra
2010,1,4,7,5.6,-0.167,69,290,2.6,26,25,Accra
2010,1,4,8,5.6,-0.167,69,280,2.6,27,25,Accra
2010,1,4,9,5.6,-0.167,69,290,3.1,28,24.9,Accra
2010,1,4,10,5.6,-0.167,69,270,4.6,30,24,Accra
2010,1,4,11,5.6,-0.167,69,300,3.6,31,24,Accra
2010,1,4,12,5.6,-0.167,69,270,3.6,32,23.2,Accra
2010,1,4,13,5.6,-0.167,69,190,7.2,32,24,Accra
2010,1,4,14,5.6,-0.167,69,210,7.7,33,23,Accra
2010,1,4,15,5.6,-0.167,69,200,7.7,31.3,23.6,Accra
2010,1,4,16,5.6,-0.167,69,210,8.2,31,24,Accra
2010,1,4,17,5.6,-0.167,69,210,8.7,30,24,Accra
2010,1,4,18,5.6,-0.167,69,230,5.1,29,24.5,Accra
2010,1,4,19,5.6,-0.167,69,230,5.7,29,25,Accra
2010,1,4,20,5.6,-0.167,69,220,5.7,29,25,Accra
2010,1,4,21,5.6,-0.167,69,230,5.1,28.5,24.8,Accra
2010,1,4,22,5.6,-0.167,69,240,5.1,29,25,Accra
2010,1,4,23,5.6,-0.167,69,230,5.1,28,25,Accra
2010,1,5,0,5.6,-0.167,69,270,2.6,28,24.9,Accra
2010,1,5,1,5.6,-0.167,69,260,1.5,28,25,Accra
2010,1,5,2,5.6,-0.167,69,280,1.5,27,25,Accra
2010,1,5,3,5.6,-0.167,69,270,2.1,26.8,24.7,Accra
2010,1,5,4,5.6,-0.167,69,270,2.6,27,25,Accra
2010,1,5,5,5.6,-0.167,69,280,1.5,26,25,Accra
2010,1,5,6,5.6,-0.167,69,300,2.6,26,24.3,Accra
2010,1,5,7,5.6,-0.167,69,280,2.6,26,24,Accra
2010,1,5,8,5.6,-0.167,69,270,5.1,27,24,Accra
2010,1,5,9,5.6,-0.167,69,280,5.1,28,24.2,Accra
2010,1,5,10,5.6,-0.167,69,270,5.1,30,24,Accra
2010,1,5,11,5.6,-0.167,69,270,5.1,31,23,Accra
2010,1,5,12,5.6,-0.167,69,280,5.7,32,23.2,Accra
2010,1,5,13,5.6,-0.167,69,240,5.1,33,23,Accra
2010,1,5,14,5.6,-0.167,69,220,5.7,32,26,Accra
2010,1,5,15,5.6,-0.167,69,210,7.2,31.7,24.1,Accra
2010,1,5,16,5.6,-0.167,69,220,6.2,32,24,Accra
2010,1,5,17,5.6,-0.167,69,240,7.7,31,24,Accra
2010,1,5,18,5.6,-0.167,69,210,5.1,29.5,24.3,Accra
2010,1,5,19,5.6,-0.167,69,220,7.7,29,25,Accra
2010,1,5,20,5.6,-0.167,69,240,5.1,29,25,Accra
2010,1,5,21,5.6,-0.167,69,220,6.7,28.6,24.7,Accra
2010,1,5,23,5.6,-0.167,69,999,999.9,29,25,Accra
2010,1,6,0,5.6,-0.167,69,999,999.9,28,25,Accra
2010,1,6,3,5.6,-0.167,69,300,5.1,26,24,Accra
2010,1,6,4,5.6,-0.167,69,280,2.6,26,24,Accra
2010,1,6,6,5.6,-0.167,69,280,4.6,26,23,Accra
2010,1,6,7,5.6,-0.167,69,290,5.7,26,23,Accra
2010,1,6,8,5.6,-0.167,69,280,5.1,27,23,Accra
2010,1,6,9,5.6,-0.167,69,270,5.1,27.4,23.7,Accra
2010,1,6,10,5.6,-0.167,69,280,5.1,29,24,Accra
2010,1,6,11,5.6,-0.167,69,270,3.1,30,24,Accra
2010,1,6,12,5.6,-0.167,69,270,5.1,31.4,23.2,Accra
2010,1,6,13,5.6,-0.167,69,250,5.1,32,23,Accra
2010,1,6,14,5.6,-0.167,69,240,4.1,32,24,Accra
2010,1,6,15,5.6,-0.167,69,210,7.2,31.5,23.9,Accra
2010,1,6,16,5.6,-0.167,69,220,6.7,31,24,Accra
2010,1,6,17,5.6,-0.167,69,240,6.2,30,24,Accra
2010,1,6,18,5.6,-0.167,69,210,6.2,29,23.8,Accra
2010,1,6,19,5.6,-0.167,69,230,7.2,29,25,Accra
2010,1,6,20,5.6,-0.167,69,240,5.1,29,25,Accra
2010,1,6,21,5.6,-0.167,69,230,5.7,28.4,25,Accra
2010,1,6,22,5.6,-0.167,69,240,5.1,28,25,Accra
2010,1,6,23,5.6,-0.167,69,220,5.1,28,25,Accra
2010,1,7,0,5.6,-0.167,69,270,4.1,28,25.2,Accra
2010,1,7,1,5.6,-0.167,69,270,5.1,28,25,Accra
2010,1,7,2,5.6,-0.167,69,270,2.6,27,25,Accra
2010,1,7,3,5.6,-0.167,69,270,2.6,26.5,24.1,Accra
2010,1,7,4,5.6,-0.167,69,270,1.5,27,24,Accra
2010,1,7,5,5.6,-0.167,69,270,4.1,26,24,Accra
2010,1,7,6,5.6,-0.167,69,270,3.1,26,24.3,Accra
2010,1,7,7,5.6,-0.167,69,270,5.1,26,24,Accra
2010,1,7,8,5.6,-0.167,69,280,5.1,26,23,Accra
2010,1,7,9,5.6,-0.167,69,280,4.6,27.1,23.5,Accra
2010,1,7,10,5.6,-0.167,69,270,4.1,29,23,Accra
2010,1,7,11,5.6,-0.167,69,270,3.1,30,23,Accra
2010,1,7,12,5.6,-0.167,69,290,3.1,31.4,23.5,Accra
2010,1,7,13,5.6,-0.167,69,240,6.2,32,24,Accra
2010,1,7,14,5.6,-0.167,69,220,7.2,32,24,Accra
2010,1,7,15,5.6,-0.167,69,220,7.2,31,24.3,Accra
2010,1,7,16,5.6,-0.167,69,210,7.7,31,24,Accra
2010,1,7,17,5.6,-0.167,69,220,7.2,30,24,Accra
2010,1,7,18,5.6,-0.167,69,230,5.7,29,24.6,Accra
2010,1,7,19,5.6,-0.167,69,220,6.7,29,25,Accra
2010,1,7,20,5.6,-0.167,69,230,5.1,29,25,Accra
2010,1,7,21,5.6,-0.167,69,220,5.1,28.5,25.4,Accra
2010,1,7,22,5.6,-0.167,69,220,5.1,29,25,Accra
2010,1,7,23,5.6,-0.167,69,210,5.1,28,26,Accra
2010,1,8,0,5.6,-0.167,69,220,5.1,28,25.2,Accra
2010,1,8,1,5.6,-0.167,69,260,2.6,28,25,Accra
2010,1,8,2,5.6,-0.167,69,240,5.1,27,24,Accra
2010,1,8,3,5.6,-0.167,69,240,5.1,27,23.9,Accra
2010,1,8,4,5.6,-0.167,69,999,0,27,24,Accra
2010,1,8,5,5.6,-0.167,69,270,3.1,26,24,Accra
2010,1,8,6,5.6,-0.167,69,283.3333333,3.6,26.3,24.5,Accra
2010,1,8,7,5.6,-0.167,69,290,3.6,26,25,Accra
2010,1,8,8,5.6,-0.167,69,270,2.6,27,25,Accra
2010,1,8,9,5.6,-0.167,69,270,3.6,27.1,24.4,Accra
2010,1,8,11,5.6,-0.167,69,240,5.1,30,24,Accra
2010,1,8,12,5.6,-0.167,69,230,2.1,31.6,24.1,Accra
2010,1,8,13,5.6,-0.167,69,240,3.1,33,24,Accra
2010,1,8,14,5.6,-0.167,69,240,3.1,33,24,Accra
2010,1,8,15,5.6,-0.167,69,200,7.2,31.6,24.3,Accra
2010,1,8,16,5.6,-0.167,69,200,7.7,31,25,Accra
2010,1,8,17,5.6,-0.167,69,210,7.2,30,25,Accra
2010,1,8,18,5.6,-0.167,69,200,7.2,29,25.2,Accra
