"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
723894,3181,2009,1,1,0,12,37.457,-118.83,2173,190,2.1,3,-7,9999.9,"Bishop"
723894,3181,2009,1,1,0,32,37.457,-118.83,2173,999,0,3,-8,9999.9,"Bishop"
723894,3181,2009,1,1,0,52,37.457,-118.83,2173,999,0,2,-8,9999.9,"Bishop"
723894,3181,2009,1,1,1,12,37.457,-118.83,2173,999,0,1,-8,9999.9,"Bishop"
723894,3181,2009,1,1,1,32,37.457,-118.83,2173,999,0,-2,-7,9999.9,"Bishop"
723894,3181,2009,1,1,1,52,37.457,-118.83,2173,310,1.5,-2,-9,9999.9,"Bishop"
723894,3181,2009,1,1,2,12,37.457,-118.83,2173,999,0,0,-9,9999.9,"Bishop"
723894,3181,2009,1,1,2,32,37.457,-118.83,2173,999,0,-5,-9,9999.9,"Bishop"
723894,3181,2009,1,1,2,52,37.457,-118.83,2173,999,0,-4,-10,9999.9,"Bishop"
723894,3181,2009,1,1,3,13,37.457,-118.83,2173,999,0,-5,-10,9999.9,"Bishop"
723894,3181,2009,1,1,3,32,37.457,-118.83,2173,300,1.5,-5,-10,9999.9,"Bishop"
723894,3181,2009,1,1,3,52,37.457,-118.83,2173,999,0,-5,-10,9999.9,"Bishop"
723894,3181,2009,1,1,4,12,37.457,-118.83,2173,260,1.5,-2,-11,9999.9,"Bishop"
723894,3181,2009,1,1,4,32,37.457,-118.83,2173,999,0,-8,-11,9999.9,"Bishop"
723894,3181,2009,1,1,4,52,37.457,-118.83,2173,999,0,-6,-11,9999.9,"Bishop"
723894,3181,2009,1,1,5,12,37.457,-118.83,2173,999,0,-4,-11,9999.9,"Bishop"
723894,3181,2009,1,1,5,32,37.457,-118.83,2173,999,0,-8,-12,9999.9,"Bishop"
723894,3181,2009,1,1,5,52,37.457,-118.83,2173,999,0,-6,-12,9999.9,"Bishop"
723894,3181,2009,1,1,6,12,37.457,-118.83,2173,330,2.1,-10,-13,9999.9,"Bishop"
723894,3181,2009,1,1,6,32,37.457,-118.83,2173,999,0,-9,-12,9999.9,"Bishop"
723894,3181,2009,1,1,6,52,37.457,-118.83,2173,290,2.1,-9,-12,9999.9,"Bishop"
723894,3181,2009,1,1,7,12,37.457,-118.83,2173,360,1.5,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,7,32,37.457,-118.83,2173,330,1.5,-7,-12,9999.9,"Bishop"
723894,3181,2009,1,1,7,52,37.457,-118.83,2173,330,2.1,-8,-13,9999.9,"Bishop"
723894,3181,2009,1,1,8,12,37.457,-118.83,2173,999,0,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,8,32,37.457,-118.83,2173,999,0,-8,-13,9999.9,"Bishop"
723894,3181,2009,1,1,8,52,37.457,-118.83,2173,350,1.5,-9,-14,9999.9,"Bishop"
723894,3181,2009,1,1,9,12,37.457,-118.83,2173,330,1.5,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,9,32,37.457,-118.83,2173,999,0,-12,-14,9999.9,"Bishop"
723894,3181,2009,1,1,9,52,37.457,-118.83,2173,20,1.5,-11,-14,9999.9,"Bishop"
723894,3181,2009,1,1,10,12,37.457,-118.83,2173,10,1.5,-12,-14,9999.9,"Bishop"
723894,3181,2009,1,1,10,32,37.457,-118.83,2173,270,1.5,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,10,52,37.457,-118.83,2173,999,0,-10,-14,9999.9,"Bishop"
723894,3181,2009,1,1,11,12,37.457,-118.83,2173,999,0,-8,-13,9999.9,"Bishop"
723894,3181,2009,1,1,11,32,37.457,-118.83,2173,999,0,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,11,52,37.457,-118.83,2173,999,0,-10,-13,9999.9,"Bishop"
723894,3181,2009,1,1,12,12,37.457,-118.83,2173,999,0,-10,-14,9999.9,"Bishop"
723894,3181,2009,1,1,12,32,37.457,-118.83,2173,999,0,-9,-13,9999.9,"Bishop"
723894,3181,2009,1,1,12,52,37.457,-118.83,2173,999,0,-12,-14,9999.9,"Bishop"
723894,3181,2009,1,1,13,12,37.457,-118.83,2173,330,1.5,-10,-13,9999.9,"Bishop"
723894,3181,2009,1,1,13,32,37.457,-118.83,2173,999,999.9,-12,-15,9999.9,"Bishop"
723894,3181,2009,1,1,13,52,37.457,-118.83,2173,999,0,-10,-13,9999.9,"Bishop"
723894,3181,2009,1,1,14,12,37.457,-118.83,2173,999,0,-10,-14,9999.9,"Bishop"
723894,3181,2009,1,1,14,32,37.457,-118.83,2173,999,999.9,-11,-14,9999.9,"Bishop"
723894,3181,2009,1,1,14,52,37.457,-118.83,2173,340,1.5,-10,-14,9999.9,"Bishop"
723894,3181,2009,1,1,15,12,37.457,-118.83,2173,999,0,-12,-14,9999.9,"Bishop"
723894,3181,2009,1,1,15,32,37.457,-118.83,2173,340,1.5,-13,-15,9999.9,"Bishop"
723894,3181,2009,1,1,15,52,37.457,-118.83,2173,999,0,-10,-14,9999.9,"Bishop"
723894,3181,2009,1,1,16,12,37.457,-118.83,2173,350,2.1,-10,-13,9999.9,"Bishop"
723894,3181,2009,1,1,16,32,37.457,-118.83,2173,999,0,-7,-11,9999.9,"Bishop"
723894,3181,2009,1,1,16,52,37.457,-118.83,2173,999,0,-3,-11,9999.9,"Bishop"
723894,3181,2009,1,1,17,12,37.457,-118.83,2173,150,1.5,-5,-11,9999.9,"Bishop"
723894,3181,2009,1,1,17,32,37.457,-118.83,2173,140,2.1,-5,-10,9999.9,"Bishop"
723894,3181,2009,1,1,17,52,37.457,-118.83,2173,160,1.5,-3,-10,9999.9,"Bishop"
723894,3181,2009,1,1,18,12,37.457,-118.83,2173,999,0,-2,-10,9999.9,"Bishop"
723894,3181,2009,1,1,18,32,37.457,-118.83,2173,999,0,-1,-9,9999.9,"Bishop"
723894,3181,2009,1,1,18,52,37.457,-118.83,2173,999,0,1,-9,9999.9,"Bishop"
723894,3181,2009,1,1,19,12,37.457,-118.83,2173,140,1.5,2,-9,9999.9,"Bishop"
723894,3181,2009,1,1,19,32,37.457,-118.83,2173,999,0,4,-9,9999.9,"Bishop"
723894,3181,2009,1,1,19,52,37.457,-118.83,2173,999,0,3,-8,9999.9,"Bishop"
