"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
723115,53854,2009,1,1,0,53,33.462,-80.858,60,10,3.1,8.3,-5,1021.3,"Bowman"
723115,53854,2009,1,1,1,53,33.462,-80.858,60,360,2.6,7.2,-7.2,1022.4,"Bowman"
723115,53854,2009,1,1,2,53,33.462,-80.858,60,360,3.6,6.1,-9.4,1023.3,"Bowman"
723115,53854,2009,1,1,3,53,33.462,-80.858,60,30,5.1,5,-10,1024.1,"Bowman"
723115,53854,2009,1,1,4,53,33.462,-80.858,60,10,4.6,3.9,-10.6,1024.4,"Bowman"
723115,53854,2009,1,1,4,59,33.462,-80.858,60,999,999.9,999.9,999.9,9999.9,"Bowman"
723115,53854,2009,1,1,4,59,33.462,-80.858,60,999,999.9,999.9,999.9,9999.9,"Bowman"
723115,53854,2009,1,1,5,53,33.462,-80.858,60,20,3.1,2.2,-9.4,1024.4,"Bowman"
723115,53854,2009,1,1,6,53,33.462,-80.858,60,20,2.1,1.1,-10,1024.8,"Bowman"
723115,53854,2009,1,1,7,53,33.462,-80.858,60,50,1.5,0,-9.4,1025.7,"Bowman"
723115,53854,2009,1,1,8,53,33.462,-80.858,60,30,2.1,-0.6,-9.4,1026.4,"Bowman"
723115,53854,2009,1,1,9,53,33.462,-80.858,60,50,3.6,-0.6,-10,1026.9,"Bowman"
723115,53854,2009,1,1,10,53,33.462,-80.858,60,40,4.1,-1.1,-10.6,1027,"Bowman"
723115,53854,2009,1,1,11,53,33.462,-80.858,60,50,3.6,-1.7,-10.6,1027.5,"Bowman"
723115,53854,2009,1,1,12,53,33.462,-80.858,60,50,3.1,-1.7,-10,1028.1,"Bowman"
723115,53854,2009,1,1,13,53,33.462,-80.858,60,70,4.1,0.6,-10.6,1029,"Bowman"
723115,53854,2009,1,1,14,53,33.462,-80.858,60,40,4.6,2.8,-11.7,1029.7,"Bowman"
723115,53854,2009,1,1,15,53,33.462,-80.858,60,40,4.1,3.3,-12.2,1029.9,"Bowman"
723115,53854,2009,1,1,16,53,33.462,-80.858,60,90,3.1,5,-12.8,1029.3,"Bowman"
723115,53854,2009,1,1,17,53,33.462,-80.858,60,999,3.1,6.1,-12.2,1028.2,"Bowman"
723115,53854,2009,1,1,18,53,33.462,-80.858,60,999,3.1,6.7,-12.8,1026.8,"Bowman"
723115,53854,2009,1,1,19,53,33.462,-80.858,60,999,3.1,7.8,-13.3,1026.6,"Bowman"
723115,53854,2009,1,1,20,53,33.462,-80.858,60,999,2.6,7.2,-13.3,1026.7,"Bowman"
723115,53854,2009,1,1,21,53,33.462,-80.858,60,100,1.5,6.7,-11.7,1026.6,"Bowman"
723115,53854,2009,1,1,22,53,33.462,-80.858,60,90,1.5,4.4,-10,1026.5,"Bowman"
723115,53854,2009,1,1,23,53,33.462,-80.858,60,90,1.5,2.2,-7.8,1026.5,"Bowman"
723115,53854,2009,1,2,0,53,33.462,-80.858,60,100,1.5,1.1,-7.2,1026.2,"Bowman"
723115,53854,2009,1,2,1,53,33.462,-80.858,60,90,1.5,1.1,-7.2,1026,"Bowman"
723115,53854,2009,1,2,2,53,33.462,-80.858,60,90,1.5,0,-5.6,1025.3,"Bowman"
723115,53854,2009,1,2,3,53,33.462,-80.858,60,999,0,-0.6,-5,1025,"Bowman"
723115,53854,2009,1,2,4,53,33.462,-80.858,60,40,1.5,-0.6,-3.9,1023.7,"Bowman"
723115,53854,2009,1,2,4,59,33.462,-80.858,60,999,999.9,999.9,999.9,9999.9,"Bowman"
723115,53854,2009,1,2,5,53,33.462,-80.858,60,999,0,-0.6,-3.9,1023,"Bowman"
723115,53854,2009,1,2,6,53,33.462,-80.858,60,40,1.5,-0.6,-3.3,1022.2,"Bowman"
723115,53854,2009,1,2,7,53,33.462,-80.858,60,30,2.1,0,-2.8,1022,"Bowman"
723115,53854,2009,1,2,8,53,33.462,-80.858,60,50,2.1,0.6,-2.8,1021.1,"Bowman"
723115,53854,2009,1,2,9,53,33.462,-80.858,60,30,1.5,1.7,-1.1,1021.1,"Bowman"
723115,53854,2009,1,2,10,53,33.462,-80.858,60,999,0,2.2,-1.1,1020.7,"Bowman"
723115,53854,2009,1,2,11,53,33.462,-80.858,60,999,0,2.2,-0.6,1021,"Bowman"
723115,53854,2009,1,2,12,53,33.462,-80.858,60,999,0,2.8,-0.6,1020.9,"Bowman"
723115,53854,2009,1,2,13,53,33.462,-80.858,60,999,0,4.4,1.1,1020.5,"Bowman"
723115,53854,2009,1,2,14,53,33.462,-80.858,60,230,1.5,5.6,1.7,1020.4,"Bowman"
723115,53854,2009,1,2,15,53,33.462,-80.858,60,200,2.6,11.1,4.4,1019.9,"Bowman"
723115,53854,2009,1,2,16,53,33.462,-80.858,60,190,5.7,15.6,7.8,1018.3,"Bowman"
723115,53854,2009,1,2,17,53,33.462,-80.858,60,210,5.7,17.2,9.4,1017.3,"Bowman"
723115,53854,2009,1,2,18,53,33.462,-80.858,60,220,4.6,16.7,9.4,1016.2,"Bowman"
723115,53854,2009,1,2,19,53,33.462,-80.858,60,220,4.6,17.8,10,1015.7,"Bowman"
723115,53854,2009,1,2,20,53,33.462,-80.858,60,280,2.1,16.7,11.7,1015.8,"Bowman"
723115,53854,2009,1,2,21,53,33.462,-80.858,60,290,2.6,15,11.1,1015.9,"Bowman"
723115,53854,2009,1,2,22,53,33.462,-80.858,60,300,2.1,13.9,11.1,1016.3,"Bowman"
723115,53854,2009,1,2,23,53,33.462,-80.858,60,290,2.6,12.8,10.6,1016.7,"Bowman"
723115,53854,2009,1,3,0,53,33.462,-80.858,60,320,1.5,11.7,10.6,1017.2,"Bowman"
723115,53854,2009,1,3,1,51,33.462,-80.858,60,310,3.1,12,11,9999.9,"Bowman"
723115,53854,2009,1,3,1,53,33.462,-80.858,60,300,2.1,11.1,10.6,1017.6,"Bowman"
723115,53854,2009,1,3,2,7,33.462,-80.858,60,290,3.1,11,10,9999.9,"Bowman"
723115,53854,2009,1,3,2,14,33.462,-80.858,60,280,2.1,11,10,9999.9,"Bowman"
723115,53854,2009,1,3,2,25,33.462,-80.858,60,290,2.1,11,10,9999.9,"Bowman"
723115,53854,2009,1,3,2,53,33.462,-80.858,60,999,0,11.1,10,1017.7,"Bowman"
