"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
724093,13764,2009,1,1,0,54,38.689,-75.359,16,320,8.2,-1.1,-17.2,1016.8,"Bridgeville"
724093,13764,2009,1,1,1,54,38.689,-75.359,16,310,4.1,-1.7,-15.6,1017.9,"Bridgeville"
724093,13764,2009,1,1,2,54,38.689,-75.359,16,310,7.7,-2.2,-15.6,1018.8,"Bridgeville"
724093,13764,2009,1,1,3,54,38.689,-75.359,16,310,7.2,-3.3,-16.1,1019.9,"Bridgeville"
724093,13764,2009,1,1,4,54,38.689,-75.359,16,310,4.1,-3.3,-15.6,1020,"Bridgeville"
724093,13764,2009,1,1,4,59,38.689,-75.359,16,999,999.9,999.9,999.9,9999.9,"Bridgeville"
724093,13764,2009,1,1,4,59,38.689,-75.359,16,999,999.9,999.9,999.9,9999.9,"Bridgeville"
724093,13764,2009,1,1,5,54,38.689,-75.359,16,310,3.6,-3.9,-15,1020.3,"Bridgeville"
724093,13764,2009,1,1,6,54,38.689,-75.359,16,300,4.6,-3.9,-14.4,1020.9,"Bridgeville"
724093,13764,2009,1,1,7,54,38.689,-75.359,16,290,4.1,-3.9,-13.9,1021.7,"Bridgeville"
724093,13764,2009,1,1,8,54,38.689,-75.359,16,280,4.1,-3.9,-13.9,1022.6,"Bridgeville"
724093,13764,2009,1,1,9,54,38.689,-75.359,16,290,3.6,-3.9,-13.9,1023.4,"Bridgeville"
724093,13764,2009,1,1,10,54,38.689,-75.359,16,310,3.6,-3.9,-13.9,1024.5,"Bridgeville"
724093,13764,2009,1,1,11,54,38.689,-75.359,16,320,3.1,-3.9,-15,1025.7,"Bridgeville"
724093,13764,2009,1,1,12,54,38.689,-75.359,16,310,4.1,-4.4,-16.1,1026.7,"Bridgeville"
724093,13764,2009,1,1,13,54,38.689,-75.359,16,340,7.2,-3.9,-16.7,1027.8,"Bridgeville"
724093,13764,2009,1,1,14,54,38.689,-75.359,16,330,6.7,-3.3,-17.2,1028.4,"Bridgeville"
724093,13764,2009,1,1,15,54,38.689,-75.359,16,320,4.1,-2.2,-17.2,1028.3,"Bridgeville"
724093,13764,2009,1,1,16,54,38.689,-75.359,16,310,5.7,-1.1,-16.7,1027.3,"Bridgeville"
724093,13764,2009,1,1,17,54,38.689,-75.359,16,330,4.1,0,-16.1,1026.6,"Bridgeville"
724093,13764,2009,1,1,18,54,38.689,-75.359,16,310,3.6,0,-17.2,1026.6,"Bridgeville"
724093,13764,2009,1,1,19,54,38.689,-75.359,16,300,3.6,0,-16.7,1026.7,"Bridgeville"
724093,13764,2009,1,1,20,54,38.689,-75.359,16,310,2.6,0,-16.7,1026.9,"Bridgeville"
724093,13764,2009,1,1,21,54,38.689,-75.359,16,280,1.5,-1.1,-16.1,1027.1,"Bridgeville"
724093,13764,2009,1,1,22,54,38.689,-75.359,16,999,0,-2.2,-15.6,1027.5,"Bridgeville"
