"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
994976,99999,2009,1,1,2,0,44.65,-87.9,201,230,8.7,-15,999.9,9999.9,"Casco"
994976,99999,2009,1,1,4,0,44.65,-87.9,201,230,7.2,-15.6,999.9,9999.9,"Casco"
994976,99999,2009,1,1,6,0,44.65,-87.9,201,210,4.6,-15.5,999.9,9999.9,"Casco"
994976,99999,2009,1,1,9,0,44.65,-87.9,201,999,0,-13.2,999.9,9999.9,"Casco"
994976,99999,2009,1,1,10,0,44.65,-87.9,201,180,6.2,-11.4,999.9,9999.9,"Casco"
994976,99999,2009,1,2,8,0,44.65,-87.9,201,260,7.7,-6.7,999.9,9999.9,"Casco"
994976,99999,2009,1,2,22,0,44.65,-87.9,201,280,6.2,-9.6,999.9,9999.9,"Casco"
994976,99999,2009,1,4,1,0,44.65,-87.9,201,140,10.8,-0.5,999.9,9999.9,"Casco"
994976,99999,2009,1,6,17,0,44.65,-87.9,201,160,2.6,1,999.9,9999.9,"Casco"
994976,99999,2009,1,6,18,0,44.65,-87.9,201,350,4.1,-2.3,999.9,9999.9,"Casco"
994976,99999,2009,1,6,19,0,44.65,-87.9,201,80,5.1,-2,999.9,9999.9,"Casco"
994976,99999,2009,1,6,20,0,44.65,-87.9,201,170,7.2,0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,6,22,0,44.65,-87.9,201,150,3.6,-0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,6,23,0,44.65,-87.9,201,130,4.1,-0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,7,0,0,44.65,-87.9,201,140,5.1,-1.1,999.9,9999.9,"Casco"
994976,99999,2009,1,7,2,0,44.65,-87.9,201,140,4.1,-1.1,999.9,9999.9,"Casco"
994976,99999,2009,1,7,3,0,44.65,-87.9,201,110,5.1,-1.3,999.9,9999.9,"Casco"
994976,99999,2009,1,7,4,0,44.65,-87.9,201,110,4.6,-1.7,999.9,9999.9,"Casco"
994976,99999,2009,1,7,5,0,44.65,-87.9,201,110,4.6,-1.7,999.9,9999.9,"Casco"
994976,99999,2009,1,7,6,0,44.65,-87.9,201,170,5.7,-2.7,999.9,9999.9,"Casco"
994976,99999,2009,1,7,7,0,44.65,-87.9,201,160,3.1,-3.1,999.9,9999.9,"Casco"
994976,99999,2009,1,7,8,0,44.65,-87.9,201,120,3.6,-3.1,999.9,9999.9,"Casco"
994976,99999,2009,1,7,9,0,44.65,-87.9,201,90,4.6,-3.5,999.9,9999.9,"Casco"
994976,99999,2009,1,7,10,0,44.65,-87.9,201,60,5.7,-3.8,999.9,9999.9,"Casco"
994976,99999,2009,1,7,11,0,44.65,-87.9,201,50,4.6,-3.5,999.9,9999.9,"Casco"
994976,99999,2009,1,7,12,0,44.65,-87.9,201,50,4.6,-3.5,999.9,9999.9,"Casco"
994976,99999,2009,1,7,13,0,44.65,-87.9,201,30,5.7,-3.5,999.9,9999.9,"Casco"
994976,99999,2009,1,7,14,0,44.65,-87.9,201,350,4.6,-4,999.9,9999.9,"Casco"
994976,99999,2009,1,7,16,0,44.65,-87.9,201,330,5.7,-1.3,999.9,9999.9,"Casco"
994976,99999,2009,1,7,18,0,44.65,-87.9,201,330,5.1,0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,7,19,0,44.65,-87.9,201,360,4.1,0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,7,20,0,44.65,-87.9,201,360,4.6,-0.6,999.9,9999.9,"Casco"
994976,99999,2009,1,8,1,0,44.65,-87.9,201,330,6.2,-3.5,999.9,9999.9,"Casco"
994976,99999,2009,1,8,3,0,44.65,-87.9,201,330,8.2,-4,999.9,9999.9,"Casco"
994976,99999,2009,1,8,4,0,44.65,-87.9,201,310,9.3,-4,999.9,9999.9,"Casco"
994976,99999,2009,1,8,5,0,44.65,-87.9,201,310,8.7,-4.5,999.9,9999.9,"Casco"
994976,99999,2009,1,8,6,0,44.65,-87.9,201,320,8.2,-4.5,999.9,9999.9,"Casco"
994976,99999,2009,1,8,8,0,44.65,-87.9,201,310,7.7,-5.3,999.9,9999.9,"Casco"
994976,99999,2009,1,8,9,0,44.65,-87.9,201,310,7.7,-5.8,999.9,9999.9,"Casco"
994976,99999,2009,1,8,10,0,44.65,-87.9,201,300,7.7,-6.7,999.9,9999.9,"Casco"
994976,99999,2009,1,8,11,0,44.65,-87.9,201,300,6.2,-8.1,999.9,9999.9,"Casco"
994976,99999,2009,1,8,12,0,44.65,-87.9,201,260,6.7,-8.6,999.9,9999.9,"Casco"
994976,99999,2009,1,8,13,0,44.65,-87.9,201,260,5.1,-9.1,999.9,9999.9,"Casco"
994976,99999,2009,1,8,14,0,44.65,-87.9,201,250,4.1,-8.5,999.9,9999.9,"Casco"
994976,99999,2009,1,9,1,0,44.65,-87.9,201,300,7.7,-8.6,999.9,9999.9,"Casco"
994976,99999,2009,1,9,2,0,44.65,-87.9,201,300,6.7,-9.1,999.9,9999.9,"Casco"
994976,99999,2009,1,11,4,0,44.65,-87.9,201,250,5.1,-10.9,999.9,9999.9,"Casco"
994976,99999,2009,1,11,5,0,44.65,-87.9,201,230,6.2,-10.9,999.9,9999.9,"Casco"
994976,99999,2009,1,11,6,0,44.65,-87.9,201,230,5.7,-12.4,999.9,9999.9,"Casco"
994976,99999,2009,1,11,7,0,44.65,-87.9,201,230,6.2,-12.9,999.9,9999.9,"Casco"
994976,99999,2009,1,12,8,0,44.65,-87.9,201,270,4.1,-11.9,999.9,9999.9,"Casco"
994976,99999,2009,1,12,13,0,44.65,-87.9,201,240,5.7,-14,999.9,9999.9,"Casco"
994976,99999,2009,1,12,21,0,44.65,-87.9,201,220,4.6,-7.6,999.9,9999.9,"Casco"
994976,99999,2009,1,13,5,0,44.65,-87.9,201,340,7.7,-8.9,999.9,9999.9,"Casco"
994976,99999,2009,1,13,6,0,44.65,-87.9,201,340,16.4,-8.5,999.9,9999.9,"Casco"
994976,99999,2009,1,13,8,0,44.65,-87.9,201,340,15.4,-10.9,999.9,9999.9,"Casco"
994976,99999,2009,1,13,11,0,44.65,-87.9,201,330,9.8,-12.6,999.9,9999.9,"Casco"
994976,99999,2009,1,13,15,0,44.65,-87.9,201,320,12.3,-12.2,999.9,9999.9,"Casco"
994976,99999,2009,1,13,17,0,44.65,-87.9,201,320,9.8,-14,999.9,9999.9,"Casco"
994976,99999,2009,1,13,20,0,44.65,-87.9,201,300,6.7,-8.6,999.9,9999.9,"Casco"
994976,99999,2009,1,14,0,0,44.65,-87.9,201,260,8.7,-16.1,999.9,9999.9,"Casco"
994976,99999,2009,1,14,1,0,44.65,-87.9,201,210,3.6,-19.1,999.9,9999.9,"Casco"
994976,99999,2009,1,14,12,0,44.65,-87.9,201,10,6.2,-18.3,999.9,9999.9,"Casco"
994976,99999,2009,1,18,19,0,44.65,-87.9,201,999,0,1.2,999.9,9999.9,"Casco"
994976,99999,2009,1,18,20,0,44.65,-87.9,201,999,0,-4.7,999.9,9999.9,"Casco"
994976,99999,2009,1,18,21,0,44.65,-87.9,201,999,0,-6.4,999.9,9999.9,"Casco"
994976,99999,2009,1,18,22,0,44.65,-87.9,201,330,3.6,-6.4,999.9,9999.9,"Casco"
994976,99999,2009,1,18,23,0,44.65,-87.9,201,300,3.1,-7.3,999.9,9999.9,"Casco"
994976,99999,2009,1,19,1,0,44.65,-87.9,201,250,4.1,-7.6,999.9,9999.9,"Casco"
994976,99999,2009,1,19,2,0,44.65,-87.9,201,340,3.6,-8.1,999.9,9999.9,"Casco"
994976,99999,2009,1,19,4,0,44.65,-87.9,201,340,9.8,-8.1,999.9,9999.9,"Casco"
994976,99999,2009,1,19,6,0,44.65,-87.9,201,320,6.7,-9.4,999.9,9999.9,"Casco"
