"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Chandigarh",421010,6,2011,1,1,0,30.333,76.467,251,999,0,9,9
"Chandigarh",421010,6,2011,1,1,3,30.333,76.467,251,270,1,9,9
"Chandigarh",421010,6,2011,1,1,6,30.333,76.467,251,999,0,10.4,9.2
"Chandigarh",421010,6,2011,1,1,9,30.333,76.467,251,999,0,12.6,10.3
"Chandigarh",421010,6,2011,1,1,12,30.333,76.467,251,270,1,12.2,11.8
"Chandigarh",421010,6,2011,1,1,15,30.333,76.467,251,270,1,10.6,9.8
"Chandigarh",421010,6,2011,1,1,18,30.333,76.467,251,50,1.5,10,9.6
"Chandigarh",421010,6,2011,1,1,21,30.333,76.467,251,999,2.1,9.6,8.8
"Chandigarh",421010,6,2011,1,2,0,30.333,76.467,251,270,1,9.4,9
"Chandigarh",421010,6,2011,1,2,3,30.333,76.467,251,320,1,10.2,9.8
"Chandigarh",421010,6,2011,1,2,6,30.333,76.467,251,999,0,10.6,10.2
"Chandigarh",421010,6,2011,1,2,9,30.333,76.467,251,999,0,11.2,10.8
"Chandigarh",421010,6,2011,1,2,12,30.333,76.467,251,999,0,11,11
"Chandigarh",421010,6,2011,1,2,15,30.333,76.467,251,999,0,10.5,9.9
"Chandigarh",421010,6,2011,1,2,18,30.333,76.467,251,999,0,10.2,10.2
"Chandigarh",421010,6,2011,1,2,21,30.333,76.467,251,999,0,9.7,9.7
"Chandigarh",421010,6,2011,1,3,0,30.333,76.467,251,999,0,9,9
"Chandigarh",421010,6,2011,1,3,3,30.333,76.467,251,999,0,9,9
"Chandigarh",421010,6,2011,1,3,6,30.333,76.467,251,999,0,11,9
"Chandigarh",421010,6,2011,1,3,9,30.333,76.467,251,270,1,13,5.8
"Chandigarh",421010,6,2011,1,3,12,30.333,76.467,251,999,0,10,7.9
"Chandigarh",421010,6,2011,1,3,15,30.333,76.467,251,999,0,7.6,6.3
"Chandigarh",421010,6,2011,1,3,18,30.333,76.467,251,999,0,7.4,6.1
"Chandigarh",421010,6,2011,1,3,21,30.333,76.467,251,999,0,7.6,6.3
"Chandigarh",421010,6,2011,1,4,0,30.333,76.467,251,999,0,7.8,5.6
"Chandigarh",421010,6,2011,1,4,3,30.333,76.467,251,999,0,7.6,5.4
"Chandigarh",421010,6,2011,1,4,6,30.333,76.467,251,999,0,9.6,5.2
