USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND.DIR,WIND.SPD,TEMP,DEW.POINT,ATM.PRES,city
421810,99999,2011,1,1,0,0,28.567,77.117,233,300,3.6,10,10,9999.9,Delhi
421810,99999,2011,1,1,0,30,28.567,77.117,233,300,3.6,9,9,9999.9,Delhi
421810,99999,2011,1,1,1,0,28.567,77.117,233,290,3.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,1,30,28.567,77.117,233,280,3.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,2,0,28.567,77.117,233,300,3.6,9,9,9999.9,Delhi
421810,99999,2011,1,1,2,30,28.567,77.117,233,310,2.6,9,9,9999.9,Delhi
421810,99999,2011,1,1,3,0,28.567,77.117,233,320,3.6,9,9,9999.9,Delhi
421810,99999,2011,1,1,3,30,28.567,77.117,233,300,3.6,9,9,9999.9,Delhi
421810,99999,2011,1,1,5,0,28.567,77.117,233,280,2.6,11,10,9999.9,Delhi
421810,99999,2011,1,1,5,30,28.567,77.117,233,280,3.1,11,10,9999.9,Delhi
421810,99999,2011,1,1,6,0,28.567,77.117,233,270,3.1,12,10,9999.9,Delhi
421810,99999,2011,1,1,6,30,28.567,77.117,233,290,3.6,12,9,9999.9,Delhi
421810,99999,2011,1,1,7,0,28.567,77.117,233,280,3.6,14,9,9999.9,Delhi
421810,99999,2011,1,1,7,30,28.567,77.117,233,300,3.6,14,9,9999.9,Delhi
421810,99999,2011,1,1,8,30,28.567,77.117,233,310,4.6,15,10,9999.9,Delhi
421810,99999,2011,1,1,9,0,28.567,77.117,233,300,4.1,15,10,9999.9,Delhi
421810,99999,2011,1,1,9,30,28.567,77.117,233,300,4.6,16,10,9999.9,Delhi
421810,99999,2011,1,1,10,0,28.567,77.117,233,300,4.6,16,10,9999.9,Delhi
421810,99999,2011,1,1,10,30,28.567,77.117,233,300,5.7,15,9,9999.9,Delhi
421810,99999,2011,1,1,11,0,28.567,77.117,233,300,5.1,15,9,9999.9,Delhi
421810,99999,2011,1,1,11,30,28.567,77.117,233,270,4.1,15,10,9999.9,Delhi
421810,99999,2011,1,1,12,0,28.567,77.117,233,270,3.6,13,10,9999.9,Delhi
421810,99999,2011,1,1,13,0,28.567,77.117,233,280,3.6,12,11,9999.9,Delhi
421810,99999,2011,1,1,13,30,28.567,77.117,233,280,3.1,11,10,9999.9,Delhi
421810,99999,2011,1,1,14,30,28.567,77.117,233,310,4.1,10,10,9999.9,Delhi
421810,99999,2011,1,1,15,0,28.567,77.117,233,290,5.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,15,30,28.567,77.117,233,290,5.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,16,0,28.567,77.117,233,300,5.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,16,30,28.567,77.117,233,280,4.6,8,8,9999.9,Delhi
421810,99999,2011,1,1,17,0,28.567,77.117,233,320,6.2,9,9,9999.9,Delhi
421810,99999,2011,1,1,17,30,28.567,77.117,233,300,5.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,18,30,28.567,77.117,233,300,5.1,9,9,9999.9,Delhi
421810,99999,2011,1,1,19,0,28.567,77.117,233,290,4.6,8,8,9999.9,Delhi
421810,99999,2011,1,1,19,30,28.567,77.117,233,290,5.1,8,8,9999.9,Delhi
421810,99999,2011,1,1,20,0,28.567,77.117,233,290,4.6,8,8,9999.9,Delhi
421810,99999,2011,1,1,20,30,28.567,77.117,233,300,5.1,8,8,9999.9,Delhi
421810,99999,2011,1,1,21,0,28.567,77.117,233,290,5.1,8,8,9999.9,Delhi
