"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
724510,13985,2009,1,1,0,0,37.75,-99.967,790,170,9.3,0,-11.7,1021.3,"Dighton"
724510,13985,2009,1,1,0,52,37.773,-99.97,790,170,11.3,0,-12,1019.9,"Dighton"
724510,13985,2009,1,1,1,52,37.773,-99.97,790,170,9.8,-1,-12,1019.1,"Dighton"
724510,13985,2009,1,1,2,52,37.773,-99.97,790,180,11.8,-2,-12,1017.6,"Dighton"
724510,13985,2009,1,1,3,0,37.75,-99.967,790,180,11.8,-1.7,-11.7,1017.6,"Dighton"
724510,13985,2009,1,1,3,52,37.773,-99.97,790,180,10.8,-1,-12,1016.2,"Dighton"
724510,13985,2009,1,1,4,52,37.773,-99.97,790,190,13.4,-1.1,-11.1,1014.7,"Dighton"
724510,13985,2009,1,1,5,52,37.773,-99.97,790,180,11.3,-1.7,-11.7,1013,"Dighton"
724510,13985,2009,1,1,5,59,37.773,-99.97,790,999,999.9,999.9,999.9,9999.9,"Dighton"
724510,13985,2009,1,1,5,59,37.773,-99.97,790,999,999.9,999.9,999.9,9999.9,"Dighton"
724510,13985,2009,1,1,6,0,37.75,-99.967,790,180,11.3,-1.7,-11.7,1013,"Dighton"
724510,13985,2009,1,1,6,52,37.773,-99.97,790,180,11.8,-1.7,-11.1,1011.5,"Dighton"
724510,13985,2009,1,1,7,52,37.773,-99.97,790,190,10.8,-2.2,-11.1,1010.2,"Dighton"
724510,13985,2009,1,1,8,52,37.773,-99.97,790,190,8.8,-2.2,-11.1,1010,"Dighton"
724510,13985,2009,1,1,9,0,37.75,-99.967,790,190,8.7,-2.2,-11.1,1010,"Dighton"
724510,13985,2009,1,1,9,52,37.773,-99.97,790,190,7.7,-3.3,-11.1,1009.4,"Dighton"
724510,13985,2009,1,1,10,52,37.773,-99.97,790,190,5.1,-4.4,-11.1,1008.9,"Dighton"
724510,13985,2009,1,1,11,52,37.773,-99.97,790,190,5.1,-4.4,-11.1,1008.6,"Dighton"
724510,13985,2009,1,1,12,0,37.75,-99.967,790,190,5.1,-4.4,-11.1,1008.6,"Dighton"
724510,13985,2009,1,1,12,52,37.773,-99.97,790,210,4.6,-6.1,-11.1,1009.3,"Dighton"
724510,13985,2009,1,1,13,52,37.773,-99.97,790,999,0,-6.1,-11.7,1009.9,"Dighton"
724510,13985,2009,1,1,14,52,37.773,-99.97,790,240,3.1,-2.2,-10,1010,"Dighton"
724510,13985,2009,1,1,15,0,37.75,-99.967,790,240,3.1,-2.2,-10,1010,"Dighton"
724510,13985,2009,1,1,15,52,37.773,-99.97,790,270,3.6,0,-8.3,1010.1,"Dighton"
724510,13985,2009,1,1,16,52,37.773,-99.97,790,330,3.6,3.9,-7.2,1010.9,"Dighton"
724510,13985,2009,1,1,17,52,37.773,-99.97,790,340,4.1,9.4,-6.7,1010.7,"Dighton"
724510,13985,2009,1,1,18,0,37.75,-99.967,790,340,4.1,9.4,-6.7,1010.7,"Dighton"
724510,13985,2009,1,1,18,52,37.773,-99.97,790,350,4.1,13.9,-7.8,1009.8,"Dighton"
724510,13985,2009,1,1,19,52,37.773,-99.97,790,10,8.8,14.4,-7.8,1009.6,"Dighton"
724510,13985,2009,1,1,20,52,37.773,-99.97,790,10,7.7,12.2,-6.7,1010.6,"Dighton"
724510,13985,2009,1,1,21,0,37.75,-99.967,790,10,7.7,12.2,-6.7,1010.6,"Dighton"
724510,13985,2009,1,1,21,52,37.773,-99.97,790,20,7.2,10,-7.2,1011.9,"Dighton"
724510,13985,2009,1,1,22,52,37.773,-99.97,790,40,5.1,7.2,-7.8,1012.9,"Dighton"
724510,13985,2009,1,1,23,52,37.773,-99.97,790,30,4.6,1.1,-8.9,1014.3,"Dighton"
724510,13985,2009,1,2,0,0,37.75,-99.967,790,30,4.6,1.1,-8.9,1014.3,"Dighton"
724510,13985,2009,1,2,0,52,37.773,-99.97,790,50,3.1,-1.1,-10,1014.6,"Dighton"
724510,13985,2009,1,2,1,52,37.773,-99.97,790,60,3.6,-1.7,-8.9,1015.1,"Dighton"
724510,13985,2009,1,2,2,52,37.773,-99.97,790,80,3.6,-1.1,-8.3,1014.1,"Dighton"
724510,13985,2009,1,2,3,0,37.75,-99.967,790,80,3.6,-1.1,-8.3,1014.1,"Dighton"
724510,13985,2009,1,2,3,52,37.773,-99.97,790,80,3.6,-3.3,-8.9,1013.8,"Dighton"
724510,13985,2009,1,2,4,52,37.773,-99.97,790,110,3.6,-2.8,-8.9,1013.2,"Dighton"
724510,13985,2009,1,2,5,52,37.773,-99.97,790,160,2.6,-3.3,-8.3,1012.5,"Dighton"
724510,13985,2009,1,2,5,59,37.773,-99.97,790,999,999.9,999.9,999.9,9999.9,"Dighton"
724510,13985,2009,1,2,6,0,37.75,-99.967,790,160,2.6,-3.3,-8.3,1012.5,"Dighton"
724510,13985,2009,1,2,6,52,37.773,-99.97,790,180,2.1,-3.9,-8.3,1011.6,"Dighton"
724510,13985,2009,1,2,7,52,37.773,-99.97,790,200,4.1,-5.6,-9.4,1010.9,"Dighton"
724510,13985,2009,1,2,8,52,37.773,-99.97,790,220,2.6,-3.3,-8.3,1011.4,"Dighton"
724510,13985,2009,1,2,9,0,37.75,-99.967,790,220,2.6,-3.3,-8.3,1011.4,"Dighton"
724510,13985,2009,1,2,9,52,37.773,-99.97,790,230,1.5,-2.8,-8.3,1011.7,"Dighton"
724510,13985,2009,1,2,10,52,37.773,-99.97,790,200,3.6,-5,-8.9,1011.5,"Dighton"
724510,13985,2009,1,2,11,52,37.773,-99.97,790,200,3.1,-5,-8.9,1011.6,"Dighton"
724510,13985,2009,1,2,12,0,37.75,-99.967,790,200,3.1,-5,-8.9,1011.6,"Dighton"
724510,13985,2009,1,2,12,52,37.773,-99.97,790,190,4.6,-4.4,-8.3,1011.6,"Dighton"
724510,13985,2009,1,2,13,52,37.773,-99.97,790,190,4.6,-4.4,-8.3,1011.2,"Dighton"
724510,13985,2009,1,2,14,52,37.773,-99.97,790,190,3.6,-1.7,-6.7,1010.9,"Dighton"
724510,13985,2009,1,2,15,0,37.75,-99.967,790,190,3.6,-1.7,-6.7,1010.9,"Dighton"
724510,13985,2009,1,2,15,52,37.773,-99.97,790,190,7.2,2.8,-5.6,1010.3,"Dighton"
724510,13985,2009,1,2,16,52,37.773,-99.97,790,190,7.7,6.1,999.9,1010.2,"Dighton"
724510,13985,2009,1,2,17,52,37.773,-99.97,790,190,5.7,9.4,-5.6,1008.7,"Dighton"
724510,13985,2009,1,2,18,0,37.75,-99.967,790,190,5.7,9.4,-5.6,1008.7,"Dighton"
724510,13985,2009,1,2,18,52,37.773,-99.97,790,200,4.6,13.3,-6.1,1006.4,"Dighton"
724510,13985,2009,1,2,19,52,37.773,-99.97,790,200,4.6,16.7,-5.6,1004.7,"Dighton"
724510,13985,2009,1,2,20,52,37.773,-99.97,790,160,6.7,15.6,-5.6,1004.4,"Dighton"
724510,13985,2009,1,2,21,0,37.75,-99.967,790,160,6.7,15.6,-5.6,1004.4,"Dighton"
724510,13985,2009,1,2,21,52,37.773,-99.97,790,180,6.7,13.9,-5.6,1004.3,"Dighton"
724510,13985,2009,1,2,22,52,37.773,-99.97,790,180,5.1,12.2,-4.4,1004.5,"Dighton"
724510,13985,2009,1,2,23,52,37.773,-99.97,790,150,5.1,8.9,-4.4,1004.2,"Dighton"
724510,13985,2009,1,3,0,0,37.75,-99.967,790,150,5.1,8.9,-4.4,1004.2,"Dighton"
724510,13985,2009,1,3,0,52,37.773,-99.97,790,160,6.7,7.2,-3.9,1004.3,"Dighton"
724510,13985,2009,1,3,1,52,37.773,-99.97,790,160,8.8,6.1,-3.3,1004.6,"Dighton"
724510,13985,2009,1,3,2,52,37.773,-99.97,790,170,5.7,4.4,-2.2,1003.9,"Dighton"
724510,13985,2009,1,3,3,0,37.75,-99.967,790,170,5.7,4.4,-2.2,1003.9,"Dighton"
724510,13985,2009,1,3,3,52,37.773,-99.97,790,170,6.2,3.9,-1.1,1002.8,"Dighton"
724510,13985,2009,1,3,4,52,37.773,-99.97,790,170,7.7,3.9,-0.6,1001.9,"Dighton"
724510,13985,2009,1,3,5,52,37.773,-99.97,790,170,5.7,2.8,-1.1,1001.1,"Dighton"
724510,13985,2009,1,3,5,59,37.773,-99.97,790,999,999.9,999.9,999.9,9999.9,"Dighton"
724510,13985,2009,1,3,6,0,37.75,-99.967,790,170,5.7,2.8,-1.1,1001.1,"Dighton"
724510,13985,2009,1,3,6,52,37.773,-99.97,790,180,6.2,2.2,-0.6,999.4,"Dighton"
724510,13985,2009,1,3,7,52,37.773,-99.97,790,180,6.7,2.2,-1.1,998,"Dighton"
724510,13985,2009,1,3,8,52,37.773,-99.97,790,190,5.7,1.1,-2.2,997.5,"Dighton"
724510,13985,2009,1,3,9,0,37.75,-99.967,790,190,5.7,1.1,-2.2,997.5,"Dighton"
724510,13985,2009,1,3,9,52,37.773,-99.97,790,190,6.2,0,-2.8,997.2,"Dighton"
724510,13985,2009,1,3,10,52,37.773,-99.97,790,200,6.7,0,-3.3,997.4,"Dighton"
724510,13985,2009,1,3,11,52,37.773,-99.97,790,200,4.6,-0.6,-3.9,997.8,"Dighton"
724510,13985,2009,1,3,12,0,37.75,-99.967,790,200,4.6,-0.6,-3.9,997.8,"Dighton"
724510,13985,2009,1,3,12,52,37.773,-99.97,790,200,4.1,-1.1,-4.4,998.1,"Dighton"
724510,13985,2009,1,3,13,52,37.773,-99.97,790,220,4.6,0,-5,998.3,"Dighton"
724510,13985,2009,1,3,14,52,37.773,-99.97,790,240,4.6,2.2,-4.4,998.9,"Dighton"
724510,13985,2009,1,3,15,0,37.75,-99.967,790,240,4.6,2.2,-4.4,998.9,"Dighton"
724510,13985,2009,1,3,15,52,37.773,-99.97,790,270,5.7,7.2,-4.4,999.8,"Dighton"
724510,13985,2009,1,3,16,52,37.773,-99.97,790,310,10.8,12.8,-4.4,999.9,"Dighton"
724510,13985,2009,1,3,17,52,37.773,-99.97,790,340,11.8,5,-3.3,1002.9,"Dighton"
724510,13985,2009,1,3,18,0,37.75,-99.967,790,340,11.8,5,-3.3,1002.9,"Dighton"
724510,13985,2009,1,3,18,17,37.773,-99.97,790,350,13.4,3,-3,9999.9,"Dighton"
724510,13985,2009,1,3,18,50,37.773,-99.97,790,350,14.4,2,-5,9999.9,"Dighton"
724510,13985,2009,1,3,18,52,37.773,-99.97,790,350,13.9,1.7,-5,1004.5,"Dighton"
724510,13985,2009,1,3,19,34,37.773,-99.97,790,360,11.8,1,-6,9999.9,"Dighton"
724510,13985,2009,1,3,19,50,37.773,-99.97,790,350,11.8,1,-6,9999.9,"Dighton"
724510,13985,2009,1,3,19,52,37.773,-99.97,790,360,13.4,0.6,-6.1,1006.1,"Dighton"
724510,13985,2009,1,3,20,52,37.773,-99.97,790,360,13.4,0.6,-7.2,1007.9,"Dighton"
724510,13985,2009,1,3,21,0,37.75,-99.967,790,360,13.4,0.6,-7.2,1007.9,"Dighton"
724510,13985,2009,1,3,21,50,37.773,-99.97,790,360,11.8,1,-8,9999.9,"Dighton"
724510,13985,2009,1,3,21,52,37.773,-99.97,790,360,12.4,1.1,-8.3,1009.7,"Dighton"
724510,13985,2009,1,3,22,52,37.773,-99.97,790,360,11.3,0,-10,1011.3,"Dighton"
724510,13985,2009,1,3,23,52,37.773,-99.97,790,10,9.8,-2.2,-11.1,1012.6,"Dighton"
724510,13985,2009,1,4,0,0,37.75,-99.967,790,10,9.8,-2.2,-11.1,1012.6,"Dighton"
724510,13985,2009,1,4,0,52,37.773,-99.97,790,10,10.3,-3.3,-12.2,1014.3,"Dighton"
724510,13985,2009,1,4,1,50,37.773,-99.97,790,360,7.2,-4,-12,9999.9,"Dighton"
724510,13985,2009,1,4,1,52,37.773,-99.97,790,360,7.2,-4.4,-12.2,1017.2,"Dighton"
724510,13985,2009,1,4,2,52,37.773,-99.97,790,360,11.3,-4.4,-13.3,1017.5,"Dighton"
724510,13985,2009,1,4,3,0,37.75,-99.967,790,360,11.3,-4.4,-13.3,1017.5,"Dighton"
724510,13985,2009,1,4,3,14,37.773,-99.97,790,360,9.3,-5,-13,9999.9,"Dighton"
724510,13985,2009,1,4,3,52,37.773,-99.97,790,10,8.8,-6.1,-13.3,1018.6,"Dighton"
724510,13985,2009,1,4,4,52,37.773,-99.97,790,360,8.8,-6.7,-13.9,1019.2,"Dighton"
724510,13985,2009,1,4,5,52,37.773,-99.97,790,360,9.8,-7.2,-14.4,1021.6,"Dighton"
