"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
722700,23044,2009,1,1,0,0,31.8,-106.4,1194,10,1.5,13.9,-6.7,1018.8,"El Paso"
722700,23044,2009,1,1,0,51,31.811,-106.37,1194,999,0,11,-7,1018.9,"El Paso"
722700,23044,2009,1,1,1,51,31.811,-106.37,1194,999,0,10,-7,1018.8,"El Paso"
722700,23044,2009,1,1,2,51,31.811,-106.37,1194,110,2.6,6,-8,1019.4,"El Paso"
722700,23044,2009,1,1,3,0,31.8,-106.4,1194,110,2.6,5.6,-7.8,1019.4,"El Paso"
722700,23044,2009,1,1,3,51,31.811,-106.37,1194,100,2.6,5,-8,1018.9,"El Paso"
722700,23044,2009,1,1,4,51,31.811,-106.37,1194,140,2.1,4.4,-7.8,1018.8,"El Paso"
722700,23044,2009,1,1,5,51,31.811,-106.37,1194,999,0,5,-7.2,1018.1,"El Paso"
722700,23044,2009,1,1,6,0,31.8,-106.4,1194,999,0,5,-7.2,1018.1,"El Paso"
722700,23044,2009,1,1,6,51,31.811,-106.37,1194,30,1.5,4,-8,1017.9,"El Paso"
722700,23044,2009,1,1,6,59,31.811,-106.37,1194,999,999.9,999.9,999.9,9999.9,"El Paso"
722700,23044,2009,1,1,6,59,31.811,-106.37,1194,999,999.9,999.9,999.9,9999.9,"El Paso"
722700,23044,2009,1,1,7,51,31.811,-106.37,1194,60,1.5,1.1,-8.3,1017.5,"El Paso"
722700,23044,2009,1,1,8,51,31.811,-106.37,1194,100,1.5,0,-8.9,1016.9,"El Paso"
722700,23044,2009,1,1,9,0,31.8,-106.4,1194,100,1.5,0,-8.9,1016.9,"El Paso"
722700,23044,2009,1,1,9,51,31.811,-106.37,1194,999,0,0.6,-8.9,1016.9,"El Paso"
722700,23044,2009,1,1,10,51,31.811,-106.37,1194,999,0,0,-8.9,1016.8,"El Paso"
722700,23044,2009,1,1,11,51,31.811,-106.37,1194,999,0,1.7,-7.2,1016.2,"El Paso"
722700,23044,2009,1,1,12,0,31.8,-106.4,1194,999,0,1.7,-7.2,1016.2,"El Paso"
722700,23044,2009,1,1,12,51,31.811,-106.37,1194,80,1.5,-2.2,-8.9,1017.7,"El Paso"
722700,23044,2009,1,1,13,51,31.811,-106.37,1194,10,1.5,-2.8,-10,1018.4,"El Paso"
722700,23044,2009,1,1,14,51,31.811,-106.37,1194,999,0,-2.2,-10,1019.5,"El Paso"
722700,23044,2009,1,1,15,0,31.8,-106.4,1194,999,0,-2.2,-10,1019.5,"El Paso"
722700,23044,2009,1,1,15,51,31.811,-106.37,1194,10,1.5,3.9,-7.2,1018.8,"El Paso"
722700,23044,2009,1,1,16,51,31.811,-106.37,1194,999,1.5,7.8,-6.7,1018.5,"El Paso"
722700,23044,2009,1,1,17,51,31.811,-106.37,1194,150,3.1,11.1,-6.1,1017.2,"El Paso"
722700,23044,2009,1,1,18,0,31.8,-106.4,1194,150,3.1,11.1,-6.1,1017.2,"El Paso"
722700,23044,2009,1,1,18,51,31.811,-106.37,1194,230,5.7,16.1,-6.1,1015.7,"El Paso"
722700,23044,2009,1,1,19,51,31.811,-106.37,1194,220,5.1,17.8,-5.6,1014.9,"El Paso"
722700,23044,2009,1,1,20,51,31.811,-106.37,1194,230,5.1,18.3,-5,1014,"El Paso"
722700,23044,2009,1,1,21,0,31.8,-106.4,1194,230,5.1,18.3,-5,1014,"El Paso"
722700,23044,2009,1,1,21,51,31.811,-106.37,1194,230,3.6,18.9,-5,1013.4,"El Paso"
722700,23044,2009,1,1,22,51,31.811,-106.37,1194,250,3.6,19.4,-6.1,1013.1,"El Paso"
722700,23044,2009,1,1,23,51,31.811,-106.37,1194,240,3.6,18.3,-7.2,1013.3,"El Paso"
722700,23044,2009,1,2,0,0,31.8,-106.4,1194,240,3.6,18.3,-7.2,1013.3,"El Paso"
722700,23044,2009,1,2,0,51,31.811,-106.37,1194,240,4.6,15,-5.6,1014,"El Paso"
722700,23044,2009,1,2,1,51,31.811,-106.37,1194,220,1.5,15,-7.8,1014.1,"El Paso"
722700,23044,2009,1,2,2,51,31.811,-106.37,1194,90,2.6,14.4,-10,1014,"El Paso"
722700,23044,2009,1,2,3,0,31.8,-106.4,1194,90,2.6,14.4,-10,1014,"El Paso"
722700,23044,2009,1,2,3,51,31.811,-106.37,1194,300,4.6,16.7,-15.6,1012.9,"El Paso"
722700,23044,2009,1,2,4,51,31.811,-106.37,1194,200,2.6,13.3,-12.8,1013.1,"El Paso"
722700,23044,2009,1,2,5,51,31.811,-106.37,1194,170,4.1,10,-8.9,1013.4,"El Paso"
722700,23044,2009,1,2,6,0,31.8,-106.4,1194,170,4.1,10,-8.9,1013.4,"El Paso"
722700,23044,2009,1,2,6,51,31.811,-106.37,1194,170,3.6,8.9,-7.8,1012.9,"El Paso"
