"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
720299,53966,2009,1,1,0,2,32.456,-96.913,217,999,0,7,-4,9999.9,"Ennis"
720299,53966,2009,1,1,0,22,32.456,-96.913,217,330,1.5,7,-4,9999.9,"Ennis"
720299,53966,2009,1,1,0,42,32.456,-96.913,217,320,1.5,5,-3,9999.9,"Ennis"
720299,53966,2009,1,1,1,2,32.456,-96.913,217,340,2.1,5,-3,9999.9,"Ennis"
720299,53966,2009,1,1,1,22,32.456,-96.913,217,360,2.1,5,-3,9999.9,"Ennis"
720299,53966,2009,1,1,1,42,32.456,-96.913,217,10,2.1,5,-3,9999.9,"Ennis"
720299,53966,2009,1,1,2,2,32.456,-96.913,217,999,0,2,-2,9999.9,"Ennis"
720299,53966,2009,1,1,2,22,32.456,-96.913,217,999,0,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,2,42,32.456,-96.913,217,999,0,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,3,2,32.456,-96.913,217,999,0,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,3,22,32.456,-96.913,217,999,0,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,3,42,32.456,-96.913,217,999,0,3,-3,9999.9,"Ennis"
720299,53966,2009,1,1,4,2,32.456,-96.913,217,999,0,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,4,22,32.456,-96.913,217,999,0,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,4,42,32.456,-96.913,217,999,0,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,5,2,32.456,-96.913,217,90,1.5,3,-5,9999.9,"Ennis"
720299,53966,2009,1,1,5,22,32.456,-96.913,217,999,0,3,-5,9999.9,"Ennis"
720299,53966,2009,1,1,5,42,32.456,-96.913,217,110,2.1,3,-5,9999.9,"Ennis"
720299,53966,2009,1,1,6,2,32.456,-96.913,217,999,0,3,-5,9999.9,"Ennis"
720299,53966,2009,1,1,6,22,32.456,-96.913,217,120,2.1,3,-4,9999.9,"Ennis"
720299,53966,2009,1,1,6,42,32.456,-96.913,217,120,2.1,3,-4,9999.9,"Ennis"
720299,53966,2009,1,1,7,2,32.456,-96.913,217,130,1.5,3,-3,9999.9,"Ennis"
720299,53966,2009,1,1,7,22,32.456,-96.913,217,120,1.5,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,7,42,32.456,-96.913,217,120,1.5,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,8,2,32.456,-96.913,217,999,0,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,8,22,32.456,-96.913,217,130,1.5,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,8,42,32.456,-96.913,217,130,1.5,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,9,2,32.456,-96.913,217,120,1.5,2,-3,9999.9,"Ennis"
720299,53966,2009,1,1,9,22,32.456,-96.913,217,110,1.5,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,9,42,32.456,-96.913,217,120,1.5,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,10,2,32.456,-96.913,217,120,2.1,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,10,22,32.456,-96.913,217,120,1.5,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,10,42,32.456,-96.913,217,120,2.1,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,11,2,32.456,-96.913,217,110,2.1,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,11,22,32.456,-96.913,217,120,2.1,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,11,42,32.456,-96.913,217,130,2.6,1,-3,9999.9,"Ennis"
720299,53966,2009,1,1,12,2,32.456,-96.913,217,130,2.1,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,12,22,32.456,-96.913,217,120,2.1,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,12,41,32.456,-96.913,217,110,2.1,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,13,1,32.456,-96.913,217,120,2.6,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,13,21,32.456,-96.913,217,130,2.1,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,13,41,32.456,-96.913,217,140,2.1,0,-3,9999.9,"Ennis"
720299,53966,2009,1,1,14,1,32.456,-96.913,217,150,2.6,0,-2,9999.9,"Ennis"
720299,53966,2009,1,1,14,21,32.456,-96.913,217,140,2.6,1,-2,9999.9,"Ennis"
720299,53966,2009,1,1,14,41,32.456,-96.913,217,150,4.1,2,-2,9999.9,"Ennis"
720299,53966,2009,1,1,15,1,32.456,-96.913,217,150,4.6,3,-2,9999.9,"Ennis"
720299,53966,2009,1,1,15,21,32.456,-96.913,217,150,5.1,4,-1,9999.9,"Ennis"
720299,53966,2009,1,1,15,41,32.456,-96.913,217,160,5.1,5,-1,9999.9,"Ennis"
720299,53966,2009,1,1,16,1,32.456,-96.913,217,160,5.1,6,-1,9999.9,"Ennis"
720299,53966,2009,1,1,16,21,32.456,-96.913,217,180,5.7,7,0,9999.9,"Ennis"
720299,53966,2009,1,1,16,41,32.456,-96.913,217,170,5.7,8,0,9999.9,"Ennis"
720299,53966,2009,1,1,17,1,32.456,-96.913,217,160,5.7,10,0,9999.9,"Ennis"
720299,53966,2009,1,1,17,21,32.456,-96.913,217,180,7.7,11,1,9999.9,"Ennis"
720299,53966,2009,1,1,17,41,32.456,-96.913,217,180,7.7,12,1,9999.9,"Ennis"
720299,53966,2009,1,1,18,1,32.456,-96.913,217,170,9.3,13,1,9999.9,"Ennis"
720299,53966,2009,1,1,18,21,32.456,-96.913,217,180,8.2,13,2,9999.9,"Ennis"
720299,53966,2009,1,1,18,41,32.456,-96.913,217,180,7.2,15,2,9999.9,"Ennis"
720299,53966,2009,1,1,19,1,32.456,-96.913,217,180,7.2,15,3,9999.9,"Ennis"
720299,53966,2009,1,1,19,21,32.456,-96.913,217,180,5.7,16,3,9999.9,"Ennis"
720299,53966,2009,1,1,19,41,32.456,-96.913,217,200,8.8,17,3,9999.9,"Ennis"
720299,53966,2009,1,1,20,1,32.456,-96.913,217,190,8.2,17,4,9999.9,"Ennis"
720299,53966,2009,1,1,20,21,32.456,-96.913,217,190,7.7,17,4,9999.9,"Ennis"
720299,53966,2009,1,1,20,42,32.456,-96.913,217,200,8.2,17,4,9999.9,"Ennis"
720299,53966,2009,1,1,21,1,32.456,-96.913,217,200,7.7,18,4,9999.9,"Ennis"
720299,53966,2009,1,1,21,21,32.456,-96.913,217,190,7.2,18,4,9999.9,"Ennis"
720299,53966,2009,1,1,21,41,32.456,-96.913,217,180,7.7,18,5,9999.9,"Ennis"
720299,53966,2009,1,1,22,1,32.456,-96.913,217,170,7.2,18,5,9999.9,"Ennis"
720299,53966,2009,1,1,22,21,32.456,-96.913,217,180,6.2,18,5,9999.9,"Ennis"
720299,53966,2009,1,1,23,2,32.456,-96.913,217,180,5.7,18,6,9999.9,"Ennis"
720299,53966,2009,1,1,23,22,32.456,-96.913,217,180,5.1,17,6,9999.9,"Ennis"
720299,53966,2009,1,1,23,45,32.456,-96.913,217,170,4.1,16,6,9999.9,"Ennis"
720299,53966,2009,1,2,0,1,32.456,-96.913,217,170,4.1,15,6,9999.9,"Ennis"
720299,53966,2009,1,2,0,5,32.456,-96.913,217,170,4.6,16,6,9999.9,"Ennis"
720299,53966,2009,1,2,0,21,32.456,-96.913,217,170,5.1,15,6,9999.9,"Ennis"
720299,53966,2009,1,2,0,41,32.456,-96.913,217,170,4.6,15,8,9999.9,"Ennis"
720299,53966,2009,1,2,1,1,32.456,-96.913,217,170,5.1,15,9,9999.9,"Ennis"
720299,53966,2009,1,2,1,21,32.456,-96.913,217,170,4.6,15,10,9999.9,"Ennis"
720299,53966,2009,1,2,1,41,32.456,-96.913,217,170,4.6,14,10,9999.9,"Ennis"
720299,53966,2009,1,2,2,1,32.456,-96.913,217,170,4.6,13,10,9999.9,"Ennis"
720299,53966,2009,1,2,2,21,32.456,-96.913,217,160,4.1,13,10,9999.9,"Ennis"
720299,53966,2009,1,2,2,41,32.456,-96.913,217,160,5.1,13,10,9999.9,"Ennis"
720299,53966,2009,1,2,3,1,32.456,-96.913,217,160,4.6,12,10,9999.9,"Ennis"
720299,53966,2009,1,2,3,21,32.456,-96.913,217,160,5.1,12,11,9999.9,"Ennis"
720299,53966,2009,1,2,3,41,32.456,-96.913,217,160,4.1,12,11,9999.9,"Ennis"
720299,53966,2009,1,2,4,1,32.456,-96.913,217,160,3.6,12,11,9999.9,"Ennis"
720299,53966,2009,1,2,4,21,32.456,-96.913,217,160,3.6,12,11,9999.9,"Ennis"
720299,53966,2009,1,2,4,41,32.456,-96.913,217,160,3.6,11,11,9999.9,"Ennis"
720299,53966,2009,1,2,5,1,32.456,-96.913,217,160,3.1,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,5,21,32.456,-96.913,217,160,3.1,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,5,41,32.456,-96.913,217,160,3.6,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,6,1,32.456,-96.913,217,160,3.6,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,6,21,32.456,-96.913,217,160,3.1,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,6,41,32.456,-96.913,217,170,3.6,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,7,1,32.456,-96.913,217,170,4.1,11,10,9999.9,"Ennis"
720299,53966,2009,1,2,7,21,32.456,-96.913,217,170,3.1,10,10,9999.9,"Ennis"
720299,53966,2009,1,2,7,41,32.456,-96.913,217,160,4.1,10,10,9999.9,"Ennis"
720299,53966,2009,1,2,8,1,32.456,-96.913,217,150,2.6,10,10,9999.9,"Ennis"
