"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
723065,13783,2009,1,1,0,3,35.635,-77.383,8,330,7.7,4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,0,23,35.635,-77.383,8,320,6.2,3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,0,42,35.635,-77.383,8,320,4.1,3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,1,1,35.635,-77.383,8,320,4.6,3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,1,21,35.635,-77.383,8,320,5.1,2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,1,43,35.635,-77.383,8,320,4.6,2,-13,9999.9,"Greenville"
723065,13783,2009,1,1,2,4,35.635,-77.383,8,320,3.1,2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,2,27,35.635,-77.383,8,330,3.1,1,-12,9999.9,"Greenville"
723065,13783,2009,1,1,2,44,35.635,-77.383,8,320,3.1,1,-12,9999.9,"Greenville"
723065,13783,2009,1,1,3,2,35.635,-77.383,8,340,5.1,1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,3,22,35.635,-77.383,8,340,5.7,1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,3,41,35.635,-77.383,8,340,3.6,1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,4,2,35.635,-77.383,8,330,4.1,0,-13,9999.9,"Greenville"
723065,13783,2009,1,1,4,23,35.635,-77.383,8,340,3.6,0,-13,9999.9,"Greenville"
723065,13783,2009,1,1,4,42,35.635,-77.383,8,340,3.6,-1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,5,3,35.635,-77.383,8,340,2.6,-1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,5,23,35.635,-77.383,8,340,2.1,-2,-13,9999.9,"Greenville"
723065,13783,2009,1,1,5,42,35.635,-77.383,8,340,2.1,-2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,6,1,35.635,-77.383,8,999,0,-2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,6,22,35.635,-77.383,8,320,2.1,-2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,6,41,35.635,-77.383,8,340,2.1,-2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,7,6,35.635,-77.383,8,330,1.5,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,7,23,35.635,-77.383,8,330,1.5,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,7,41,35.635,-77.383,8,340,1.5,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,8,1,35.635,-77.383,8,340,1.5,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,8,22,35.635,-77.383,8,340,1.5,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,8,42,35.635,-77.383,8,360,1.5,-5,-12,9999.9,"Greenville"
723065,13783,2009,1,1,9,3,35.635,-77.383,8,999,0,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,9,22,35.635,-77.383,8,350,1.5,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,9,42,35.635,-77.383,8,350,2.1,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,10,2,35.635,-77.383,8,999,0,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,10,22,35.635,-77.383,8,999,0,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,10,42,35.635,-77.383,8,340,1.5,-4,-12,9999.9,"Greenville"
723065,13783,2009,1,1,11,2,35.635,-77.383,8,999,0,-6,-12,9999.9,"Greenville"
723065,13783,2009,1,1,11,22,35.635,-77.383,8,999,0,-6,-12,9999.9,"Greenville"
723065,13783,2009,1,1,11,42,35.635,-77.383,8,999,0,-5,-12,9999.9,"Greenville"
723065,13783,2009,1,1,12,6,35.635,-77.383,8,999,0,-6,-11,9999.9,"Greenville"
723065,13783,2009,1,1,12,22,35.635,-77.383,8,999,0,-7,-11,9999.9,"Greenville"
723065,13783,2009,1,1,12,42,35.635,-77.383,8,999,0,-6,-11,9999.9,"Greenville"
723065,13783,2009,1,1,13,2,35.635,-77.383,8,999,0,-4,-11,9999.9,"Greenville"
723065,13783,2009,1,1,13,22,35.635,-77.383,8,999,0,-4,-11,9999.9,"Greenville"
723065,13783,2009,1,1,13,42,35.635,-77.383,8,360,3.1,-3,-11,9999.9,"Greenville"
723065,13783,2009,1,1,14,2,35.635,-77.383,8,360,3.6,-3,-12,9999.9,"Greenville"
723065,13783,2009,1,1,14,23,35.635,-77.383,8,360,2.6,-2,-12,9999.9,"Greenville"
723065,13783,2009,1,1,14,43,35.635,-77.383,8,350,3.6,-1,-13,9999.9,"Greenville"
723065,13783,2009,1,1,15,3,35.635,-77.383,8,360,3.6,-1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,15,22,35.635,-77.383,8,40,3.6,-1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,15,43,35.635,-77.383,8,30,4.6,0,-14,9999.9,"Greenville"
723065,13783,2009,1,1,16,2,35.635,-77.383,8,340,3.6,0,-14,9999.9,"Greenville"
723065,13783,2009,1,1,16,27,35.635,-77.383,8,10,4.6,1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,16,42,35.635,-77.383,8,40,3.6,1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,17,2,35.635,-77.383,8,10,2.1,1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,17,26,35.635,-77.383,8,340,2.6,1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,17,42,35.635,-77.383,8,20,2.1,1,-14,9999.9,"Greenville"
723065,13783,2009,1,1,18,2,35.635,-77.383,8,10,2.1,2,-14,9999.9,"Greenville"
723065,13783,2009,1,1,18,22,35.635,-77.383,8,10,2.6,2,-14,9999.9,"Greenville"
723065,13783,2009,1,1,18,42,35.635,-77.383,8,340,2.6,2,-14,9999.9,"Greenville"
723065,13783,2009,1,1,19,2,35.635,-77.383,8,10,3.1,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,19,21,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,19,41,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,20,2,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,20,22,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,20,43,35.635,-77.383,8,320,1.5,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,21,3,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,21,21,35.635,-77.383,8,999,0,3,-14,9999.9,"Greenville"
723065,13783,2009,1,1,21,41,35.635,-77.383,8,999,0,2,-13,9999.9,"Greenville"
723065,13783,2009,1,1,22,3,35.635,-77.383,8,360,1.5,0,-13,9999.9,"Greenville"
723065,13783,2009,1,1,22,22,35.635,-77.383,8,999,0,0,-13,9999.9,"Greenville"
