"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
727430,94850,2009,1,1,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,1,8,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,2,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,3,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,4,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,5,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,6,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,7,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,8,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,9,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,10,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,11,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,12,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,13,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,14,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,15,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,16,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,17,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,18,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,19,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,20,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,21,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,22,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,23,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,24,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,25,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,26,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,27,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,28,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,29,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,30,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,1,31,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,1,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,1,8,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,2,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,3,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,4,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,5,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,6,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,7,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,8,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,9,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,10,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,11,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,12,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,13,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,14,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,15,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,16,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
727430,94850,2009,2,17,4,59,46.533,-87.567,434,999,999.9,999.9,999.9,9999.9,"Ishpeming"
