"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Kano",610900,7,2014,1,1,0,13.783,8.983,453,360,2.1,17,-3.2
"Kano",610900,7,2014,1,1,3,13.783,8.983,453,360,2.1,16.5,-5.2
"Kano",610900,7,2014,1,1,6,13.783,8.983,453,999,0,14.5,-4.2
"Kano",610900,7,2014,1,1,9,13.783,8.983,453,40,4.1,23.2,-8
"Kano",610900,7,2014,1,1,15,13.783,8.983,453,20,3.1,29.2,-8
"Kano",610900,7,2014,1,1,18,13.783,8.983,453,20,2.1,25.5,-8
"Kano",610900,7,2014,1,1,21,13.783,8.983,453,20,3.1,21.5,-7.2
"Kano",610900,7,2014,1,2,0,13.783,8.983,453,360,2.1,19,-6.5
"Kano",610900,7,2014,1,2,3,13.783,8.983,453,40,2.1,19,-8
"Kano",610900,7,2014,1,2,6,13.783,8.983,453,360,2.1,18,-8
"Kano",610900,7,2014,1,2,9,13.783,8.983,453,340,4.1,23.5,-8
"Kano",610900,7,2014,1,2,12,13.783,8.983,453,40,2.1,28,-8
"Kano",610900,7,2014,1,2,15,13.783,8.983,453,360,4.1,29,-8
"Kano",610900,7,2014,1,2,18,13.783,8.983,453,360,4.1,25.4,-8
"Kano",610900,7,2014,1,2,21,13.783,8.983,453,360,2.1,22.4,-7
"Kano",610900,7,2014,1,3,0,13.783,8.983,453,340,3.1,20,-5
"Kano",610900,7,2014,1,3,3,13.783,8.983,453,40,2.1,19,-4.7
"Kano",610900,7,2014,1,3,6,13.783,8.983,453,20,3.1,19.4,-3.3
"Kano",610900,7,2014,1,3,9,13.783,8.983,453,360,6.2,23.4,-6
"Kano",610900,7,2014,1,3,12,13.783,8.983,453,40,6.2,27,-6.2
"Kano",610900,7,2014,1,3,15,13.783,8.983,453,80,3.1,29,-8
"Kano",610900,7,2014,1,3,18,13.783,8.983,453,20,2.1,25.5,-4
"Kano",610900,7,2014,1,3,21,13.783,8.983,453,360,2.1,21.8,-2.6
"Kano",610900,7,2014,1,4,0,13.783,8.983,453,20,3.1,19.6,-4.1
"Kano",610900,7,2014,1,4,3,13.783,8.983,453,360,3.1,17,-1.7
"Kano",610900,7,2014,1,4,6,13.783,8.983,453,20,3.1,15,-1.6
"Kano",610900,7,2014,1,4,9,13.783,8.983,453,20,4.1,23.5,-3.4
"Kano",610900,7,2014,1,4,12,13.783,8.983,453,40,4.1,26.8,-3.7
"Kano",610900,7,2014,1,4,15,13.783,8.983,453,40,4.1,28.4,-6.5
"Kano",610900,7,2014,1,4,18,13.783,8.983,453,20,2.1,25.2,-3.2
"Kano",610900,7,2014,1,4,21,13.783,8.983,453,360,3.1,21.5,-2
"Kano",610900,7,2014,1,5,0,13.783,8.983,453,40,3.1,18.5,-2.4
"Kano",610900,7,2014,1,5,3,13.783,8.983,453,40,3.1,16.6,-2.6
"Kano",610900,7,2014,1,5,6,13.783,8.983,453,40,2.1,16,-3
"Kano",610900,7,2014,1,5,9,13.783,8.983,453,60,5.1,20,-2.6
"Kano",610900,7,2014,1,5,12,13.783,8.983,453,40,4.1,25.2,-3
"Kano",610900,7,2014,1,5,15,13.783,8.983,453,60,3.1,27,-6.8
"Kano",610900,7,2014,1,5,18,13.783,8.983,453,40,1,24.4,-3.6
"Kano",610900,7,2014,1,5,21,13.783,8.983,453,40,2.1,21.5,-4.2
"Kano",610900,7,2014,1,6,0,13.783,8.983,453,40,3.1,18.5,-2.3
"Kano",610900,7,2014,1,6,3,13.783,8.983,453,60,4.1,17.5,-1.8
"Kano",610900,7,2014,1,6,6,13.783,8.983,453,40,2.1,16.2,-0.2
"Kano",610900,7,2014,1,6,9,13.783,8.983,453,40,4.1,19.5,-2.4
"Kano",610900,7,2014,1,6,12,13.783,8.983,453,40,2.1,24.5,-3.7
"Kano",610900,7,2014,1,6,15,13.783,8.983,453,40,3.1,27.2,-5.2
"Kano",610900,7,2014,1,6,18,13.783,8.983,453,999,0,24,-2.8
"Kano",610900,7,2014,1,6,21,13.783,8.983,453,40,2.1,21,-2
"Kano",610900,7,2014,1,7,0,13.783,8.983,453,40,2.1,19,2.9
"Kano",610900,7,2014,1,7,3,13.783,8.983,453,40,2.1,17,-0.2
"Kano",610900,7,2014,1,7,6,13.783,8.983,453,360,4.1,17,-1.6
"Kano",610900,7,2014,1,7,9,13.783,8.983,453,340,4.1,22.8,-0.7
"Kano",610900,7,2014,1,7,12,13.783,8.983,453,360,3.1,27.8,-0.6
"Kano",610900,7,2014,1,7,15,13.783,8.983,453,40,0.5,28.8,-3.1
"Kano",610900,7,2014,1,7,18,13.783,8.983,453,360,4.1,25.4,0.2
"Kano",610900,7,2014,1,7,21,13.783,8.983,453,360,3.1,22,-1.5
"Kano",610900,7,2014,1,8,0,13.783,8.983,453,120,2.1,19.3,-2.8
"Kano",610900,7,2014,1,8,3,13.783,8.983,453,40,2.1,17.5,-3.2
"Kano",610900,7,2014,1,8,6,13.783,8.983,453,20,2.1,15,-3
"Kano",610900,7,2014,1,8,9,13.783,8.983,453,360,6.2,21.6,-6
"Kano",610900,7,2014,1,8,12,13.783,8.983,453,360,6.2,25.6,-7.1
"Kano",610900,7,2014,1,8,18,13.783,8.983,453,20,2.1,24.5,-3.7
"Kano",610900,7,2014,1,8,21,13.783,8.983,453,360,3.1,21.3,-3.8
"Kano",610900,7,2014,1,9,0,13.783,8.983,453,360,4.1,18,-3.3
"Kano",610900,7,2014,1,9,3,13.783,8.983,453,60,3.1,17,-5
"Kano",610900,7,2014,1,9,6,13.783,8.983,453,360,3.1,14.8,-2.6
"Kano",610900,7,2014,1,9,9,13.783,8.983,453,360,4.1,20,-2.4
"Kano",610900,7,2014,1,9,12,13.783,8.983,453,40,4.1,26,-5.4
"Kano",610900,7,2014,1,9,15,13.783,8.983,453,360,2.1,27.5,-5.3
"Kano",610900,7,2014,1,9,18,13.783,8.983,453,360,2.1,25,-7.2
"Kano",610900,7,2014,1,9,21,13.783,8.983,453,360,2.1,21.5,-4
"Kano",610900,7,2014,1,10,0,13.783,8.983,453,20,2.1,17.5,-1.7
"Kano",610900,7,2014,1,10,3,13.783,8.983,453,360,3.1,17.3,-0.7
"Kano",610900,7,2014,1,10,6,13.783,8.983,453,40,3.1,16,-2
"Kano",610900,7,2014,1,10,9,13.783,8.983,453,20,4.1,19,-1.5
"Kano",610900,7,2014,1,10,12,13.783,8.983,453,60,5.1,24.2,-5
"Kano",610900,7,2014,1,10,15,13.783,8.983,453,80,3.1,26,-7
"Kano",610900,7,2014,1,10,18,13.783,8.983,453,40,2.1,23.5,-7.5
"Kano",610900,7,2014,1,10,21,13.783,8.983,453,40,2.1,21.2,-7
"Kano",610900,7,2014,1,11,0,13.783,8.983,453,360,3.1,19,-5.8
"Kano",610900,7,2014,1,11,3,13.783,8.983,453,40,2.1,17.5,-3.2
"Kano",610900,7,2014,1,11,6,13.783,8.983,453,40,5.1,15.5,-2.2
"Kano",610900,7,2014,1,11,9,13.783,8.983,453,60,6.2,19,-1.5
"Kano",610900,7,2014,1,11,12,13.783,8.983,453,60,6.2,24,-4.4
"Kano",610900,7,2014,1,11,15,13.783,8.983,453,20,4.1,26.6,-5.3
"Kano",610900,7,2014,1,11,18,13.783,8.983,453,360,2.1,23.7,-3
"Kano",610900,7,2014,1,11,21,13.783,8.983,453,20,2.1,20.2,-1.4
"Kano",610900,7,2014,1,12,0,13.783,8.983,453,360,2.1,19,-2.2
"Kano",610900,7,2014,1,12,3,13.783,8.983,453,40,2.1,17,-3.4
"Kano",610900,7,2014,1,12,6,13.783,8.983,453,40,3.1,15.5,-4.2
"Kano",610900,7,2014,1,12,9,13.783,8.983,453,40,5.1,19.8,-3.8
"Kano",610900,7,2014,1,12,12,13.783,8.983,453,40,4.1,24.7,-3.2
"Kano",610900,7,2014,1,12,15,13.783,8.983,453,40,4.1,27,-6.1
"Kano",610900,7,2014,1,12,18,13.783,8.983,453,40,4.1,24,-2
"Kano",610900,7,2014,1,12,21,13.783,8.983,453,40,4.1,21,-4.4
"Kano",610900,7,2014,1,13,0,13.783,8.983,453,20,3.1,18.7,-4
"Kano",610900,7,2014,1,13,3,13.783,8.983,453,360,2.1,15.8,-2.3
"Kano",610900,7,2014,1,13,6,13.783,8.983,453,999,0,12.2,-1.3
"Kano",610900,7,2014,1,13,9,13.783,8.983,453,40,5.1,21.6,-7
"Kano",610900,7,2014,1,13,12,13.783,8.983,453,60,5.1,26,-6
"Kano",610900,7,2014,1,13,15,13.783,8.983,453,40,2.1,28.3,-6.1
"Kano",610900,7,2014,1,13,18,13.783,8.983,453,20,3.1,25.4,-6.1
"Kano",610900,7,2014,1,13,21,13.783,8.983,453,40,2.1,20.3,-3.4
"Kano",610900,7,2014,1,14,0,13.783,8.983,453,999,0,18,-3.8
"Kano",610900,7,2014,1,14,3,13.783,8.983,453,999,0,13.6,-2.4
"Kano",610900,7,2014,1,14,6,13.783,8.983,453,999,0,10.6,-1.1
"Kano",610900,7,2014,1,14,9,13.783,8.983,453,60,3.1,23,-2.5
"Kano",610900,7,2014,1,14,12,13.783,8.983,453,100,2.1,28.2,-8
"Kano",610900,7,2014,1,14,15,13.783,8.983,453,100,2.1,31,-8
"Kano",610900,7,2014,1,14,18,13.783,8.983,453,999,0,26.2,-2.8
"Kano",610900,7,2014,1,14,21,13.783,8.983,453,999,0,20,-1.4
"Kano",610900,7,2014,1,15,0,13.783,8.983,453,999,0,15.5,-0.4
"Kano",610900,7,2014,1,15,3,13.783,8.983,453,999,0,12,-1
"Kano",610900,7,2014,1,15,6,13.783,8.983,453,999,0,10.7,-1.6
"Kano",610900,7,2014,1,15,9,13.783,8.983,453,80,3.1,27,-8
"Kano",610900,7,2014,1,15,12,13.783,8.983,453,999,0,30,-3.2
"Kano",610900,7,2014,1,15,15,13.783,8.983,453,999,0,32,-2
"Kano",610900,7,2014,1,15,18,13.783,8.983,453,999,0,26,3
"Kano",610900,7,2014,1,15,21,13.783,8.983,453,999,0,20,1.8
"Kano",610900,7,2014,1,16,0,13.783,8.983,453,999,0,16.5,2.4
"Kano",610900,7,2014,1,16,6,13.783,8.983,453,999,0,13.8,-0.2
"Kano",610900,7,2014,1,16,9,13.783,8.983,453,40,2.1,26.5,-7.3
"Kano",610900,7,2014,1,16,12,13.783,8.983,453,40,2.1,32.2,-8
"Kano",610900,7,2014,1,16,15,13.783,8.983,453,360,2.1,33.4,-8
"Kano",610900,7,2014,1,16,18,13.783,8.983,453,40,2.1,29.5,-6.8
"Kano",610900,7,2014,1,16,21,13.783,8.983,453,360,2.1,23.5,-4
"Kano",610900,7,2014,1,17,0,13.783,8.983,453,20,2.1,21,-6.2
"Kano",610900,7,2014,1,17,3,13.783,8.983,453,40,2.1,19.6,-6
"Kano",610900,7,2014,1,17,6,13.783,8.983,453,360,1,15.8,-3.8
"Kano",610900,7,2014,1,17,9,13.783,8.983,453,40,2.1,25.2,-6.8
"Kano",610900,7,2014,1,17,12,13.783,8.983,453,60,3.1,31.2,-7.6
"Kano",610900,7,2014,1,17,15,13.783,8.983,453,80,4.1,32.6,-4
"Kano",610900,7,2014,1,17,18,13.783,8.983,453,40,2.1,29.4,-6.5
"Kano",610900,7,2014,1,17,21,13.783,8.983,453,40,2.1,25,-7
"Kano",610900,7,2014,1,18,0,13.783,8.983,453,40,2.1,20.5,-5.2
"Kano",610900,7,2014,1,18,3,13.783,8.983,453,80,2.1,18,-4.3
"Kano",610900,7,2014,1,18,6,13.783,8.983,453,20,3.1,18.5,-5.3
"Kano",610900,7,2014,1,18,9,13.783,8.983,453,60,4.1,25,-7
"Kano",610900,7,2014,1,18,12,13.783,8.983,453,80,5.1,30,-5
"Kano",610900,7,2014,1,18,15,13.783,8.983,453,360,3.1,32,-8
"Kano",610900,7,2014,1,18,18,13.783,8.983,453,40,2.1,27,-4.3
"Kano",610900,7,2014,1,18,21,13.783,8.983,453,999,0,22.2,0.4
"Kano",610900,7,2014,1,19,0,13.783,8.983,453,40,3.1,20.4,-5.1
"Kano",610900,7,2014,1,19,3,13.783,8.983,453,360,3.1,20,-5
"Kano",610900,7,2014,1,19,6,13.783,8.983,453,320,3.1,17.4,-4.9
"Kano",610900,7,2014,1,19,9,13.783,8.983,453,360,3.1,25,-8
"Kano",610900,7,2014,1,19,12,13.783,8.983,453,20,3.1,30.3,-7.6
"Kano",610900,7,2014,1,19,15,13.783,8.983,453,40,2.1,32.5,-8
"Kano",610900,7,2014,1,19,18,13.783,8.983,453,20,2.1,28.2,-4
"Kano",610900,7,2014,1,19,21,13.783,8.983,453,40,2.1,24.5,-8
"Kano",610900,7,2014,1,20,0,13.783,8.983,453,360,2.1,22.5,-7
"Kano",610900,7,2014,1,20,3,13.783,8.983,453,340,2.1,21,-7.4
"Kano",610900,7,2014,1,20,6,13.783,8.983,453,360,2.1,19.5,-8
"Kano",610900,7,2014,1,20,9,13.781,8.9835,457.5,40,4.1,26,-8
"Kano",610900,7,2014,1,20,10,13.779,8.984,462,40,3.1,27,-7
"Kano",610900,7,2014,1,20,11,13.779,8.984,462,40,3.1,30,-1
"Kano",610900,7,2014,1,20,12,13.781,8.9835,457.5,40,2.1,31,-8
"Kano",610900,7,2014,1,20,13,13.779,8.984,462,40,2.1,32,-8
"Kano",610900,7,2014,1,20,14,13.779,8.984,462,20,2.1,33,-8
"Kano",610900,7,2014,1,20,15,13.781,8.9835,457.5,20,2.1,32.8,-8
"Kano",610900,7,2014,1,20,16,13.779,8.984,462,360,2.1,33,-8
"Kano",610900,7,2014,1,20,17,13.779,8.984,462,20,2.1,31,-8
"Kano",610900,7,2014,1,20,18,13.781,8.9835,457.5,20,1,29,-5
"Kano",610900,7,2014,1,20,21,13.783,8.983,453,360,2.1,25,-7.5
"Kano",610900,7,2014,1,21,0,13.783,8.983,453,360,2.1,22.5,-7.5
"Kano",610900,7,2014,1,21,3,13.783,8.983,453,360,2.1,21.8,-8
"Kano",610900,7,2014,1,21,6,13.781,8.9835,457.5,360,2.1,19,-5.5
"Kano",610900,7,2014,1,21,7,13.779,8.984,462,40,3.1,21,-8
"Kano",610900,7,2014,1,21,8,13.779,8.984,462,40,4.1,22,-8
"Kano",610900,7,2014,1,21,9,13.781,8.9835,457.5,40,4.1,26.8,-8
