"city","USAFID","rank","YR","M","D","HR","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT"
"Las Vegas",724846,2,2009,1,1,0,36.212,-115.19,672,180,1.5,11,0
"Las Vegas",724846,2,2009,1,1,1,36.212,-115.19,672,999,0,11,-1
"Las Vegas",724846,2,2009,1,1,2,36.212,-115.19,672,300,2.1,9,1
"Las Vegas",724846,2,2009,1,1,3,36.212,-115.19,672,320,1.5,7,1
"Las Vegas",724846,2,2009,1,1,4,36.212,-115.19,672,330,2.1,6.1,1.1
"Las Vegas",724846,2,2009,1,1,5,36.212,-115.19,672,320,2.6,5,0.6
"Las Vegas",724846,2,2009,1,1,6,36.212,-115.19,672,320,3.1,4.4,0.6
"Las Vegas",724846,2,2009,1,1,7,36.212,-115.19,672,772.666666666667,667.3,4,0
"Las Vegas",724846,2,2009,1,1,8,36.212,-115.19,672,320,1.5,4.4,0
"Las Vegas",724846,2,2009,1,1,9,36.212,-115.19,672,330,1.5,3.9,0
"Las Vegas",724846,2,2009,1,1,10,36.212,-115.19,672,330,1.5,2.8,-0.6
"Las Vegas",724846,2,2009,1,1,11,36.212,-115.19,672,320,3.6,3.9,-0.6
"Las Vegas",724846,2,2009,1,1,12,36.212,-115.19,672,30,1.5,2.8,-0.6
"Las Vegas",724846,2,2009,1,1,13,36.212,-115.19,672,300,2.1,1.1,-1.1
"Las Vegas",724846,2,2009,1,1,14,36.212,-115.19,672,310,2.6,1.7,-1.1
"Las Vegas",724846,2,2009,1,1,15,36.212,-115.19,672,330,2.6,3.3,0
"Las Vegas",724846,2,2009,1,1,16,36.212,-115.19,672,999,0,7.2,0
"Las Vegas",724846,2,2009,1,1,17,36.212,-115.19,672,999,0,8.3,0.6
"Las Vegas",724846,2,2009,1,1,18,36.212,-115.19,672,999,0,10.6,0.6
"Las Vegas",724846,2,2009,1,1,19,36.212,-115.19,672,999,0,11.1,-1.1
"Las Vegas",724846,2,2009,1,1,20,36.212,-115.19,672,150,2.1,12.8,-1.1
"Las Vegas",724846,2,2009,1,1,21,36.212,-115.19,672,120,2.1,13.3,-1.1
"Las Vegas",724846,2,2009,1,1,22,36.212,-115.19,672,100,2.6,13.3,-1.1
"Las Vegas",724846,2,2009,1,1,23,36.212,-115.19,672,999,0,13.3,-0.6
"Las Vegas",724846,2,2009,1,2,0,36.212,-115.19,672,999,0,11.7,-0.6
"Las Vegas",724846,2,2009,1,2,1,36.212,-115.19,672,999,0,10,0
"Las Vegas",724846,2,2009,1,2,2,36.212,-115.19,672,999,0,8.9,0.6
"Las Vegas",724846,2,2009,1,2,3,36.212,-115.19,672,999,0,8.3,0.6
"Las Vegas",724846,2,2009,1,2,4,36.212,-115.19,672,310,2.1,6.1,1.1
"Las Vegas",724846,2,2009,1,2,5,36.212,-115.19,672,340,1.5,5.6,0.6
"Las Vegas",724846,2,2009,1,2,6,36.212,-115.19,672,300,1.5,5.6,1.1
"Las Vegas",724846,2,2009,1,2,7,36.212,-115.19,672,644.5,500.7,4.4,0.6
"Las Vegas",724846,2,2009,1,2,8,36.212,-115.19,672,999,0,3.9,0
"Las Vegas",724846,2,2009,1,2,9,36.212,-115.19,672,320,1.5,2.8,-0.6
"Las Vegas",724846,2,2009,1,2,10,36.212,-115.19,672,320,1.5,2.8,-0.6
"Las Vegas",724846,2,2009,1,2,11,36.212,-115.19,672,999,0,2.2,-0.6
"Las Vegas",724846,2,2009,1,2,12,36.212,-115.19,672,320,2.1,1.7,-1.1
"Las Vegas",724846,2,2009,1,2,13,36.212,-115.19,672,999,0,1.7,-1.1
"Las Vegas",724846,2,2009,1,2,14,36.212,-115.19,672,999,0,1.1,-1.1
"Las Vegas",724846,2,2009,1,2,15,36.212,-115.19,672,20,2.1,3.3,-0.6
"Las Vegas",724846,2,2009,1,2,16,36.212,-115.19,672,999,0,6.7,0.6
"Las Vegas",724846,2,2009,1,2,17,36.212,-115.19,672,999,0,8.3,0.6
"Las Vegas",724846,2,2009,1,2,18,36.212,-115.19,672,999,0,10.6,0.6
"Las Vegas",724846,2,2009,1,2,19,36.212,-115.19,672,120,2.1,10,0.6
"Las Vegas",724846,2,2009,1,2,20,36.212,-115.19,672,100,2.6,11.7,1.1
"Las Vegas",724846,2,2009,1,2,21,36.212,-115.19,672,999,0,12.8,1.7
"Las Vegas",724846,2,2009,1,2,22,36.212,-115.19,672,130,2.1,13.3,1.7
"Las Vegas",724846,2,2009,1,2,23,36.212,-115.19,672,999,0,13.3,1.7
"Las Vegas",724846,2,2009,1,3,0,36.212,-115.19,672,280,2.6,12.2,2.2
"Las Vegas",724846,2,2009,1,3,1,36.212,-115.19,672,20,1.5,10,2.2
"Las Vegas",724846,2,2009,1,3,2,36.212,-115.19,672,999,1.5,10.6,1.7
"Las Vegas",724846,2,2009,1,3,3,36.212,-115.19,672,90,5.1,10.6,1.7
"Las Vegas",724846,2,2009,1,3,4,36.212,-115.19,672,70,4.1,10,1.7
"Las Vegas",724846,2,2009,1,3,5,36.212,-115.19,672,360,1.5,10,1.7
"Las Vegas",724846,2,2009,1,3,6,36.212,-115.19,672,10,4.1,9.4,1.7
"Las Vegas",724846,2,2009,1,3,7,36.212,-115.19,672,504.5,501.25,9.4,1.7
"Las Vegas",724846,2,2009,1,3,8,36.212,-115.19,672,999,2.1,10,1.7
"Las Vegas",724846,2,2009,1,3,9,36.212,-115.19,672,999,0,9.4,2.2
"Las Vegas",724846,2,2009,1,3,10,36.212,-115.19,672,999,0,7.8,2.2
"Las Vegas",724846,2,2009,1,3,11,36.212,-115.19,672,40,3.1,9.4,-1.1
"Las Vegas",724846,2,2009,1,3,12,36.212,-115.19,672,350,5.7,8.9,-3.3
"Las Vegas",724846,2,2009,1,3,13,36.212,-115.19,672,350,6.7,8.9,-3.9
"Las Vegas",724846,2,2009,1,3,14,36.212,-115.19,672,350,6.2,8.9,-4.4
"Las Vegas",724846,2,2009,1,3,15,36.212,-115.19,672,30,5.7,8.9,-4.4
"Las Vegas",724846,2,2009,1,3,16,36.212,-115.19,672,360,7.7,10,-3.9
"Las Vegas",724846,2,2009,1,3,17,36.212,-115.19,672,330,7.7,10,-5.6
"Las Vegas",724846,2,2009,1,3,18,36.212,-115.19,672,340,9.8,10,-6.7
"Las Vegas",724846,2,2009,1,3,19,36.212,-115.19,672,320,11.8,11.7,-8.9
"Las Vegas",724846,2,2009,1,3,20,36.212,-115.19,672,350,8.8,11.7,-7.8
"Las Vegas",724846,2,2009,1,3,21,36.212,-115.19,672,10,5.7,11.1,-10
"Las Vegas",724846,2,2009,1,3,22,36.212,-115.19,672,30,5.7,11.1,-10.6
"Las Vegas",724846,2,2009,1,3,23,36.212,-115.19,672,30,4.1,10,-8.9
"Las Vegas",724846,2,2009,1,4,0,36.212,-115.19,672,50,2.1,8.9,-10
"Las Vegas",724846,2,2009,1,4,1,36.212,-115.19,672,70,4.1,8.9,-10.6
"Las Vegas",724846,2,2009,1,4,2,36.212,-115.19,672,40,3.1,7.8,-11.1
"Las Vegas",724846,2,2009,1,4,3,36.212,-115.19,672,40,3.1,6.1,-10.6
"Las Vegas",724846,2,2009,1,4,4,36.212,-115.19,672,360,5.1,5.6,-11.1
"Las Vegas",724846,2,2009,1,4,5,36.212,-115.19,672,340,7.2,5,-10.6
"Las Vegas",724846,2,2009,1,4,6,36.212,-115.19,672,330,9.8,4.4,-11.1
"Las Vegas",724846,2,2009,1,4,7,36.212,-115.19,672,669.5,504.35,3.3,-12.2
"Las Vegas",724846,2,2009,1,4,8,36.212,-115.19,672,350,7.2,2.8,-12.8
"Las Vegas",724846,2,2009,1,4,9,36.212,-115.19,672,350,8.8,2.2,-13.3
"Las Vegas",724846,2,2009,1,4,10,36.212,-115.19,672,350,6.2,1.7,-13.3
"Las Vegas",724846,2,2009,1,4,11,36.212,-115.19,672,350,8.8,1.1,-13.9
"Las Vegas",724846,2,2009,1,4,12,36.212,-115.19,672,350,7.7,1.1,-14.4
"Las Vegas",724846,2,2009,1,4,13,36.212,-115.19,672,340,8.2,1.1,-15
"Las Vegas",724846,2,2009,1,4,14,36.212,-115.19,672,340,7.2,0.6,-15.6
"Las Vegas",724846,2,2009,1,4,15,36.212,-115.19,672,350,7.2,1.1,-15
"Las Vegas",724846,2,2009,1,4,16,36.212,-115.19,672,350,9.8,2.2,-16.1
"Las Vegas",724846,2,2009,1,4,17,36.212,-115.19,672,350,7.7,3.9,-16.1
"Las Vegas",724846,2,2009,1,4,18,36.212,-115.19,672,340,7.7,5,-16.1
"Las Vegas",724846,2,2009,1,4,19,36.212,-115.19,672,350,8.2,5.6,-16.7
"Las Vegas",724846,2,2009,1,4,20,36.212,-115.19,672,350,7.2,6.7,-16.7
"Las Vegas",724846,2,2009,1,4,21,36.212,-115.19,672,340,7.2,7.2,-17.2
"Las Vegas",724846,2,2009,1,4,22,36.212,-115.19,672,350,5.7,7.8,-17.8
"Las Vegas",724846,2,2009,1,4,23,36.212,-115.19,672,350,5.1,7.2,-17.8
"Las Vegas",724846,2,2009,1,5,0,36.212,-115.19,672,330,6.7,5.6,-17.8
"Las Vegas",724846,2,2009,1,5,1,36.212,-115.19,672,360,5.7,5,-16.7
"Las Vegas",724846,2,2009,1,5,2,36.212,-115.19,672,350,4.6,3.9,-15.6
"Las Vegas",724846,2,2009,1,5,3,36.212,-115.19,672,350,5.1,3.3,-15.6
"Las Vegas",724846,2,2009,1,5,4,36.212,-115.19,672,350,4.1,2.2,-15
"Las Vegas",724846,2,2009,1,5,5,36.212,-115.19,672,350,4.1,3.3,-15
"Las Vegas",724846,2,2009,1,5,6,36.212,-115.19,672,350,4.1,2.2,-15
"Las Vegas",724846,2,2009,1,5,7,36.212,-115.19,672,679.5,501.5,0.6,-14.4
"Las Vegas",724846,2,2009,1,5,8,36.212,-115.19,672,280,3.1,-0.6,-13.9
"Las Vegas",724846,2,2009,1,5,9,36.212,-115.19,672,330,2.6,-1.1,-12.8
"Las Vegas",724846,2,2009,1,5,10,36.212,-115.19,672,360,4.1,0.6,-15
"Las Vegas",724846,2,2009,1,5,11,36.212,-115.19,672,270,3.6,-0.6,-13.9
"Las Vegas",724846,2,2009,1,5,12,36.212,-115.19,672,320,2.1,-1.1,-13.9
"Las Vegas",724846,2,2009,1,5,13,36.212,-115.19,672,999,0,-1.7,-13.3
"Las Vegas",724846,2,2009,1,5,14,36.212,-115.19,672,999,0,-1.1,-12.8
"Las Vegas",724846,2,2009,1,5,15,36.212,-115.19,672,999,0,0,-11.7
"Las Vegas",724846,2,2009,1,5,16,36.212,-115.19,672,80,1.5,1.1,-13.3
"Las Vegas",724846,2,2009,1,5,17,36.212,-115.19,672,999,0,2.2,-12.8
"Las Vegas",724846,2,2009,1,5,18,36.212,-115.19,672,90,1.5,3.3,-13.3
"Las Vegas",724846,2,2009,1,5,19,36.212,-115.19,672,999,0,3.9,-15
"Las Vegas",724846,2,2009,1,5,20,36.212,-115.19,672,999,0,4.4,-15
"Las Vegas",724846,2,2009,1,5,21,36.212,-115.19,672,90,2.6,4.4,-14.4
"Las Vegas",724846,2,2009,1,5,22,36.212,-115.19,672,100,3.1,5,-15
"Las Vegas",724846,2,2009,1,5,23,36.212,-115.19,672,110,3.1,4.4,-15
"Las Vegas",724846,2,2009,1,6,0,36.212,-115.19,672,150,2.6,3.9,-13.9
"Las Vegas",724846,2,2009,1,6,1,36.212,-115.19,672,110,3.1,3.3,-13.3
"Las Vegas",724846,2,2009,1,6,2,36.212,-115.19,672,40,2.1,2.8,-13.3
"Las Vegas",724846,2,2009,1,6,3,36.212,-115.19,672,999,0,1.7,-12.2
"Las Vegas",724846,2,2009,1,6,4,36.212,-115.19,672,270,3.1,1.7,-12.2
"Las Vegas",724846,2,2009,1,6,5,36.212,-115.19,672,999,0,0.6,-11.1
"Las Vegas",724846,2,2009,1,6,6,36.212,-115.19,672,350,1.5,-0.6,-10
"Las Vegas",724846,2,2009,1,6,7,36.212,-115.19,672,639.5,501,-0.6,-10
"Las Vegas",724846,2,2009,1,6,8,36.212,-115.19,672,999,1.5,-1.1,-9.4
"Las Vegas",724846,2,2009,1,6,9,36.212,-115.19,672,999,0,0,-10
"Las Vegas",724846,2,2009,1,6,10,36.212,-115.19,672,350,2.1,-1.1,-10.6
"Las Vegas",724846,2,2009,1,6,11,36.212,-115.19,672,320,2.6,-1.1,-10.6
"Las Vegas",724846,2,2009,1,6,12,36.212,-115.19,672,40,1.5,-1.7,-10
"Las Vegas",724846,2,2009,1,6,13,36.212,-115.19,672,300,1.5,-1.1,-10
"Las Vegas",724846,2,2009,1,6,14,36.212,-115.19,672,340,2.1,-1.7,-10
"Las Vegas",724846,2,2009,1,6,15,36.212,-115.19,672,999,0,0,-8.3
"Las Vegas",724846,2,2009,1,6,16,36.212,-115.19,672,999,0,1.7,-9.4
"Las Vegas",724846,2,2009,1,6,17,36.212,-115.19,672,999,0,3.3,-10.6
"Las Vegas",724846,2,2009,1,6,18,36.212,-115.19,672,999,0,4.4,-10.6
"Las Vegas",724846,2,2009,1,6,19,36.212,-115.19,672,999,1.5,7.2,-10
"Las Vegas",724846,2,2009,1,6,20,36.212,-115.19,672,140,2.6,8.3,-10
"Las Vegas",724846,2,2009,1,6,21,36.212,-115.19,672,120,2.6,8.9,-9.4
"Las Vegas",724846,2,2009,1,6,22,36.212,-115.19,672,100,1.5,10,-8.9
"Las Vegas",724846,2,2009,1,6,23,36.212,-115.19,672,110,2.1,9.4,-8.3
"Las Vegas",724846,2,2009,1,7,0,36.212,-115.19,672,999,0,8.9,-8.3
"Las Vegas",724846,2,2009,1,7,1,36.212,-115.19,672,999,0,7.2,-7.2
"Las Vegas",724846,2,2009,1,7,2,36.212,-115.19,672,30,1.5,6.7,-6.7
"Las Vegas",724846,2,2009,1,7,3,36.212,-115.19,672,999,0,6.1,-6.1
