"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
725510,14939,2009,1,1,0,0,40.85,-96.75,362,150,4.6,-3.9,-12.8,1023.9,"Lincoln"
725510,14939,2009,1,1,0,54,40.831,-96.764,362,160,6.7,-4,-12,1022.5,"Lincoln"
725510,14939,2009,1,1,1,54,40.831,-96.764,362,150,8.2,-4,-12,1021.1,"Lincoln"
725510,14939,2009,1,1,2,54,40.831,-96.764,362,170,8.2,-4,-12,1019.4,"Lincoln"
725510,14939,2009,1,1,3,54,40.831,-96.764,362,170,8.8,-4,-12,1018,"Lincoln"
725510,14939,2009,1,1,4,54,40.831,-96.764,362,170,7.2,-3.9,-11.7,1016.6,"Lincoln"
725510,14939,2009,1,1,5,54,40.831,-96.764,362,180,8.8,-3.9,-11.1,1014.7,"Lincoln"
725510,14939,2009,1,1,5,59,40.831,-96.764,362,999,999.9,999.9,999.9,9999.9,"Lincoln"
725510,14939,2009,1,1,5,59,40.831,-96.764,362,999,999.9,999.9,999.9,9999.9,"Lincoln"
725510,14939,2009,1,1,6,0,40.85,-96.75,362,180,8.7,-3.9,-11.1,1014.7,"Lincoln"
725510,14939,2009,1,1,6,54,40.831,-96.764,362,190,8.8,-3.9,-10.6,1013.1,"Lincoln"
725510,14939,2009,1,1,7,54,40.831,-96.764,362,190,8.8,-3.3,-10.6,1011.7,"Lincoln"
725510,14939,2009,1,1,8,54,40.831,-96.764,362,190,7.7,-3.3,-10.6,1010.8,"Lincoln"
725510,14939,2009,1,1,9,54,40.831,-96.764,362,190,7.7,-2.8,-10,1009.8,"Lincoln"
725510,14939,2009,1,1,10,54,40.831,-96.764,362,200,5.7,-3.3,-9.4,1009.3,"Lincoln"
725510,14939,2009,1,1,11,54,40.831,-96.764,362,200,3.6,-2.8,-9.4,1009.7,"Lincoln"
725510,14939,2009,1,1,12,0,40.85,-96.75,362,200,3.6,-2.8,-9.4,1009.7,"Lincoln"
725510,14939,2009,1,1,12,54,40.831,-96.764,362,210,2.6,-2.8,-8.9,1009.8,"Lincoln"
725510,14939,2009,1,1,13,54,40.831,-96.764,362,190,3.1,-3.9,-8.3,1009.7,"Lincoln"
725510,14939,2009,1,1,14,54,40.831,-96.764,362,260,3.1,-1.7,-7.8,1010.4,"Lincoln"
725510,14939,2009,1,1,15,54,40.831,-96.764,362,260,3.6,-1.1,-7.2,1011.1,"Lincoln"
725510,14939,2009,1,1,16,54,40.831,-96.764,362,350,5.7,2.2,-6.7,1010.9,"Lincoln"
725510,14939,2009,1,1,17,54,40.831,-96.764,362,360,5.7,3.3,-6.1,1011,"Lincoln"
725510,14939,2009,1,1,18,0,40.85,-96.75,362,360,5.7,3.3,-6.1,1011,"Lincoln"
725510,14939,2009,1,1,18,54,40.831,-96.764,362,340,2.1,5.6,-5.6,1011.5,"Lincoln"
725510,14939,2009,1,1,19,54,40.831,-96.764,362,330,4.1,6.1,-6.1,1011.5,"Lincoln"
725510,14939,2009,1,1,20,54,40.831,-96.764,362,360,2.6,7.2,-7.2,1011.5,"Lincoln"
725510,14939,2009,1,1,21,54,40.831,-96.764,362,330,2.6,7.2,-6.7,1012.1,"Lincoln"
725510,14939,2009,1,1,22,54,40.831,-96.764,362,350,2.6,3.9,-6.7,1012.7,"Lincoln"
725510,14939,2009,1,1,23,54,40.831,-96.764,362,999,0,-0.6,-6.7,1013.3,"Lincoln"
725510,14939,2009,1,2,0,0,40.85,-96.75,362,999,0,-0.6,-6.7,1013.3,"Lincoln"
725510,14939,2009,1,2,0,54,40.831,-96.764,362,999,0,-2.2,-7.2,1013.6,"Lincoln"
725510,14939,2009,1,2,1,54,40.831,-96.764,362,999,0,-3.3,-7.2,1013.8,"Lincoln"
725510,14939,2009,1,2,2,54,40.831,-96.764,362,270,1.5,-2.8,-6.7,1013.8,"Lincoln"
725510,14939,2009,1,2,3,54,40.831,-96.764,362,240,1.5,-3.9,-7.2,1013.5,"Lincoln"
725510,14939,2009,1,2,4,54,40.831,-96.764,362,999,0,-3.9,-6.1,1013.4,"Lincoln"
725510,14939,2009,1,2,5,54,40.831,-96.764,362,999,0,-4.4,-6.7,1013.6,"Lincoln"
725510,14939,2009,1,2,5,59,40.831,-96.764,362,999,999.9,999.9,999.9,9999.9,"Lincoln"
725510,14939,2009,1,2,6,0,40.85,-96.75,362,999,0,-4.4,-6.7,1013.6,"Lincoln"
725510,14939,2009,1,2,6,54,40.831,-96.764,362,170,1.5,-3.9,-6.1,1013,"Lincoln"
725510,14939,2009,1,2,7,54,40.831,-96.764,362,999,0,-2.8,-6.1,1012.8,"Lincoln"
725510,14939,2009,1,2,8,54,40.831,-96.764,362,999,0,-2.8,-5.6,1012.7,"Lincoln"
725510,14939,2009,1,2,9,54,40.831,-96.764,362,999,0,-4.4,-6.7,1012.4,"Lincoln"
725510,14939,2009,1,2,10,54,40.831,-96.764,362,999,0,-3.9,-6.7,1011.9,"Lincoln"
725510,14939,2009,1,2,11,54,40.831,-96.764,362,999,0,-5.6,-7.8,1011.7,"Lincoln"
725510,14939,2009,1,2,12,0,40.85,-96.75,362,999,0,-5.6,-7.8,1011.7,"Lincoln"
725510,14939,2009,1,2,12,54,40.831,-96.764,362,999,0,-6.7,-8.3,1012.3,"Lincoln"
725510,14939,2009,1,2,13,54,40.831,-96.764,362,999,0,-6.7,-8.9,1012.8,"Lincoln"
725510,14939,2009,1,2,14,54,40.831,-96.764,362,999,0,-4.4,-7.2,1013.3,"Lincoln"
725510,14939,2009,1,2,15,54,40.831,-96.764,362,140,3.1,-0.6,-4.4,1012.8,"Lincoln"
725510,14939,2009,1,2,16,54,40.831,-96.764,362,150,6.2,3.9,-5,1011.7,"Lincoln"
725510,14939,2009,1,2,17,54,40.831,-96.764,362,180,8.8,7.2,-5,1010.3,"Lincoln"
725510,14939,2009,1,2,18,0,40.85,-96.75,362,180,8.7,7.2,-5,1010.3,"Lincoln"
725510,14939,2009,1,2,18,54,40.831,-96.764,362,160,6.7,6.1,-5,1008.5,"Lincoln"
725510,14939,2009,1,2,19,54,40.831,-96.764,362,160,6.7,7.8,-4.4,1007.3,"Lincoln"
725510,14939,2009,1,2,20,54,40.831,-96.764,362,170,6.7,8.3,-3.9,1007,"Lincoln"
725510,14939,2009,1,2,21,54,40.831,-96.764,362,160,4.6,6.7,-3.9,1006.7,"Lincoln"
725510,14939,2009,1,2,22,54,40.831,-96.764,362,150,6.2,6.1,-3.3,1006.3,"Lincoln"
725510,14939,2009,1,2,23,54,40.831,-96.764,362,140,3.1,4.4,-3.3,1006.2,"Lincoln"
725510,14939,2009,1,3,0,0,40.85,-96.75,362,140,3.1,4.4,-3.3,1006.2,"Lincoln"
725510,14939,2009,1,3,0,54,40.831,-96.764,362,120,3.1,2.8,-3.3,1006.1,"Lincoln"
725510,14939,2009,1,3,1,54,40.831,-96.764,362,130,2.6,1.7,-3.3,1006.5,"Lincoln"
725510,14939,2009,1,3,2,54,40.831,-96.764,362,140,3.6,1.1,-2.8,1006.1,"Lincoln"
725510,14939,2009,1,3,3,54,40.831,-96.764,362,150,5.1,1.1,-2.2,1005.1,"Lincoln"
