"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
722686,23008,2009,1,1,0,0,34.383,-103.317,1309,210,4.1,6,-11,1025.2,"Portales"
722686,23008,2009,1,1,0,55,34.383,-103.32,1309,210,4.1,1,-11.4,1025.8,"Portales"
722686,23008,2009,1,1,1,55,34.383,-103.32,1309,220,5.1,-0.4,-11.9,1025.7,"Portales"
722686,23008,2009,1,1,2,55,34.383,-103.32,1309,240,4.1,0.2,-11.7,1025.1,"Portales"
722686,23008,2009,1,1,3,55,34.383,-103.32,1309,240,4.6,0.7,-10.8,1023.4,"Portales"
722686,23008,2009,1,1,4,55,34.383,-103.32,1309,240,3.6,-0.2,-9.8,1022.7,"Portales"
722686,23008,2009,1,1,5,55,34.383,-103.32,1309,240,5.7,-0.8,-9.2,1021.7,"Portales"
722686,23008,2009,1,1,6,55,34.383,-103.32,1309,250,5.7,0,-8.6,1020.2,"Portales"
722686,23008,2009,1,1,7,55,34.383,-103.32,1309,250,5.7,-0.2,-8.2,1019.1,"Portales"
722686,23008,2009,1,1,8,55,34.383,-103.32,1309,250,5.1,-0.8,-8.1,1018,"Portales"
722686,23008,2009,1,1,9,55,34.383,-103.32,1309,260,5.7,-0.7,-7.8,1017.7,"Portales"
722686,23008,2009,1,1,10,55,34.383,-103.32,1309,260,5.7,-0.5,-7.8,1016.9,"Portales"
722686,23008,2009,1,1,11,55,34.383,-103.32,1309,250,6.7,-1.3,-7.7,1016.9,"Portales"
722686,23008,2009,1,1,12,55,34.383,-103.32,1309,300,3.6,-0.4,-7.7,1017.9,"Portales"
722686,23008,2009,1,1,13,55,34.383,-103.32,1309,250,7.7,0.8,-7.4,1017.6,"Portales"
722686,23008,2009,1,1,14,55,34.383,-103.32,1309,240,9.3,2.6,-7.2,1017,"Portales"
722686,23008,2009,1,1,15,55,34.383,-103.32,1309,250,10.3,7.6,-6.5,1017,"Portales"
722686,23008,2009,1,1,16,55,34.383,-103.32,1309,260,8.2,10.2,-7,1016.3,"Portales"
722686,23008,2009,1,1,17,55,34.383,-103.32,1309,270,9.8,12.8,-7.2,1015.6,"Portales"
722686,23008,2009,1,1,18,55,34.383,-103.32,1309,280,10.3,16.4,-9,1013.7,"Portales"
722686,23008,2009,1,1,19,55,34.383,-103.32,1309,280,9.8,18,-10.6,1012.4,"Portales"
722686,23008,2009,1,1,20,55,34.383,-103.32,1309,280,8.8,18.9,-10.9,1012.4,"Portales"
722686,23008,2009,1,1,21,55,34.383,-103.32,1309,270,7.7,19.1,-11.9,1012.1,"Portales"
722686,23008,2009,1,1,22,55,34.383,-103.32,1309,280,7.2,18.4,-11.4,1012.7,"Portales"
722686,23008,2009,1,1,23,55,34.383,-103.32,1309,270,4.6,14.6,-10,1013.3,"Portales"
722686,23008,2009,1,2,0,55,34.383,-103.32,1309,310,3.6,10.7,-10.1,1014.3,"Portales"
722686,23008,2009,1,2,1,55,34.383,-103.32,1309,290,5.7,10.6,-9.5,1014,"Portales"
722686,23008,2009,1,2,2,55,34.383,-103.32,1309,270,5.1,8.9,-10.1,1014.2,"Portales"
722686,23008,2009,1,2,3,55,34.383,-103.32,1309,270,5.7,7.2,-10.5,1013.7,"Portales"
722686,23008,2009,1,2,4,55,34.383,-103.32,1309,310,4.6,5.6,-10,1014.2,"Portales"
722686,23008,2009,1,2,5,55,34.383,-103.32,1309,300,5.7,5,-10.3,1013.5,"Portales"
722686,23008,2009,1,2,6,55,34.383,-103.32,1309,290,4.6,4.9,-10.2,1012.6,"Portales"
722686,23008,2009,1,2,7,55,34.383,-103.32,1309,320,3.6,3.9,-10.3,1012.2,"Portales"
722686,23008,2009,1,2,8,55,34.383,-103.32,1309,260,5.7,5.2,-8.2,1011.4,"Portales"
722686,23008,2009,1,2,9,55,34.383,-103.32,1309,270,5.7,5.1,-8.6,1011.1,"Portales"
722686,23008,2009,1,2,10,55,34.383,-103.32,1309,280,8.2,6.2,-8.1,1010.7,"Portales"
722686,23008,2009,1,2,11,55,34.383,-103.32,1309,290,5.1,5.7,-8.5,1011.8,"Portales"
722686,23008,2009,1,2,12,55,34.383,-103.32,1309,260,3.6,3.9,-9.3,1013.1,"Portales"
722686,23008,2009,1,2,13,55,34.383,-103.32,1309,220,4.6,0,-8.6,1014,"Portales"
722686,23008,2009,1,2,14,44,34.383,-103.317,1309,260,5.7,2,-9,1014.1,"Portales"
722686,23008,2009,1,2,14,55,34.383,-103.32,1309,270,7.2,3.9,-8.6,1013.9,"Portales"
722686,23008,2009,1,2,15,55,34.383,-103.32,1309,270,9.3,8.8,-8.4,1013,"Portales"
722686,23008,2009,1,2,16,55,34.383,-103.32,1309,280,8.2,13,-8.2,1013.2,"Portales"
722686,23008,2009,1,2,17,55,34.383,-103.32,1309,280,9.8,15.7,-7.7,1012,"Portales"
722686,23008,2009,1,2,18,55,34.383,-103.32,1309,270,9.3,18.1,-7.6,1009.9,"Portales"
722686,23008,2009,1,2,19,55,34.383,-103.32,1309,270,9.3,20.9,-7.4,1007.6,"Portales"
722686,23008,2009,1,2,20,55,34.383,-103.32,1309,250,10.3,21.4,-7.5,1006.2,"Portales"
722686,23008,2009,1,2,21,55,34.383,-103.32,1309,260,10.3,21.2,-7.1,1005.9,"Portales"
722686,23008,2009,1,2,22,55,34.383,-103.32,1309,260,7.2,20.5,-7.7,1005.8,"Portales"
722686,23008,2009,1,2,23,55,34.383,-103.32,1309,260,4.6,16.6,-7.6,1006.8,"Portales"
722686,23008,2009,1,3,0,55,34.383,-103.32,1309,250,5.1,13.7,-8.1,1008,"Portales"
722686,23008,2009,1,3,1,55,34.383,-103.32,1309,250,7.7,10.8,-10,1009.7,"Portales"
722686,23008,2009,1,3,2,55,34.383,-103.32,1309,270,4.6,10,-10.2,1009.2,"Portales"
722686,23008,2009,1,3,3,55,34.383,-103.32,1309,230,4.1,7.5,-9.9,1008.9,"Portales"
722686,23008,2009,1,3,4,55,34.383,-103.32,1309,270,4.1,7.9,-9.9,1008.2,"Portales"
722686,23008,2009,1,3,5,55,34.383,-103.32,1309,280,5.1,7.2,-10,1006.6,"Portales"
722686,23008,2009,1,3,6,55,34.383,-103.32,1309,290,5.1,6.8,-10,1005.9,"Portales"
722686,23008,2009,1,3,7,55,34.383,-103.32,1309,280,5.1,7.1,-10,1003.9,"Portales"
722686,23008,2009,1,3,8,55,34.383,-103.32,1309,260,4.6,4.9,-9.7,1004.3,"Portales"
722686,23008,2009,1,3,9,55,34.383,-103.32,1309,270,5.1,5.3,-9.8,1004.5,"Portales"
722686,23008,2009,1,3,10,55,34.383,-103.32,1309,230,4.1,3.5,-10.5,1004.7,"Portales"
722686,23008,2009,1,3,11,55,34.383,-103.32,1309,260,7.2,6.2,-10.2,1004.9,"Portales"
722686,23008,2009,1,3,12,55,34.383,-103.32,1309,260,4.6,4.1,-10.7,1007.2,"Portales"
722686,23008,2009,1,3,13,55,34.383,-103.32,1309,280,4.6,4.7,-10.6,1007.5,"Portales"
722686,23008,2009,1,3,14,55,34.383,-103.32,1309,250,6.7,7.6,-7.6,1007.5,"Portales"
722686,23008,2009,1,3,15,55,34.383,-103.32,1309,230,7.2,11,-5.9,1008,"Portales"
722686,23008,2009,1,3,16,55,34.383,-103.32,1309,250,7.2,13.2,-6,1007.6,"Portales"
722686,23008,2009,1,3,17,55,34.383,-103.32,1309,240,9.8,15,-4.7,1007.1,"Portales"
722686,23008,2009,1,3,18,55,34.383,-103.32,1309,270,12.4,16.9,-6.7,1005.6,"Portales"
722686,23008,2009,1,3,19,55,34.383,-103.32,1309,260,12.4,17.9,-6.6,1005.2,"Portales"
722686,23008,2009,1,3,20,55,34.383,-103.32,1309,260,12.9,18.6,-9.3,1005.1,"Portales"
722686,23008,2009,1,3,21,55,34.383,-103.32,1309,260,13.4,18.3,-10.5,1005.7,"Portales"
722686,23008,2009,1,3,22,55,34.383,-103.32,1309,270,8.8,17.4,-10.2,1007.9,"Portales"
722686,23008,2009,1,3,23,55,34.383,-103.32,1309,280,3.6,14.6,-8,1008.8,"Portales"
722686,23008,2009,1,4,0,55,34.383,-103.32,1309,280,5.7,13.4,-9.1,1010.3,"Portales"
722686,23008,2009,1,4,1,55,34.383,-103.32,1309,310,4.1,11.5,-9.1,1011.5,"Portales"
722686,23008,2009,1,4,2,55,34.383,-103.32,1309,20,2.1,5.9,-9.6,1013,"Portales"
722686,23008,2009,1,4,3,55,34.383,-103.32,1309,30,8.2,1.9,-7.1,1014.6,"Portales"
722686,23008,2009,1,4,4,55,34.383,-103.32,1309,30,10.3,0.1,-7.8,1015.7,"Portales"
722686,23008,2009,1,4,5,55,34.383,-103.32,1309,30,8.8,-1.2,-8.4,1017,"Portales"
722686,23008,2009,1,4,6,55,34.383,-103.32,1309,40,6.7,-2.4,-8.9,1018.4,"Portales"
722686,23008,2009,1,4,7,55,34.383,-103.32,1309,30,8.2,-3.4,-9.6,1018.8,"Portales"
722686,23008,2009,1,4,8,55,34.383,-103.32,1309,30,8.2,-4.1,-10.1,1019.8,"Portales"
722686,23008,2009,1,4,9,55,34.383,-103.32,1309,20,9.3,-4.9,-10.5,1020.3,"Portales"
722686,23008,2009,1,4,10,55,34.383,-103.32,1309,30,10.3,-5.6,-11.1,1021.7,"Portales"
722686,23008,2009,1,4,11,55,34.383,-103.32,1309,30,9.3,-6.2,-12,1023.1,"Portales"
722686,23008,2009,1,4,12,55,34.383,-103.32,1309,30,9.8,-6.7,-13.8,1024.2,"Portales"
722686,23008,2009,1,4,13,55,34.383,-103.32,1309,30,8.2,-7.1,-14.7,1026.3,"Portales"
722686,23008,2009,1,4,14,55,34.383,-103.32,1309,30,8.2,-6.5,-15.5,1028.1,"Portales"
722686,23008,2009,1,4,15,55,34.383,-103.32,1309,40,9.8,-4.2,-16.5,1029.6,"Portales"
722686,23008,2009,1,4,16,55,34.383,-103.32,1309,20,9.8,-2.6,-16.8,1031,"Portales"
722686,23008,2009,1,4,17,55,34.383,-103.32,1309,50,7.7,-0.8,-16.6,1031.1,"Portales"
722686,23008,2009,1,4,18,55,34.383,-103.32,1309,40,7.2,-0.2,-16.4,1029.8,"Portales"
722686,23008,2009,1,4,19,55,34.383,-103.32,1309,40,6.2,1.3,-16.2,1028.9,"Portales"
722686,23008,2009,1,4,20,55,34.383,-103.32,1309,40,7.2,0.9,-16,1028.8,"Portales"
722686,23008,2009,1,4,21,55,34.383,-103.32,1309,50,6.7,1.3,-16.3,1029.1,"Portales"
722686,23008,2009,1,4,22,55,34.383,-103.32,1309,60,5.7,0.4,-16.5,1029.2,"Portales"
722686,23008,2009,1,4,23,55,34.383,-103.32,1309,60,4.6,-1.4,-16.6,1030,"Portales"
722686,23008,2009,1,5,0,55,34.383,-103.32,1309,60,3.6,-2.5,-16.7,1030.8,"Portales"
722686,23008,2009,1,5,1,55,34.383,-103.32,1309,60,3.1,-4.8,-16.9,1031.8,"Portales"
722686,23008,2009,1,5,2,55,34.383,-103.32,1309,40,4.1,-5.3,-17,1032.2,"Portales"
722686,23008,2009,1,5,3,55,34.383,-103.32,1309,50,3.1,-5.2,-17.7,1031.8,"Portales"
722686,23008,2009,1,5,4,55,34.383,-103.32,1309,50,3.6,-5.3,-18.1,1031.7,"Portales"
722686,23008,2009,1,5,5,55,34.383,-103.32,1309,50,3.6,-6.3,-18.7,1031.5,"Portales"
722686,23008,2009,1,5,6,55,34.383,-103.32,1309,70,3.6,-6.3,-19.4,1030.1,"Portales"
722686,23008,2009,1,5,7,55,34.383,-103.32,1309,60,3.6,-8.6,-19.3,1028.9,"Portales"
722686,23008,2009,1,5,8,55,34.383,-103.32,1309,100,3.1,-8.8,-18.7,1029,"Portales"
722686,23008,2009,1,5,9,55,34.383,-103.32,1309,999,0,-8.3,-18.8,1028.9,"Portales"
722686,23008,2009,1,5,10,55,34.383,-103.32,1309,999,0,-8.4,-19.3,1027.7,"Portales"
722686,23008,2009,1,5,11,55,34.383,-103.32,1309,999,0,-8.3,-18.5,1027.3,"Portales"
722686,23008,2009,1,5,12,55,34.383,-103.32,1309,300,2.6,-8.6,-18.7,1027.2,"Portales"
722686,23008,2009,1,5,13,55,34.383,-103.32,1309,280,3.1,-8.6,-19.6,1027.6,"Portales"
722686,23008,2009,1,5,14,55,34.383,-103.32,1309,300,1.5,-8.8,-18.9,1026.7,"Portales"
722686,23008,2009,1,5,15,55,34.383,-103.32,1309,250,3.1,-6.1,-18.8,1025.7,"Portales"
722686,23008,2009,1,5,16,55,34.383,-103.32,1309,250,7.2,-2,-19,1024.3,"Portales"
722686,23008,2009,1,5,17,55,34.383,-103.32,1309,240,5.1,0.8,-17.3,1021.8,"Portales"
722686,23008,2009,1,5,18,55,34.383,-103.32,1309,250,6.2,3,-16.2,1018.4,"Portales"
722686,23008,2009,1,5,19,55,34.383,-103.32,1309,260,9.3,5.5,-11.6,1015.5,"Portales"
722686,23008,2009,1,5,20,55,34.383,-103.32,1309,250,9.3,7.3,-10.6,1013.1,"Portales"
722686,23008,2009,1,5,21,55,34.383,-103.32,1309,250,8.8,8.6,-9.3,1011.7,"Portales"
722686,23008,2009,1,5,22,55,34.383,-103.32,1309,240,9.3,8.4,-8.6,1011,"Portales"
722686,23008,2009,1,5,23,55,34.383,-103.32,1309,230,7.2,4.9,-11.2,1011.2,"Portales"
722686,23008,2009,1,6,0,55,34.383,-103.32,1309,240,7.2,2.6,-12.1,1011.4,"Portales"
722686,23008,2009,1,6,1,55,34.383,-103.32,1309,250,5.7,1,-12,1012,"Portales"
722686,23008,2009,1,6,2,55,34.383,-103.32,1309,260,7.2,1.3,-10.5,1011.6,"Portales"
722686,23008,2009,1,6,3,55,34.383,-103.32,1309,260,7.2,0.4,-9.4,1010.6,"Portales"
722686,23008,2009,1,6,4,55,34.383,-103.32,1309,250,8.2,0.3,-7.8,1009.7,"Portales"
722686,23008,2009,1,6,5,55,34.383,-103.32,1309,240,7.7,-0.3,-7.4,1009.3,"Portales"
722686,23008,2009,1,6,6,55,34.383,-103.32,1309,240,6.2,-1.3,-7.2,1007.9,"Portales"
722686,23008,2009,1,6,7,55,34.383,-103.32,1309,230,5.1,-0.5,-6.7,1006.1,"Portales"
722686,23008,2009,1,6,8,55,34.383,-103.32,1309,280,12.4,4.2,-6.7,1004,"Portales"
722686,23008,2009,1,6,9,55,34.383,-103.32,1309,280,7.7,3.4,-6.5,1003.6,"Portales"
722686,23008,2009,1,6,10,55,34.383,-103.32,1309,280,8.2,2.5,-6.4,1004,"Portales"
722686,23008,2009,1,6,11,55,34.383,-103.32,1309,280,6.2,0.9,-7,1005.3,"Portales"
722686,23008,2009,1,6,12,55,34.383,-103.32,1309,300,5.1,1.4,-8.4,1006.7,"Portales"
722686,23008,2009,1,6,13,55,34.383,-103.32,1309,340,4.1,1.3,-9.3,1008.3,"Portales"
722686,23008,2009,1,6,14,55,34.383,-103.32,1309,350,4.1,1.7,-10.2,1009.6,"Portales"
722686,23008,2009,1,6,15,55,34.383,-103.32,1309,360,6.7,3.4,-11,1010.6,"Portales"
722686,23008,2009,1,6,17,55,34.383,-103.32,1309,350,4.1,5.2,-12.2,1011.8,"Portales"
722686,23008,2009,1,6,18,55,34.383,-103.32,1309,330,3.1,6.5,-12.6,1011,"Portales"
722686,23008,2009,1,6,19,55,34.383,-103.32,1309,350,6.2,8.2,-13.4,1010.2,"Portales"
722686,23008,2009,1,6,20,55,34.383,-103.32,1309,300,6.2,8.4,-13.2,1009.7,"Portales"
722686,23008,2009,1,6,21,55,34.383,-103.32,1309,290,5.1,8.9,-13.8,1010.4,"Portales"
722686,23008,2009,1,6,22,55,34.383,-103.32,1309,300,4.6,8.7,-14.1,1010.9,"Portales"
722686,23008,2009,1,6,23,55,34.383,-103.32,1309,270,3.1,7,-14.9,1012.1,"Portales"
722686,23008,2009,1,7,0,55,34.383,-103.32,1309,260,2.1,4,-14.5,1013.2,"Portales"
722686,23008,2009,1,7,1,55,34.383,-103.32,1309,290,5.1,4.4,-12.3,1014,"Portales"
722686,23008,2009,1,7,2,55,34.383,-103.32,1309,270,5.1,1.8,-11.2,1015,"Portales"
722686,23008,2009,1,7,3,55,34.383,-103.32,1309,270,5.7,0.7,-10.8,1015,"Portales"
722686,23008,2009,1,7,4,55,34.383,-103.32,1309,280,5.1,0.8,-10,1015,"Portales"
722686,23008,2009,1,7,5,55,34.383,-103.32,1309,280,6.2,0.6,-9.5,1014.4,"Portales"
722686,23008,2009,1,7,6,55,34.383,-103.32,1309,250,6.2,-0.6,-9.5,1013.9,"Portales"
722686,23008,2009,1,7,7,55,34.383,-103.32,1309,260,6.2,-2.2,-10,1013.5,"Portales"
722686,23008,2009,1,7,8,55,34.383,-103.32,1309,270,6.7,-0.9,-9.7,1012.9,"Portales"
722686,23008,2009,1,7,9,55,34.383,-103.32,1309,280,6.2,-0.5,-9.4,1012.8,"Portales"
722686,23008,2009,1,7,10,55,34.383,-103.32,1309,280,4.6,-0.5,-9.4,1012.8,"Portales"
722686,23008,2009,1,7,11,55,34.383,-103.32,1309,260,5.1,-0.8,-9.2,1012.8,"Portales"
722686,23008,2009,1,7,12,55,34.383,-103.32,1309,260,5.1,-2.9,-9.6,1013.7,"Portales"
722686,23008,2009,1,7,13,55,34.383,-103.32,1309,270,4.1,-3.2,-9.5,1014.3,"Portales"
722686,23008,2009,1,7,14,55,34.383,-103.32,1309,260,5.7,2.1,-8.8,1014,"Portales"
722686,23008,2009,1,7,15,55,34.383,-103.32,1309,280,11.3,6,-7.5,1013.9,"Portales"
722686,23008,2009,1,7,16,55,34.383,-103.32,1309,280,10.8,9.2,-7.2,1013.5,"Portales"
722686,23008,2009,1,7,17,55,34.383,-103.32,1309,280,11.8,9.9,-7.3,1013,"Portales"
722686,23008,2009,1,7,18,55,34.383,-103.32,1309,290,10.8,10.3,-6.9,1012.2,"Portales"
722686,23008,2009,1,7,19,55,34.383,-103.32,1309,300,8.8,13.2,-6.8,1011.5,"Portales"
722686,23008,2009,1,7,20,55,34.383,-103.32,1309,290,6.7,12.9,-6.5,1010.8,"Portales"
722686,23008,2009,1,7,21,55,34.383,-103.32,1309,280,6.2,14.5,-6,1010.8,"Portales"
722686,23008,2009,1,7,22,55,34.383,-103.32,1309,280,5.1,13.1,-5.3,1011.6,"Portales"
722686,23008,2009,1,7,23,55,34.383,-103.32,1309,280,4.1,11,-5.6,1012.1,"Portales"
722686,23008,2009,1,8,0,55,34.383,-103.32,1309,280,6.2,9.2,-5.8,1013.1,"Portales"
722686,23008,2009,1,8,1,55,34.383,-103.32,1309,270,4.1,3.7,-6.6,1015.3,"Portales"
722686,23008,2009,1,8,2,55,34.383,-103.32,1309,290,6.2,5.6,-6.3,1013.9,"Portales"
722686,23008,2009,1,8,3,55,34.383,-103.32,1309,300,6.7,6,-6.2,1013.7,"Portales"
722686,23008,2009,1,8,4,55,34.383,-103.32,1309,290,5.7,5.7,-6.4,1014.3,"Portales"
722686,23008,2009,1,8,5,55,34.383,-103.32,1309,300,6.2,4.9,-6.3,1015.1,"Portales"
722686,23008,2009,1,8,6,55,34.383,-103.32,1309,310,6.2,4.1,-6.5,1015.1,"Portales"
722686,23008,2009,1,8,7,55,34.383,-103.32,1309,320,4.6,3.5,-6.7,1014.9,"Portales"
722686,23008,2009,1,8,8,55,34.383,-103.32,1309,330,5.7,3,-6.7,1014.9,"Portales"
722686,23008,2009,1,8,9,55,34.383,-103.32,1309,330,2.6,2.7,-6.7,1015.2,"Portales"
722686,23008,2009,1,8,10,55,34.383,-103.32,1309,340,5.1,2.4,-6.7,1016,"Portales"
722686,23008,2009,1,8,11,55,34.383,-103.32,1309,270,3.6,-1.5,-7.5,1017.8,"Portales"
722686,23008,2009,1,8,12,55,34.383,-103.32,1309,999,0,-0.3,-7.2,1017.9,"Portales"
722686,23008,2009,1,8,13,55,34.383,-103.32,1309,350,4.6,-0.4,-7.5,1019.3,"Portales"
722686,23008,2009,1,8,14,55,34.383,-103.32,1309,10,1.5,3.1,-6.8,1019.7,"Portales"
722686,23008,2009,1,8,15,55,34.383,-103.32,1309,150,2.1,9.3,-6.1,1018.8,"Portales"
722686,23008,2009,1,8,16,55,34.383,-103.32,1309,140,3.6,12.5,-5.8,1018.4,"Portales"
722686,23008,2009,1,8,17,55,34.383,-103.32,1309,170,4.6,14.5,-6.4,1017.4,"Portales"
722686,23008,2009,1,8,18,55,34.383,-103.32,1309,160,4.6,16,-6.7,1016.1,"Portales"
722686,23008,2009,1,8,19,55,34.383,-103.32,1309,190,5.7,17.6,-6.3,1014.3,"Portales"
722686,23008,2009,1,8,20,55,34.383,-103.32,1309,220,6.2,19.2,-6.7,1013.7,"Portales"
722686,23008,2009,1,8,21,55,34.383,-103.32,1309,220,6.2,20.3,-6.9,1012.3,"Portales"
722686,23008,2009,1,8,22,55,34.383,-103.32,1309,230,5.1,18.7,-6,1012.5,"Portales"
722686,23008,2009,1,8,23,55,34.383,-103.32,1309,230,4.1,13.4,-6.3,1014.3,"Portales"
722686,23008,2009,1,9,0,55,34.383,-103.32,1309,200,2.6,9.8,-7.3,1014.5,"Portales"
722686,23008,2009,1,9,1,55,34.383,-103.32,1309,230,3.1,8.9,-7,1015.2,"Portales"
722686,23008,2009,1,9,2,55,34.383,-103.32,1309,230,4.6,5.5,-7.3,1015.1,"Portales"
722686,23008,2009,1,9,3,55,34.383,-103.32,1309,230,5.1,4.3,-7.4,1013.6,"Portales"
722686,23008,2009,1,9,4,55,34.383,-103.32,1309,260,4.6,4.4,-7.5,1012.9,"Portales"
