"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
720389,99999,2009,1,1,0,15,38.317,-76.55,43,300,6.7,0,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,0,37,38.317,-76.55,43,290,6.7,0,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,1,0,38.317,-76.55,43,300,4.1,0,-17,9999.9,"Prince Frederick"
720389,99999,2009,1,1,1,19,38.317,-76.55,43,310,6.7,0,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,1,40,38.317,-76.55,43,290,5.7,-1,-19,9999.9,"Prince Frederick"
720389,99999,2009,1,1,2,1,38.317,-76.55,43,320,4.6,-1,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,2,23,38.317,-76.55,43,300,4.1,-1,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,2,44,38.317,-76.55,43,310,6.7,-1,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,3,5,38.317,-76.55,43,300,6.2,-1,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,3,26,38.317,-76.55,43,300,4.1,-1,-18,9999.9,"Prince Frederick"
720389,99999,2009,1,1,3,48,38.317,-76.55,43,290,3.6,-1,-17,9999.9,"Prince Frederick"
720389,99999,2009,1,1,4,9,38.317,-76.55,43,310,3.6,-1,-17,9999.9,"Prince Frederick"
720389,99999,2009,1,1,4,30,38.317,-76.55,43,300,3.6,-2,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,4,51,38.317,-76.55,43,310,4.6,-2,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,5,12,38.317,-76.55,43,300,4.6,-2,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,5,34,38.317,-76.55,43,290,4.6,-2,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,6,0,38.317,-76.55,43,280,4.6,-2,-16,9999.9,"Prince Frederick"
720389,99999,2009,1,1,6,16,38.317,-76.55,43,290,6.7,-2,-17,9999.9,"Prince Frederick"
720389,99999,2009,1,1,6,40,38.317,-76.55,43,290,4.6,-2,-17,9999.9,"Prince Frederick"
720389,99999,2009,1,1,7,1,38.317,-76.55,43,290,5.1,-2,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,7,22,38.317,-76.55,43,280,6.2,-2,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,7,44,38.317,-76.55,43,280,5.7,-3,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,8,5,38.317,-76.55,43,290,5.1,-3,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,8,26,38.317,-76.55,43,290,3.6,-3,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,8,47,38.317,-76.55,43,290,4.1,-3,-15,9999.9,"Prince Frederick"
720389,99999,2009,1,1,9,9,38.317,-76.55,43,290,3.6,-3,-15,9999.9,"Prince Frederick"
