"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
722261,99999,2009,1,1,0,5,27.267,-80.85,10,999,0,20,15,9999.9,"Sebring"
722261,99999,2009,1,1,0,25,27.267,-80.85,10,320,2.1,19,15,9999.9,"Sebring"
722261,99999,2009,1,1,0,45,27.267,-80.85,10,330,2.1,18,15,9999.9,"Sebring"
722261,99999,2009,1,1,1,5,27.267,-80.85,10,320,2.6,18,15,9999.9,"Sebring"
722261,99999,2009,1,1,1,25,27.267,-80.85,10,310,2.1,17,15,9999.9,"Sebring"
722261,99999,2009,1,1,1,45,27.267,-80.85,10,320,2.1,17,15,9999.9,"Sebring"
722261,99999,2009,1,1,2,5,27.267,-80.85,10,320,1.5,17,15,9999.9,"Sebring"
722261,99999,2009,1,1,2,25,27.267,-80.85,10,340,1.5,18,15,9999.9,"Sebring"
722261,99999,2009,1,1,2,45,27.267,-80.85,10,320,2.6,17,15,9999.9,"Sebring"
722261,99999,2009,1,1,3,5,27.267,-80.85,10,320,2.1,16,15,9999.9,"Sebring"
722261,99999,2009,1,1,3,25,27.267,-80.85,10,350,1.5,16,15,9999.9,"Sebring"
722261,99999,2009,1,1,3,45,27.267,-80.85,10,340,1.5,16,15,9999.9,"Sebring"
722261,99999,2009,1,1,4,5,27.267,-80.85,10,350,1.5,15,14,9999.9,"Sebring"
722261,99999,2009,1,1,4,25,27.267,-80.85,10,999,0,15,14,9999.9,"Sebring"
722261,99999,2009,1,1,4,45,27.267,-80.85,10,999,0,15,14,9999.9,"Sebring"
722261,99999,2009,1,1,5,5,27.267,-80.85,10,350,1.5,15,14,9999.9,"Sebring"
722261,99999,2009,1,1,5,25,27.267,-80.85,10,350,1.5,15,14,9999.9,"Sebring"
722261,99999,2009,1,1,5,45,27.267,-80.85,10,360,1.5,14,14,9999.9,"Sebring"
722261,99999,2009,1,1,6,5,27.267,-80.85,10,999,0,14,13,9999.9,"Sebring"
722261,99999,2009,1,1,6,25,27.267,-80.85,10,340,1.5,14,13,9999.9,"Sebring"
722261,99999,2009,1,1,6,45,27.267,-80.85,10,340,2.1,13,12,9999.9,"Sebring"
722261,99999,2009,1,1,7,5,27.267,-80.85,10,340,1.5,13,11,9999.9,"Sebring"
722261,99999,2009,1,1,7,25,27.267,-80.85,10,340,1.5,13,11,9999.9,"Sebring"
722261,99999,2009,1,1,7,45,27.267,-80.85,10,350,1.5,13,11,9999.9,"Sebring"
722261,99999,2009,1,1,8,5,27.267,-80.85,10,999,0,12,11,9999.9,"Sebring"
722261,99999,2009,1,1,8,25,27.267,-80.85,10,360,1.5,12,11,9999.9,"Sebring"
722261,99999,2009,1,1,8,45,27.267,-80.85,10,10,1.5,12,11,9999.9,"Sebring"
