"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
724387,54807,2009,1,1,0,0,40.533,-86.067,253,330,2.6,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,0,15,40.528,-86.059,253,350,3.6,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,0,35,40.528,-86.059,253,340,2.6,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,0,55,40.528,-86.059,253,360,2.6,-6,-13,9999.9,"Tipton"
724387,54807,2009,1,1,1,15,40.528,-86.059,253,360,2.6,-6,-13,9999.9,"Tipton"
724387,54807,2009,1,1,1,35,40.528,-86.059,253,360,2.1,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,1,55,40.528,-86.059,253,20,2.6,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,2,15,40.528,-86.059,253,20,2.6,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,2,35,40.528,-86.059,253,20,2.6,-7,-13,9999.9,"Tipton"
724387,54807,2009,1,1,2,55,40.528,-86.059,253,20,1.5,-7,-13,9999.9,"Tipton"
724387,54807,2009,1,1,3,15,40.528,-86.059,253,20,1.5,-7,-13,9999.9,"Tipton"
724387,54807,2009,1,1,3,35,40.528,-86.059,253,999,0,-7,-14,9999.9,"Tipton"
724387,54807,2009,1,1,3,55,40.528,-86.059,253,999,0,-7,-13,9999.9,"Tipton"
724387,54807,2009,1,1,4,15,40.528,-86.059,253,999,0,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,4,35,40.528,-86.059,253,999,0,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,4,55,40.528,-86.059,253,999,0,-7,-12,9999.9,"Tipton"
724387,54807,2009,1,1,5,15,40.528,-86.059,253,140,1.5,-6,-13,9999.9,"Tipton"
724387,54807,2009,1,1,5,35,40.528,-86.059,253,100,2.1,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,5,55,40.528,-86.059,253,100,2.1,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,6,15,40.528,-86.059,253,140,1.5,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,6,35,40.528,-86.059,253,150,2.1,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,6,55,40.528,-86.059,253,140,2.6,-6,-11,9999.9,"Tipton"
724387,54807,2009,1,1,7,15,40.528,-86.059,253,150,3.1,-6,-11,9999.9,"Tipton"
724387,54807,2009,1,1,7,35,40.528,-86.059,253,140,3.1,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,7,55,40.528,-86.059,253,150,4.1,-6,-12,9999.9,"Tipton"
724387,54807,2009,1,1,8,15,40.528,-86.059,253,140,4.6,-6,-11,9999.9,"Tipton"
724387,54807,2009,1,1,8,35,40.528,-86.059,253,130,3.6,-6,-12,9999.9,"Tipton"
