"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES","city"
726430,14920,2009,1,1,0,53,43.754,-91.256,200,120,2.1,-13.9,-20,1030,"Winona"
726430,14920,2009,1,1,1,53,43.754,-91.256,200,140,1.5,-13.3,-18.9,1028.8,"Winona"
726430,14920,2009,1,1,2,53,43.754,-91.256,200,120,2.6,-13.3,-19.4,1026.9,"Winona"
726430,14920,2009,1,1,3,53,43.754,-91.256,200,160,3.1,-11.7,-18.3,1025.1,"Winona"
726430,14920,2009,1,1,4,53,43.754,-91.256,200,160,3.6,-11.1,-17.2,1024.3,"Winona"
726430,14920,2009,1,1,5,53,43.754,-91.256,200,160,3.1,-10.6,-16.7,1023.1,"Winona"
726430,14920,2009,1,1,5,59,43.754,-91.256,200,999,999.9,999.9,999.9,9999.9,"Winona"
726430,14920,2009,1,1,5,59,43.754,-91.256,200,999,999.9,999.9,999.9,9999.9,"Winona"
726430,14920,2009,1,1,6,53,43.754,-91.256,200,160,3.6,-10,-15.6,1021.3,"Winona"
726430,14920,2009,1,1,7,53,43.754,-91.256,200,160,4.1,-10,-16.1,1020.9,"Winona"
726430,14920,2009,1,1,8,53,43.754,-91.256,200,150,3.1,-10.6,-15,1019.6,"Winona"
726430,14920,2009,1,1,9,53,43.754,-91.256,200,160,3.1,-8.9,-14.4,1017.8,"Winona"
726430,14920,2009,1,1,10,53,43.754,-91.256,200,180,5.7,-7.8,-13.3,1016.8,"Winona"
726430,14920,2009,1,1,11,53,43.754,-91.256,200,180,7.7,-7.2,-12.2,1015.5,"Winona"
726430,14920,2009,1,1,12,53,43.754,-91.256,200,180,7.7,-6.7,-12.2,1014.5,"Winona"
726430,14920,2009,1,1,13,53,43.754,-91.256,200,180,6.2,-6.1,-11.7,1013.1,"Winona"
726430,14920,2009,1,1,14,53,43.754,-91.256,200,180,4.6,-5,-11.7,1013,"Winona"
726430,14920,2009,1,1,15,53,43.754,-91.256,200,190,6.2,-5,-11.1,1012.8,"Winona"
726430,14920,2009,1,1,16,53,43.754,-91.256,200,180,5.1,-4.4,-10.6,1011.6,"Winona"
726430,14920,2009,1,1,17,39,43.754,-91.256,200,200,5.1,-4,-10,9999.9,"Winona"
726430,14920,2009,1,1,17,53,43.754,-91.256,200,190,6.7,-4.4,-9.4,1010.6,"Winona"
726430,14920,2009,1,1,18,6,43.754,-91.256,200,180,4.6,-5,-8,9999.9,"Winona"
726430,14920,2009,1,1,18,22,43.754,-91.256,200,180,5.1,-5,-8,9999.9,"Winona"
726430,14920,2009,1,1,18,35,43.754,-91.256,200,180,3.6,-5,-7,9999.9,"Winona"
726430,14920,2009,1,1,18,53,43.754,-91.256,200,180,4.6,-5,-7.2,1009.1,"Winona"
726430,14920,2009,1,1,18,57,43.754,-91.256,200,170,5.1,-5,-7,9999.9,"Winona"
726430,14920,2009,1,1,19,4,43.754,-91.256,200,180,4.6,-5,-7,9999.9,"Winona"
726430,14920,2009,1,1,19,53,43.754,-91.256,200,170,3.6,-3.9,-7.2,1008,"Winona"
726430,14920,2009,1,1,20,29,43.754,-91.256,200,190,6.2,-3,-8,9999.9,"Winona"
726430,14920,2009,1,1,20,53,43.754,-91.256,200,200,7.2,-3.3,-7.2,1007.6,"Winona"
726430,14920,2009,1,1,21,53,43.754,-91.256,200,200,6.2,-2.8,-8.3,1007.3,"Winona"
726430,14920,2009,1,1,22,53,43.754,-91.256,200,170,3.6,-4.4,-8.9,1007.6,"Winona"
726430,14920,2009,1,1,23,53,43.754,-91.256,200,180,3.1,-3.9,-8.3,1007.4,"Winona"
726430,14920,2009,1,2,0,53,43.754,-91.256,200,200,4.6,-5.6,-8.9,1007.4,"Winona"
726430,14920,2009,1,2,1,53,43.754,-91.256,200,210,3.1,-4.4,-7.8,1007.6,"Winona"
726430,14920,2009,1,2,2,53,43.754,-91.256,200,180,4.1,-5,-8.3,1007.2,"Winona"
726430,14920,2009,1,2,3,10,43.754,-91.256,200,180,4.1,-6,-8,9999.9,"Winona"
726430,14920,2009,1,2,3,23,43.754,-91.256,200,180,4.1,-6,-8,9999.9,"Winona"
726430,14920,2009,1,2,3,53,43.754,-91.256,200,150,4.1,-7.2,-8.9,1006.3,"Winona"
726430,14920,2009,1,2,4,53,43.754,-91.256,200,180,4.1,-6.1,-8.3,1005.7,"Winona"
726430,14920,2009,1,2,5,53,43.754,-91.256,200,260,5.1,-3.9,-7.8,1005.7,"Winona"
726430,14920,2009,1,2,5,59,43.754,-91.256,200,999,999.9,999.9,999.9,9999.9,"Winona"
726430,14920,2009,1,2,6,53,43.754,-91.256,200,290,8.8,-3.3,-7.8,1006,"Winona"
726430,14920,2009,1,2,7,13,43.754,-91.256,200,290,8.2,-4,-9,9999.9,"Winona"
726430,14920,2009,1,2,7,51,43.754,-91.256,200,280,8.8,-7,-11,9999.9,"Winona"
726430,14920,2009,1,2,7,53,43.754,-91.256,200,290,8.8,-7.2,-10.6,1008,"Winona"
726430,14920,2009,1,2,8,4,43.754,-91.256,200,310,7.2,-8,-11,9999.9,"Winona"
726430,14920,2009,1,2,8,17,43.754,-91.256,200,320,8.2,-8,-14,9999.9,"Winona"
726430,14920,2009,1,2,8,53,43.754,-91.256,200,300,8.8,-10,-16.1,1010.6,"Winona"
726430,14920,2009,1,2,9,53,43.754,-91.256,200,320,6.7,-12.8,-17.8,1012.6,"Winona"
726430,14920,2009,1,2,10,53,43.754,-91.256,200,300,5.7,-13.9,-18.9,1013.6,"Winona"
726430,14920,2009,1,2,11,53,43.754,-91.256,200,320,4.6,-14.4,-18.9,1014.3,"Winona"
726430,14920,2009,1,2,12,53,43.754,-91.256,200,300,3.6,-15.6,-18.9,1015.3,"Winona"
726430,14920,2009,1,2,13,53,43.754,-91.256,200,290,3.6,-15.6,-19.4,1015.7,"Winona"
726430,14920,2009,1,2,14,53,43.754,-91.256,200,270,2.6,-15,-19.4,1016.1,"Winona"
726430,14920,2009,1,2,15,53,43.754,-91.256,200,310,2.1,-15,-18.9,1016.8,"Winona"
726430,14920,2009,1,2,16,53,43.754,-91.256,200,330,3.1,-13.3,-18.3,1017,"Winona"
726430,14920,2009,1,2,17,53,43.754,-91.256,200,320,1.5,-12.2,-17.8,1016.7,"Winona"
726430,14920,2009,1,2,18,53,43.754,-91.256,200,999,0,-10.6,-17.2,1016.5,"Winona"
726430,14920,2009,1,2,19,53,43.754,-91.256,200,999,0,-10,-17.2,1016.5,"Winona"
726430,14920,2009,1,2,20,53,43.754,-91.256,200,999,0,-10.6,-17.2,1016.9,"Winona"
726430,14920,2009,1,2,21,53,43.754,-91.256,200,999,0,-10.6,-17.8,1017.5,"Winona"
726430,14920,2009,1,2,22,53,43.754,-91.256,200,999,0,-11.7,-17.8,1017.8,"Winona"
726430,14920,2009,1,2,23,53,43.754,-91.256,200,999,0,-12.8,-17.2,1018.1,"Winona"
726430,14920,2009,1,3,0,53,43.754,-91.256,200,999,0,-14.4,-18.3,1018.2,"Winona"
726430,14920,2009,1,3,1,53,43.754,-91.256,200,999,0,-11.7,-16.7,1018.1,"Winona"
726430,14920,2009,1,3,2,53,43.754,-91.256,200,100,2.6,-12.2,-17.2,1018.4,"Winona"
726430,14920,2009,1,3,3,53,43.754,-91.256,200,90,2.1,-11.7,-16.7,1018.9,"Winona"
726430,14920,2009,1,3,4,53,43.754,-91.256,200,90,2.1,-11.1,-16.1,1018.8,"Winona"
726430,14920,2009,1,3,5,53,43.754,-91.256,200,140,2.1,-11.7,-16.7,1018.4,"Winona"
726430,14920,2009,1,3,5,59,43.754,-91.256,200,999,999.9,999.9,999.9,9999.9,"Winona"
726430,14920,2009,1,3,6,53,43.754,-91.256,200,120,2.1,-11.1,-16.7,1018.7,"Winona"
726430,14920,2009,1,3,7,53,43.754,-91.256,200,80,2.1,-10.6,-16.1,1018.8,"Winona"
726430,14920,2009,1,3,8,53,43.754,-91.256,200,90,3.1,-10.6,-16.1,1018.9,"Winona"
726430,14920,2009,1,3,9,53,43.754,-91.256,200,90,4.1,-10,-16.1,1018.6,"Winona"
726430,14920,2009,1,3,10,53,43.754,-91.256,200,100,3.6,-10,-16.1,1018,"Winona"
726430,14920,2009,1,3,11,53,43.754,-91.256,200,120,3.1,-9.4,-16.1,1017.5,"Winona"
726430,14920,2009,1,3,12,53,43.754,-91.256,200,110,2.6,-9.4,-15.6,1017.9,"Winona"
726430,14920,2009,1,3,13,53,43.754,-91.256,200,100,3.1,-8.3,-15,1017.7,"Winona"
726430,14920,2009,1,3,14,53,43.754,-91.256,200,120,6.2,-6.7,-13.9,1016.7,"Winona"
726430,14920,2009,1,3,15,53,43.754,-91.256,200,120,4.6,-5.6,-11.7,1016.4,"Winona"
726430,14920,2009,1,3,16,53,43.754,-91.256,200,110,5.7,-4.4,-10,1015.5,"Winona"
726430,14920,2009,1,3,17,53,43.754,-91.256,200,120,6.2,-3.3,-8.9,1014.3,"Winona"
726430,14920,2009,1,3,18,53,43.754,-91.256,200,100,3.6,-2.2,-8.9,1013.4,"Winona"
