city,YR,M,D,HR,MIN,MW
Accra,2014,1,1,0,0,370.2665176
Accra,2014,1,1,1,0,361.4735031
Accra,2014,1,1,2,0,370.0982895
Accra,2014,1,1,3,0,367.5862198
Accra,2014,1,1,4,0,360.153801
Accra,2014,1,1,5,0,355.978157
Accra,2014,1,1,6,0,349.0941086
Accra,2014,1,1,7,0,327.9449844
Accra,2014,1,1,8,0,341.7383499
Accra,2014,1,1,9,0,359.2147293
Accra,2014,1,1,10,0,377.0443192
Accra,2014,1,1,11,0,383.4148026
Accra,2014,1,1,12,0,394.0918961
Accra,2014,1,1,13,0,397.6597519
Accra,2014,1,1,14,0,396.2820663
Accra,2014,1,1,15,0,391.6689529
Accra,2014,1,1,16,0,389.2722092
Accra,2014,1,1,17,0,396.4682693
Accra,2014,1,1,18,0,458.4252243
Accra,2014,1,1,19,0,452.9260483
Accra,2014,1,1,20,0,455.3982468
Accra,2014,1,1,21,0,453.3302994
Accra,2014,1,1,22,0,440.7419662
Accra,2014,1,1,23,0,421.0088882
Accra,2014,1,2,0,0,402.0053024
Accra,2014,1,2,1,0,386.7554398
Accra,2014,1,2,2,0,372.9962234
Accra,2014,1,2,3,0,367.7734299
Accra,2014,1,2,4,0,360.6530685
Accra,2014,1,2,5,0,366.9264755
Accra,2014,1,2,6,0,372.2486954
Accra,2014,1,2,7,0,387.7081985
Accra,2014,1,2,8,0,417.9178848
Accra,2014,1,2,9,0,446.3572693
Accra,2014,1,2,10,0,453.3426056
Accra,2014,1,2,11,0,465.8135223
Accra,2014,1,2,12,0,474.1077576
Accra,2014,1,2,13,0,471.7639771
Accra,2014,1,2,14,0,467.4923859
Accra,2014,1,2,15,0,464.3588257
Accra,2014,1,2,16,0,459.0724792
Accra,2014,1,2,17,0,452.9503937
Accra,2014,1,2,18,0,494.8241119
Accra,2014,1,2,19,0,502.0299988
Accra,2014,1,2,20,0,501.9984436
Accra,2014,1,2,21,0,491.3993073
Accra,2014,1,2,22,0,467.4396057
Accra,2014,1,2,23,0,436.6252899
Accra,2014,1,3,0,0,416.9591675
Accra,2014,1,3,1,0,384.9705963
Accra,2014,1,3,2,0,374.532196
Accra,2014,1,3,3,0,366.4152222
Accra,2014,1,3,4,0,362.3871002
Accra,2014,1,3,5,0,367.7275696
Accra,2014,1,3,6,0,377.0942841
Accra,2014,1,3,7,0,392.798172
Accra,2014,1,3,8,0,433.6536713
Accra,2014,1,3,9,0,452.9663239
Accra,2014,1,3,10,0,477.3635712
Accra,2014,1,3,11,0,470.3192749
Accra,2014,1,3,12,0,472.7562103
Accra,2014,1,3,13,0,476.6441956
Accra,2014,1,3,14,0,481.3417816
Accra,2014,1,3,15,0,479.3994598
Accra,2014,1,3,16,0,472.6802979
Accra,2014,1,3,17,0,464.913681
Accra,2014,1,3,18,0,498.7095795
Accra,2014,1,3,19,0,505.1231232
Accra,2014,1,3,20,0,503.8789978
Accra,2014,1,3,21,0,499.9648895
Accra,2014,1,3,22,0,488.3673401
Accra,2014,1,3,23,0,464.578598
Accra,2014,1,4,0,0,442.9629974
Accra,2014,1,4,1,0,414.9482269
Accra,2014,1,4,2,0,405.1148224
Accra,2014,1,4,3,0,390.4669952
Accra,2014,1,4,4,0,394.1154785
Accra,2014,1,4,5,0,390.8288574
Accra,2014,1,4,6,0,386.6895294
Accra,2014,1,4,7,0,372.2367859
Accra,2014,1,4,8,0,386.9597778
Accra,2014,1,4,9,0,410.5704193
Accra,2014,1,4,10,0,418.2278748
Accra,2014,1,4,11,0,422.1532135
Accra,2014,1,4,12,0,451.2499695
Accra,2014,1,4,13,0,431.8244476
Accra,2014,1,4,14,0,431.3902435
Accra,2014,1,4,15,0,428.7679596
Accra,2014,1,4,16,0,424.1225891
Accra,2014,1,4,17,0,434.7844543
Accra,2014,1,4,18,0,488.6546326
Accra,2014,1,4,19,0,499.0662689
Accra,2014,1,4,20,0,510.0063782
Accra,2014,1,4,21,0,506.6474915
Accra,2014,1,4,22,0,494.7677765
Accra,2014,1,4,23,0,463.7927399
Accra,2014,1,5,0,0,446.1248322
Accra,2014,1,5,1,0,417.0613556
Accra,2014,1,5,2,0,406.0176239
Accra,2014,1,5,3,0,398.6960754
Accra,2014,1,5,4,0,392.2125244
Accra,2014,1,5,5,0,395.3784332
Accra,2014,1,5,6,0,392.7934875
Accra,2014,1,5,7,0,385.5630341
Accra,2014,1,5,8,0,385.2409058
Accra,2014,1,5,9,0,365.9328918
Accra,2014,1,5,10,0,356.6234589
Accra,2014,1,5,11,0,365.342041
Accra,2014,1,5,12,0,377.1003571
Accra,2014,1,5,13,0,388.1877594
Accra,2014,1,5,14,0,402.9036713
Accra,2014,1,5,15,0,402.2802277
Accra,2014,1,5,16,0,399.9074554
Accra,2014,1,5,17,0,428.0406952
Accra,2014,1,5,18,0,480.7434082
Accra,2014,1,5,19,0,490.9016876
Accra,2014,1,5,20,0,493.0592499
Accra,2014,1,5,21,0,491.8615112
Accra,2014,1,5,22,0,478.1083679
Accra,2014,1,5,23,0,449.496582
Accra,2014,1,6,0,0,420.7196655
Accra,2014,1,6,1,0,403.5796814
Accra,2014,1,6,2,0,388.2618256
Accra,2014,1,6,3,0,381.2737885
Accra,2014,1,6,4,0,374.7530823
Accra,2014,1,6,5,0,386.1973419
Accra,2014,1,6,6,0,396.1270294
Accra,2014,1,6,7,0,414.0450897
Accra,2014,1,6,8,0,456.7523422
Accra,2014,1,6,9,0,476.4674759
Accra,2014,1,6,10,0,491.7505493
Accra,2014,1,6,11,0,506.0380096
Accra,2014,1,6,12,0,482.1134338
Accra,2014,1,6,13,0,493.7119141
Accra,2014,1,6,14,0,501.6815948
Accra,2014,1,6,15,0,503.3652191
Accra,2014,1,6,16,0,495.4607697
Accra,2014,1,6,17,0,477.4079895
Accra,2014,1,6,18,0,515.4467468
Accra,2014,1,6,19,0,523.3241425
Accra,2014,1,6,20,0,526.4587097
Accra,2014,1,6,21,0,521.249054
Accra,2014,1,6,22,0,501.7772064
Accra,2014,1,6,23,0,471.9836578
Accra,2014,1,7,0,0,436.5072937
Accra,2014,1,7,1,0,418.4123383
Accra,2014,1,7,2,0,407.1491547
Accra,2014,1,7,3,0,399.7700653
Accra,2014,1,7,4,0,399.9076691
Accra,2014,1,7,5,0,416.6384888
Accra,2014,1,7,6,0,421.9207306
Accra,2014,1,7,7,0,422.6130066
Accra,2014,1,7,8,0,448.806366
Accra,2014,1,7,9,0,473.211441
Accra,2014,1,7,10,0,480.2022858
Accra,2014,1,7,11,0,488.6772461
Accra,2014,1,7,12,0,496.8254242
Accra,2014,1,7,13,0,500.9054108
Accra,2014,1,7,14,0,509.5011139
Accra,2014,1,7,15,0,507.2686615
Accra,2014,1,7,16,0,497.7660217
Accra,2014,1,7,17,0,487.0494385
Accra,2014,1,7,18,0,520.9996033
Accra,2014,1,7,19,0,528.1890564
Accra,2014,1,7,20,0,534.8505478
Accra,2014,1,7,21,0,525.5698929
Accra,2014,1,7,22,0,508.8902512
Accra,2014,1,7,23,0,464.3343506
Accra,2014,1,8,0,0,435.6689911
Accra,2014,1,8,1,0,415.4087524
Accra,2014,1,8,2,0,404.2384186
Accra,2014,1,8,3,0,398.5123444
Accra,2014,1,8,4,0,400.1817474
Accra,2014,1,8,5,0,415.398407
Accra,2014,1,8,6,0,420.2083588
Accra,2014,1,8,7,0,417.7229614
Accra,2014,1,8,8,0,442.8072128
Accra,2014,1,8,9,0,469.5606155
Accra,2014,1,8,10,0,486.0333099
Accra,2014,1,8,11,0,492.8713379
Accra,2014,1,8,12,0,493.86026
Accra,2014,1,8,13,0,495.5869522
Accra,2014,1,8,14,0,503.7942429
Accra,2014,1,8,15,0,504.3013687
Accra,2014,1,8,16,0,498.9471512
Accra,2014,1,8,17,0,484.9191818
Accra,2014,1,8,18,0,523.5364609
Accra,2014,1,8,19,0,531.6322403
Accra,2014,1,8,20,0,544.6798859
Accra,2014,1,8,21,0,530.4982834
Accra,2014,1,8,22,0,504.4865952
Accra,2014,1,8,23,0,473.4569168
Accra,2014,1,9,0,0,439.2578354
Accra,2014,1,9,1,0,422.3227615
Accra,2014,1,9,2,0,410.8438187
Accra,2014,1,9,3,0,405.1710587
Accra,2014,1,9,4,0,404.8524246
Accra,2014,1,9,5,0,425.492424
Accra,2014,1,9,6,0,430.6453476
Accra,2014,1,9,7,0,429.1657639
Accra,2014,1,9,8,0,464.6508713
Accra,2014,1,9,9,0,483.7779922
Accra,2014,1,9,10,0,493.4188919
Accra,2014,1,9,11,0,497.5299301
Accra,2014,1,9,12,0,495.2720261
Accra,2014,1,9,13,0,501.8667679
Accra,2014,1,9,14,0,500.3935165
Accra,2014,1,9,15,0,502.014122
Accra,2014,1,9,16,0,499.9110641
Accra,2014,1,9,17,0,486.191597
Accra,2014,1,9,18,0,520.3883133
Accra,2014,1,9,19,0,536.9539413
Accra,2014,1,9,20,0,545.905159
Accra,2014,1,9,21,0,529.6967697
Accra,2014,1,9,22,0,519.505455
Accra,2014,1,9,23,0,490.8221054
Accra,2014,1,10,0,0,462.9759903
Accra,2014,1,10,1,0,442.1916733
Accra,2014,1,10,2,0,431.2470322
Accra,2014,1,10,3,0,423.2856979
Accra,2014,1,10,4,0,424.5257797
Accra,2014,1,10,5,0,438.622673
Accra,2014,1,10,6,0,434.5389633
Accra,2014,1,10,7,0,431.9659958
Accra,2014,1,10,8,0,466.8919754
Accra,2014,1,10,9,0,482.1236954
Accra,2014,1,10,10,0,489.7246323
Accra,2014,1,10,11,0,447.0821762
Accra,2014,1,10,12,0,448.8801651
Accra,2014,1,10,13,0,445.9845963
Accra,2014,1,10,14,0,447.3882675
Accra,2014,1,10,15,0,441.5589523
Accra,2014,1,10,16,0,437.1978378
Accra,2014,1,10,17,0,433.5299454
Accra,2014,1,10,18,0,458.971962
Accra,2014,1,10,19,0,466.0770645
Accra,2014,1,10,20,0,464.5714645
Accra,2014,1,10,21,0,475.0938492
Accra,2014,1,10,22,0,484.0344849
Accra,2014,1,10,23,0,506.4162598
Accra,2014,1,11,0,0,461.6301575
Accra,2014,1,11,1,0,444.0652161
Accra,2014,1,11,2,0,422.1852951
Accra,2014,1,11,3,0,413.7687149
Accra,2014,1,11,4,0,409.3424301
Accra,2014,1,11,5,0,409.0936813
Accra,2014,1,11,6,0,406.5784531
Accra,2014,1,11,7,0,397.0931625
Accra,2014,1,11,8,0,414.5458145
Accra,2014,1,11,9,0,431.3638535
Accra,2014,1,11,10,0,439.3083115
Accra,2014,1,11,11,0,447.449913
Accra,2014,1,11,12,0,451.7148056
Accra,2014,1,11,13,0,459.3014755
Accra,2014,1,11,14,0,462.2699203
Accra,2014,1,11,15,0,474.0592728
Accra,2014,1,11,16,0,444.28965
Accra,2014,1,11,17,0,448.1072617
Accra,2014,1,11,18,0,464.1487656
Accra,2014,1,11,19,0,472.6936874
Accra,2014,1,11,20,0,518.0291824
Accra,2014,1,11,21,0,510.3602524
Accra,2014,1,11,22,0,500.2119675
Accra,2014,1,11,23,0,476.1321335
Accra,2014,1,12,0,0,453.241066
Accra,2014,1,12,1,0,408.9610367
Accra,2014,1,12,2,0,395.5611038
Accra,2014,1,12,3,0,387.6701736
Accra,2014,1,12,4,0,382.5730057
Accra,2014,1,12,5,0,385.4010239
Accra,2014,1,12,6,0,385.0868759
Accra,2014,1,12,7,0,374.9540939
Accra,2014,1,12,8,0,375.9188156
Accra,2014,1,12,9,0,370.1943588
Accra,2014,1,12,10,0,364.2252884
