YR,M,D,HR,MIN,DM,RRP
2000,1,1,0,30,1328.68667,38.54
2000,1,1,1,0,1375.14833,38.54
2000,1,1,1,30,1275.12667,14.37
2000,1,1,2,0,1181.72167,14.49
2000,1,1,2,30,1105.05,13.98
2000,1,1,3,0,1031.225,10.35
2000,1,1,3,30,966.82667,5.27
2000,1,1,4,0,928.11167,5.3
2000,1,1,4,30,902.10167,5.23
2000,1,1,5,0,886.85167,14.03
2000,1,1,5,30,869.195,5.93
2000,1,1,6,0,854.9,5.14
2000,1,1,6,30,853.035,5.2
2000,1,1,7,0,855.71667,10.82
2000,1,1,7,30,868.92167,11.51
2000,1,1,8,0,869.79,12.11
2000,1,1,8,30,888.36333,12.65
2000,1,1,9,0,916.71667,13.65
2000,1,1,9,30,940.39667,12.5
2000,1,1,10,0,953.92,14.09
2000,1,1,10,30,968.22,14.19
2000,1,1,11,0,974.18167,14.2
2000,1,1,11,30,983.41667,13.3
2000,1,1,12,0,990.845,13.24
2000,1,1,12,30,992.235,10.3
2000,1,1,13,0,995.83833,9.88
2000,1,1,13,30,1001.16667,11.42
2000,1,1,14,0,1010.42333,15.92
2000,1,1,14,30,1004.225,11.21
2000,1,1,15,0,1011.63,16.73
2000,1,1,15,30,1003.37,8.94
2000,1,1,16,0,1014.23833,9.73
2000,1,1,16,30,1018.31833,9.7
2000,1,1,17,0,1028.24167,12.86
2000,1,1,17,30,1052.89,21.74
2000,1,1,18,0,1052.37,19.73
2000,1,1,18,30,1059.07833,33.38
2000,1,1,19,0,1053.865,33.38
2000,1,1,19,30,1049.705,28.58
2000,1,1,20,0,1064.96667,28.58
2000,1,1,20,30,1104.58,33.38
2000,1,1,21,0,1139.52167,33.38
2000,1,1,21,30,1115.29,31.03
2000,1,1,22,0,1098.28,31.03
2000,1,1,22,30,1092.96333,31.03
2000,1,1,23,0,1114.39,31.03
2000,1,1,23,30,1154.08667,34.96
2000,1,2,0,0,1237.43667,34.96
2000,1,2,0,30,1239.02833,34.96
2000,1,2,1,0,1264.26,34.96
2000,1,2,1,30,1192.97833,31.03
2000,1,2,2,0,1112.48333,31.03
2000,1,2,2,30,1026.39667,24.93
2000,1,2,3,0,975.90333,8.61
2000,1,2,3,30,937.875,5.21
2000,1,2,4,0,914.695,5.17
2000,1,2,4,30,896.25667,3.7
2000,1,2,5,0,897.18167,4.68
2000,1,2,5,30,894.78333,4.66
2000,1,2,6,0,886.74,5.13
2000,1,2,6,30,891.98667,7.28
2000,1,2,7,0,902.86167,9.4
2000,1,2,7,30,915.4,9.81
2000,1,2,8,0,930.46167,13.09
2000,1,2,8,30,953.29833,13.63
2000,1,2,9,0,986.00833,14.1
2000,1,2,9,30,1005.31167,14.48
2000,1,2,10,0,1030.76,14.76
2000,1,2,10,30,1045.24333,15.01
2000,1,2,11,0,1060.56833,16.86
2000,1,2,11,30,1079.25,22.32
2000,1,2,12,0,1095.06167,24.91
2000,1,2,12,30,1105.18333,24.91
2000,1,2,13,0,1120.13167,24.91
2000,1,2,13,30,1117.32667,24.91
