YR,M,D,HR,MIN,DM,RRP
2000,1,1,0,30,3905.56833,39.4
2000,1,1,1,0,3855.675,34.18
2000,1,1,1,30,3814.44667,35.2
2000,1,1,2,0,3705.365,25.53
2000,1,1,2,30,3615.71333,18.55
2000,1,1,3,0,3517.24333,18.55
2000,1,1,3,30,3442.65333,17.5
2000,1,1,4,0,3372.21,17.5
2000,1,1,4,30,3331.55,17.5
2000,1,1,5,0,3304.24167,17.5
2000,1,1,5,30,3280.89333,17.5
2000,1,1,6,0,3278.81167,17.5
2000,1,1,6,30,3326.77,17.5
2000,1,1,7,0,3396.86167,16.81
2000,1,1,7,30,3513.71,15
2000,1,1,8,0,3617.73,16.12
2000,1,1,8,30,3801.56833,17.46
2000,1,1,9,0,3917.005,17.5
2000,1,1,9,30,3980.705,17.5
2000,1,1,10,0,4065.84167,17.5
2000,1,1,10,30,4117.4,17.5
2000,1,1,11,0,4175.26833,19.07
2000,1,1,11,30,4185.38833,18.56
2000,1,1,12,0,4181.63,18.02
2000,1,1,12,30,4184.18833,17.5
2000,1,1,13,0,4165.23667,17.5
2000,1,1,13,30,4120.125,17.5
2000,1,1,14,0,4106.89,17.5
2000,1,1,14,30,4087.325,17.5
2000,1,1,15,0,4096.84167,17.5
2000,1,1,15,30,4075.47167,17.5
2000,1,1,16,0,4074.88167,17.5
2000,1,1,16,30,4139.345,17.5
2000,1,1,17,0,4218.28167,18.02
2000,1,1,17,30,4283.085,20.72
2000,1,1,18,0,4340.065,20.87
2000,1,1,18,30,4366.685,20.95
2000,1,1,19,0,4484.55333,23.63
2000,1,1,19,30,4608.53,24.59
2000,1,1,20,0,4592.055,24.58
2000,1,1,20,30,4460.78833,23.16
2000,1,1,21,0,4369.49,20.92
2000,1,1,21,30,4224.38833,19.1
2000,1,1,22,0,4087.20333,17.5
2000,1,1,22,30,4170.19667,20.2
2000,1,1,23,0,4274.80833,21.78
2000,1,1,23,30,4349.14833,25.87
2000,1,2,0,0,4117.055,21.43
2000,1,2,0,30,3846.34167,17.5
2000,1,2,1,0,3631.515,17.5
2000,1,2,1,30,3477.67,19.13
2000,1,2,2,0,3418.715,19.14
2000,1,2,2,30,3365.965,18.62
2000,1,2,3,0,3335.64,17.36
2000,1,2,3,30,3324.09167,17.34
2000,1,2,4,0,3316.915,17.31
2000,1,2,4,30,3285.68667,16.71
2000,1,2,5,0,3330.56667,16.82
2000,1,2,5,30,3296.95667,16.8
2000,1,2,6,0,3283.07667,16.2
