YR,M,D,HR,MIN,DM,RRP
2000,1,1,0,30,4419.03667,9.97
2000,1,1,1,0,4312.54,12.58
2000,1,1,1,30,4599.70167,13.22
2000,1,1,2,0,4478.99,12.9
2000,1,1,2,30,4228.81,12.4
2000,1,1,3,0,3989.1,9.45
2000,1,1,3,30,3783.93167,4.82
2000,1,1,4,0,3631.17167,4.74
2000,1,1,4,30,3518.08167,4.6
2000,1,1,5,0,3467.88,5.12
2000,1,1,5,30,3393.39667,4.33
2000,1,1,6,0,3376.70333,4.33
2000,1,1,6,30,3429.2,4.38
2000,1,1,7,0,3530.56833,9.08
2000,1,1,7,30,3462.615,8.84
2000,1,1,8,0,3494.16667,9.47
2000,1,1,8,30,3561.20333,11.22
2000,1,1,9,0,3626.165,11.76
2000,1,1,9,30,3668.91167,10.79
2000,1,1,10,0,3739.81167,12.11
2000,1,1,10,30,3763.12,12.1
2000,1,1,11,0,3788.46,12.04
2000,1,1,11,30,3817.395,9.37
2000,1,1,12,0,3767.77,9.37
2000,1,1,12,30,3723.31167,8.24
2000,1,1,13,0,3718.15333,8.21
2000,1,1,13,30,3724.93667,8.22
2000,1,1,14,0,3718.43667,8.22
2000,1,1,14,30,3694.44167,6.12
2000,1,1,15,0,3707.04167,7.04
2000,1,1,15,30,3734.84,7.49
2000,1,1,16,0,3823.265,8.23
2000,1,1,16,30,3857.70333,8.21
2000,1,1,17,0,3957.37,10.85
2000,1,1,17,30,3938.97,9.89
2000,1,1,18,0,3939.78,11.64
2000,1,1,18,30,3931.095,11.64
2000,1,1,19,0,3910.88833,11.64
2000,1,1,19,30,3921.34,11.7
2000,1,1,20,0,4013.48,12.12
2000,1,1,20,30,4125.56333,12.22
2000,1,1,21,0,4132.46333,12.21
2000,1,1,21,30,4076.41833,12.23
2000,1,1,22,0,3962.30333,12.19
2000,1,1,22,30,3935.64,12.19
2000,1,1,23,0,3935.03333,12.17
2000,1,1,23,30,4355.33833,12.82
2000,1,2,0,0,4318.56167,12.34
2000,1,2,0,30,4176.185,10.09
2000,1,2,1,0,4051.70167,9.05
2000,1,2,1,30,4381.80167,11.31
2000,1,2,2,0,4266.53333,8.14
2000,1,2,2,30,4046.365,6.94
2000,1,2,3,0,3828.565,4.82
2000,1,2,3,30,3708.24167,4.38
2000,1,2,4,0,3599.26833,4.33
2000,1,2,4,30,3538.95333,3.11
2000,1,2,5,0,3502.02667,3.92
2000,1,2,5,30,3463.245,3.92
2000,1,2,6,0,3511.21167,4.33
2000,1,2,6,30,3587.63833,6.15
2000,1,2,7,0,3711.34667,8.22
2000,1,2,7,30,3707.33667,8.53
2000,1,2,8,0,3769.35333,11.53
2000,1,2,8,30,3894.96,12.07
2000,1,2,9,0,3955.60667,12.3
2000,1,2,9,30,4021.06167,12.51
2000,1,2,10,0,4013.11667,12.59
2000,1,2,10,30,4075.255,12.71
2000,1,2,11,0,4095.69667,12.82
2000,1,2,11,30,4100.285,12.82
2000,1,2,12,0,4096.62167,12.8
2000,1,2,12,30,4096.26333,12.62
2000,1,2,13,0,4091.11833,12.62
2000,1,2,13,30,4082.39167,12.61
2000,1,2,14,0,4063.87667,12.4
2000,1,2,14,30,4065.61667,12.37
2000,1,2,15,0,4079.405,12.49
2000,1,2,15,30,4109.75,12.62
2000,1,2,16,0,4192.68333,12.85
2000,1,2,16,30,4210.41833,12.75
2000,1,2,17,0,4248.28833,12.91
2000,1,2,17,30,4254.07,12.88
2000,1,2,18,0,4243.30333,12.43
2000,1,2,18,30,4202.37167,12.41
2000,1,2,19,0,4127.45167,12.33
2000,1,2,19,30,4098.17833,12.3
2000,1,2,20,0,4151.41,12.38
2000,1,2,20,30,4266.90833,12.59
2000,1,2,21,0,4273.38833,12.59
2000,1,2,21,30,4204.415,12.43
2000,1,2,22,0,4116.195,12.3
2000,1,2,22,30,4077.19333,12.22
2000,1,2,23,0,4067.60833,12.19
2000,1,2,23,30,4481.16333,12.95
2000,1,3,0,0,4452.81167,12.64
2000,1,3,0,30,4299.03833,9.83
2000,1,3,1,0,4154.86667,9.67
2000,1,3,1,30,4445.24167,11.45
2000,1,3,2,0,4332.64833,8.12
2000,1,3,2,30,4108.40167,4.54
2000,1,3,3,0,3886.66,4.33
2000,1,3,3,30,3762.98333,5.58
2000,1,3,4,0,3673.40833,4.38
2000,1,3,4,30,3613.88667,4.42
2000,1,3,5,0,3620.27833,4.87
2000,1,3,5,30,3620.69667,4.47
2000,1,3,6,0,3657.18833,7
2000,1,3,6,30,3767.905,7.73
2000,1,3,7,0,3884.24667,8.24
2000,1,3,7,30,3844.115,10.02
2000,1,3,8,0,3956.47167,12.05
2000,1,3,8,30,4047.56,12.12
2000,1,3,9,0,4139.03,12.23
2000,1,3,9,30,4261.55333,12.35
2000,1,3,10,0,4332.92,12.31
2000,1,3,10,30,4400.87333,12.43
2000,1,3,11,0,4409.785,12.47
2000,1,3,11,30,4451.14667,12.64
2000,1,3,12,0,4462.47,12.69
2000,1,3,12,30,4465.59167,12.64
2000,1,3,13,0,4476.56,12.76
2000,1,3,13,30,4484.81,12.85
2000,1,3,14,0,4479.21,12.92
2000,1,3,14,30,4455.40333,12.87
2000,1,3,15,0,4435.21667,12.83
2000,1,3,15,30,4453.53167,12.78
2000,1,3,16,0,4509.66,12.82
2000,1,3,16,30,4564.11667,12.9
2000,1,3,17,0,4585.22333,13.01
2000,1,3,17,30,4498.25333,12.87
2000,1,3,18,0,4403.94333,12.73
2000,1,3,18,30,4306.185,12.49
2000,1,3,19,0,4222.25667,12.35
2000,1,3,19,30,4192.94833,12.29
2000,1,3,20,0,4257.15,12.35
2000,1,3,20,30,4333.90333,12.52
2000,1,3,21,0,4321.54167,12.56
2000,1,3,21,30,4189.25833,12.35
2000,1,3,22,0,4085.26333,12.21
2000,1,3,22,30,4021.36833,12.13
2000,1,3,23,0,4015.88833,12.13
2000,1,3,23,30,4487.31667,13.63
2000,1,4,0,0,4520.08333,13.11
2000,1,4,0,30,4381.36667,12.74
2000,1,4,1,0,4251.52167,12.32
2000,1,4,1,30,4563.49167,12.92
2000,1,4,2,0,4437.59333,12.56
2000,1,4,2,30,4201.53333,9.93
2000,1,4,3,0,4024.945,8.29
2000,1,4,3,30,3883.56833,6.85
2000,1,4,4,0,3791.38167,6.63
2000,1,4,4,30,3772.65667,7.37
2000,1,4,5,0,3822.75,10.29
2000,1,4,5,30,3988.8,12.24
2000,1,4,6,0,4148.55833,12.56
2000,1,4,6,30,4374.88667,13.25
