YR,M,D,HR,MIN,DM,RRP
2000,1,1,0,30,6763.57,15.64
2000,1,1,1,0,6386.10167,14.06
2000,1,1,1,30,5990.795,14.3
2000,1,1,2,0,5655.97667,14.28
2000,1,1,2,30,5283.83667,14.17
2000,1,1,3,0,5047.90167,10.87
2000,1,1,3,30,4848.145,5.43
2000,1,1,4,0,4719.80333,5.32
2000,1,1,4,30,4689.79,5.14
2000,1,1,5,0,4650.29167,5.67
2000,1,1,5,30,4650.44333,4.81
2000,1,1,6,0,4705.27,4.8
2000,1,1,6,30,4747.39,4.85
2000,1,1,7,0,4891.41667,11.46
2000,1,1,7,30,5095.20833,12.97
2000,1,1,8,0,5304.57667,13.58
2000,1,1,8,30,5616.03333,13.36
2000,1,1,9,0,5826.70833,14.21
2000,1,1,9,30,5926.77333,12.65
2000,1,1,10,0,6057.14333,14.2
2000,1,1,10,30,6046.10667,14.16
2000,1,1,11,0,6102.95333,14.2
2000,1,1,11,30,6127.135,14.2
2000,1,1,12,0,6084.26833,14.04
2000,1,1,12,30,5984.005,10.36
2000,1,1,13,0,5922.63833,9.79
2000,1,1,13,30,5838.71833,9.72
2000,1,1,14,0,5773.05667,9.68
2000,1,1,14,30,5704.52333,7.09
2000,1,1,15,0,5745.23667,8.16
2000,1,1,15,30,5723.78333,8.67
2000,1,1,16,0,5763.57167,9.56
2000,1,1,16,30,5711.10167,9.44
2000,1,1,17,0,5855.01667,12.69
2000,1,1,17,30,5888.77667,11.61
2000,1,1,18,0,5962.93667,14.13
2000,1,1,18,30,5995.03333,14.2
2000,1,1,19,0,6044.29167,14.21
2000,1,1,19,30,6164.37667,14.21
2000,1,1,20,0,6277.85833,14.21
2000,1,1,20,30,6224.53833,14.21
2000,1,1,21,0,6089.80667,14.21
2000,1,1,21,30,6223.88333,14.21
2000,1,1,22,0,6221.335,14.21
2000,1,1,22,30,6303.985,14.21
2000,1,1,23,0,6154.335,14.21
2000,1,1,23,30,6053.985,14.21
2000,1,2,0,0,5768.52333,13.79
2000,1,2,0,30,5622.38333,11.32
2000,1,2,1,0,5383.05167,10.17
2000,1,2,1,30,5177.56333,12.44
2000,1,2,2,0,4997.275,8.89
2000,1,2,2,30,4836.71833,7.48
2000,1,2,3,0,4747.845,5.24
2000,1,2,3,30,4717.95333,4.71
2000,1,2,4,0,4683.24667,4.64
2000,1,2,4,30,4688.74,3.36
2000,1,2,5,0,4717.24667,4.25
2000,1,2,5,30,4785.95833,4.3
2000,1,2,6,0,4878.565,4.82
2000,1,2,6,30,5031.26833,6.99
2000,1,2,7,0,5355.005,9.43
2000,1,2,7,30,5646.54,9.81
2000,1,2,8,0,5963.41167,13.52
2000,1,2,8,30,6339.42167,14.16
2000,1,2,9,0,6540.68167,14.21
2000,1,2,9,30,6650.00333,14.21
2000,1,2,10,0,6641.80667,14.21
2000,1,2,10,30,6632.27833,14.21
2000,1,2,11,0,6616.03167,14.21
2000,1,2,11,30,6575.25333,14.21
2000,1,2,12,0,6515.64167,14.21
2000,1,2,12,30,6431.295,14.21
2000,1,2,13,0,6330.76667,14.21
2000,1,2,13,30,6227.45667,14.21
2000,1,2,14,0,6148.28833,14.02
2000,1,2,14,30,6108.98833,13.98
2000,1,2,15,0,6111.93,14.07
2000,1,2,15,30,6103.915,14.1
2000,1,2,16,0,6143.57167,14.21
2000,1,2,16,30,6052.77167,14.09
2000,1,2,17,0,6173.24833,14.21
2000,1,2,17,30,6211.44,14.21
2000,1,2,18,0,6235.99667,14.18
2000,1,2,18,30,6256.60167,14.2
2000,1,2,19,0,6293.86667,14.21
2000,1,2,19,30,6398.63833,14.21
2000,1,2,20,0,6531.81167,14.21
2000,1,2,20,30,6492.365,14.21
2000,1,2,21,0,6314.27833,14.21
2000,1,2,21,30,6437.7,14.21
2000,1,2,22,0,6473.29333,14.21
2000,1,2,22,30,6524.19333,14.21
2000,1,2,23,0,6352.22833,14.19
2000,1,2,23,30,6213.42167,14.21
2000,1,3,0,0,5962.395,14.01
2000,1,3,0,30,5764.23,10.99
2000,1,3,1,0,5541.78,10.91
2000,1,3,1,30,5340.29167,12.65
2000,1,3,2,0,5117.86333,9
2000,1,3,2,30,4979.855,4.99
2000,1,3,3,0,4872.73,4.78
2000,1,3,3,30,4825.82333,6.13
2000,1,3,4,0,4820.81333,4.8
2000,1,3,4,30,4860.53833,4.9
2000,1,3,5,0,4899.42333,5.44
2000,1,3,5,30,4990.69833,5.09
2000,1,3,6,0,5166.725,8.08
2000,1,3,6,30,5258.44333,8.8
2000,1,3,7,0,5552.90167,9.39
2000,1,3,7,30,5890.895,11.46
2000,1,3,8,0,6160.165,14.07
2000,1,3,8,30,6561.34167,14.21
2000,1,3,9,0,6828.645,14.21
2000,1,3,9,30,6936.195,14.21
