city,YR,M,D,HR,MIN,MW
Berlin,2009,1,1,0,0,3152
Berlin,2009,1,1,1,0,2947
Berlin,2009,1,1,2,0,2797
Berlin,2009,1,1,3,0,2716
Berlin,2009,1,1,4,0,2688
Berlin,2009,1,1,5,0,2731
Berlin,2009,1,1,6,0,2827
Berlin,2009,1,1,7,0,2883
Berlin,2009,1,1,8,0,3045
Berlin,2009,1,1,9,0,3232
Berlin,2009,1,1,10,0,3376
Berlin,2009,1,1,11,0,3464
Berlin,2009,1,1,12,0,3465
Berlin,2009,1,1,13,0,3405
Berlin,2009,1,1,14,0,3347
Berlin,2009,1,1,15,0,3360
Berlin,2009,1,1,16,0,3667
Berlin,2009,1,1,17,0,4105
Berlin,2009,1,1,18,0,4126
Berlin,2009,1,1,19,0,4046
Berlin,2009,1,1,20,0,3933
Berlin,2009,1,1,21,0,3773
Berlin,2009,1,1,22,0,3537
Berlin,2009,1,1,23,0,3286
Berlin,2009,1,2,0,0,3040
Berlin,2009,1,2,1,0,2897
Berlin,2009,1,2,2,0,2821
Berlin,2009,1,2,3,0,2793
Berlin,2009,1,2,4,0,2810
Berlin,2009,1,2,5,0,2894
Berlin,2009,1,2,6,0,3050
Berlin,2009,1,2,7,0,3190
Berlin,2009,1,2,8,0,3417
Berlin,2009,1,2,9,0,3615
Berlin,2009,1,2,10,0,3750
Berlin,2009,1,2,11,0,3815
Berlin,2009,1,2,12,0,3837
Berlin,2009,1,2,13,0,3850
Berlin,2009,1,2,14,0,3881
Berlin,2009,1,2,15,0,3976
Berlin,2009,1,2,16,0,4274
Berlin,2009,1,2,17,0,4578
Berlin,2009,1,2,18,0,4551
Berlin,2009,1,2,19,0,4429
Berlin,2009,1,2,20,0,4231
Berlin,2009,1,2,21,0,3939
Berlin,2009,1,2,22,0,3564
Berlin,2009,1,2,23,0,3220
Berlin,2009,1,3,0,0,2953
Berlin,2009,1,3,1,0,2790
Berlin,2009,1,3,2,0,2709
Berlin,2009,1,3,3,0,2684
Berlin,2009,1,3,4,0,2758
Berlin,2009,1,3,5,0,3056
Berlin,2009,1,3,6,0,3621
Berlin,2009,1,3,7,0,3989
Berlin,2009,1,3,8,0,4052
Berlin,2009,1,3,9,0,4097
Berlin,2009,1,3,10,0,4143
Berlin,2009,1,3,11,0,4149
Berlin,2009,1,3,12,0,4112
Berlin,2009,1,3,13,0,4104
Berlin,2009,1,3,14,0,4088
Berlin,2009,1,3,15,0,4146
Berlin,2009,1,3,16,0,4470
Berlin,2009,1,3,17,0,4753
Berlin,2009,1,3,18,0,4709
Berlin,2009,1,3,19,0,4580
Berlin,2009,1,3,20,0,4368
Berlin,2009,1,3,21,0,4044
Berlin,2009,1,3,22,0,3610
Berlin,2009,1,3,23,0,3231
Berlin,2009,1,4,0,0,2956
Berlin,2009,1,4,1,0,2824
Berlin,2009,1,4,2,0,2754
Berlin,2009,1,4,3,0,2737
Berlin,2009,1,4,4,0,2819
Berlin,2009,1,4,5,0,3113
Berlin,2009,1,4,6,0,3701
Berlin,2009,1,4,7,0,4153
Berlin,2009,1,4,8,0,4223
Berlin,2009,1,4,9,0,4257
Berlin,2009,1,4,10,0,4278
Berlin,2009,1,4,11,0,4236
Berlin,2009,1,4,12,0,4157
Berlin,2009,1,4,13,0,4143
Berlin,2009,1,4,14,0,4100
Berlin,2009,1,4,15,0,4109
Berlin,2009,1,4,16,0,4398
Berlin,2009,1,4,17,0,4797
Berlin,2009,1,4,18,0,4782
Berlin,2009,1,4,19,0,4667
Berlin,2009,1,4,20,0,4461
Berlin,2009,1,4,21,0,4140
Berlin,2009,1,4,22,0,3702
Berlin,2009,1,4,23,0,3321
Berlin,2009,1,5,0,0,3032
Berlin,2009,1,5,1,0,2893
Berlin,2009,1,5,2,0,2834
Berlin,2009,1,5,3,0,2824
Berlin,2009,1,5,4,0,2904
Berlin,2009,1,5,5,0,3201
Berlin,2009,1,5,6,0,3812
Berlin,2009,1,5,7,0,4258
Berlin,2009,1,5,8,0,4354
Berlin,2009,1,5,9,0,4418
Berlin,2009,1,5,10,0,4493
Berlin,2009,1,5,11,0,4546
Berlin,2009,1,5,12,0,4527
Berlin,2009,1,5,13,0,4538
