city,YR,M,D,HR,MIN,MW
Bishop,2009,1,1,0,0,8247
Bishop,2009,1,1,1,0,7775
Bishop,2009,1,1,2,0,7531
Bishop,2009,1,1,3,0,7404
Bishop,2009,1,1,4,0,7358
Bishop,2009,1,1,5,0,7512
Bishop,2009,1,1,6,0,7855
Bishop,2009,1,1,7,0,8031
Bishop,2009,1,1,8,0,8610
Bishop,2009,1,1,9,0,8998
Bishop,2009,1,1,10,0,9294
Bishop,2009,1,1,11,0,9364
Bishop,2009,1,1,12,0,9320
Bishop,2009,1,1,13,0,9155
Bishop,2009,1,1,14,0,9096
Bishop,2009,1,1,15,0,9194
Bishop,2009,1,1,16,0,10153
Bishop,2009,1,1,17,0,11281
Bishop,2009,1,1,18,0,11171
Bishop,2009,1,1,19,0,10911
Bishop,2009,1,1,20,0,10517
Bishop,2009,1,1,21,0,9914
Bishop,2009,1,1,22,0,9141
Bishop,2009,1,1,23,0,8336
Bishop,2009,1,2,0,0,7780
Bishop,2009,1,2,1,0,7437
Bishop,2009,1,2,2,0,7292
Bishop,2009,1,2,3,0,7272
Bishop,2009,1,2,4,0,7402
Bishop,2009,1,2,5,0,7689
Bishop,2009,1,2,6,0,8151
Bishop,2009,1,2,7,0,8595
Bishop,2009,1,2,8,0,9329
Bishop,2009,1,2,9,0,9840
Bishop,2009,1,2,10,0,10118
Bishop,2009,1,2,11,0,10211
Bishop,2009,1,2,12,0,10167
Bishop,2009,1,2,13,0,10172
Bishop,2009,1,2,14,0,10189
Bishop,2009,1,2,15,0,10283
Bishop,2009,1,2,16,0,11426
Bishop,2009,1,2,17,0,12309
Bishop,2009,1,2,18,0,12125
Bishop,2009,1,2,19,0,11795
Bishop,2009,1,2,20,0,11303
Bishop,2009,1,2,21,0,10449
Bishop,2009,1,2,22,0,9291
Bishop,2009,1,2,23,0,8352
Bishop,2009,1,3,0,0,7888
Bishop,2009,1,3,1,0,7610
Bishop,2009,1,3,2,0,7510
Bishop,2009,1,3,3,0,7628
Bishop,2009,1,3,4,0,8087
Bishop,2009,1,3,5,0,8810
Bishop,2009,1,3,6,0,10587
Bishop,2009,1,3,7,0,11097
Bishop,2009,1,3,8,0,11487
Bishop,2009,1,3,9,0,11589
Bishop,2009,1,3,10,0,11655
Bishop,2009,1,3,11,0,11620
Bishop,2009,1,3,12,0,11454
Bishop,2009,1,3,13,0,11351
Bishop,2009,1,3,14,0,11173
Bishop,2009,1,3,15,0,11127
Bishop,2009,1,3,16,0,11700
Bishop,2009,1,3,17,0,13172
Bishop,2009,1,3,18,0,13091
Bishop,2009,1,3,19,0,12577
Bishop,2009,1,3,20,0,12379
Bishop,2009,1,3,21,0,11023
Bishop,2009,1,3,22,0,9763
Bishop,2009,1,3,23,0,8573
Bishop,2009,1,4,0,0,8198
Bishop,2009,1,4,1,0,7918
Bishop,2009,1,4,2,0,7860
Bishop,2009,1,4,3,0,7881
Bishop,2009,1,4,4,0,8327
Bishop,2009,1,4,5,0,9291
Bishop,2009,1,4,6,0,10601
Bishop,2009,1,4,7,0,11245
Bishop,2009,1,4,8,0,11543
Bishop,2009,1,4,9,0,11504
Bishop,2009,1,4,10,0,11564
Bishop,2009,1,4,11,0,11391
Bishop,2009,1,4,12,0,11337
Bishop,2009,1,4,13,0,11163
Bishop,2009,1,4,14,0,10904
Bishop,2009,1,4,15,0,10880
Bishop,2009,1,4,16,0,11795
Bishop,2009,1,4,17,0,12896
Bishop,2009,1,4,18,0,12819
Bishop,2009,1,4,19,0,12573
Bishop,2009,1,4,20,0,11985
Bishop,2009,1,4,21,0,10820
Bishop,2009,1,4,22,0,9756
Bishop,2009,1,4,23,0,8624
Bishop,2009,1,5,0,0,8242
Bishop,2009,1,5,1,0,7852
Bishop,2009,1,5,2,0,7779
Bishop,2009,1,5,3,0,7816
Bishop,2009,1,5,4,0,8191
Bishop,2009,1,5,5,0,9223
Bishop,2009,1,5,6,0,10814
Bishop,2009,1,5,7,0,11241
Bishop,2009,1,5,8,0,11408
Bishop,2009,1,5,9,0,11528
Bishop,2009,1,5,10,0,11613
Bishop,2009,1,5,11,0,11327
Bishop,2009,1,5,12,0,11291
Bishop,2009,1,5,13,0,11093
Bishop,2009,1,5,14,0,11070
Bishop,2009,1,5,15,0,10940
Bishop,2009,1,5,16,0,11527
Bishop,2009,1,5,17,0,12875
Bishop,2009,1,5,18,0,12698
Bishop,2009,1,5,19,0,12440
Bishop,2009,1,5,20,0,11833
Bishop,2009,1,5,21,0,10785
Bishop,2009,1,5,22,0,9533
Bishop,2009,1,5,23,0,8539
Bishop,2009,1,6,0,0,8128
Bishop,2009,1,6,1,0,7793
Bishop,2009,1,6,2,0,7737
Bishop,2009,1,6,3,0,7791
Bishop,2009,1,6,4,0,7964
Bishop,2009,1,6,5,0,9192
Bishop,2009,1,6,6,0,10780
Bishop,2009,1,6,7,0,11273
Bishop,2009,1,6,8,0,11375
Bishop,2009,1,6,9,0,11407
Bishop,2009,1,6,10,0,11397
Bishop,2009,1,6,11,0,11278
Bishop,2009,1,6,12,0,11123
Bishop,2009,1,6,13,0,11004
Bishop,2009,1,6,14,0,10734
Bishop,2009,1,6,15,0,10721
Bishop,2009,1,6,16,0,11446
Bishop,2009,1,6,17,0,12804
Bishop,2009,1,6,18,0,12732
Bishop,2009,1,6,19,0,12371
Bishop,2009,1,6,20,0,11867
Bishop,2009,1,6,21,0,10778
Bishop,2009,1,6,22,0,9691
Bishop,2009,1,6,23,0,8652
Bishop,2009,1,7,0,0,8131
Bishop,2009,1,7,1,0,7930
Bishop,2009,1,7,2,0,7897
Bishop,2009,1,7,3,0,7861
Bishop,2009,1,7,4,0,8166
Bishop,2009,1,7,5,0,9259
Bishop,2009,1,7,6,0,10747
Bishop,2009,1,7,7,0,11319
Bishop,2009,1,7,8,0,11601
Bishop,2009,1,7,9,0,11756
Bishop,2009,1,7,10,0,11749
Bishop,2009,1,7,11,0,11685
Bishop,2009,1,7,12,0,11700
Bishop,2009,1,7,13,0,11415
Bishop,2009,1,7,14,0,11277
Bishop,2009,1,7,15,0,11156
Bishop,2009,1,7,16,0,11669
Bishop,2009,1,7,17,0,12477
Bishop,2009,1,7,18,0,12247
Bishop,2009,1,7,19,0,11856
Bishop,2009,1,7,20,0,11367
Bishop,2009,1,7,21,0,10589
Bishop,2009,1,7,22,0,9722
Bishop,2009,1,7,23,0,8674
Bishop,2009,1,8,0,0,8182
Bishop,2009,1,8,1,0,7828
Bishop,2009,1,8,2,0,7618
Bishop,2009,1,8,3,0,7625
Bishop,2009,1,8,4,0,7655
Bishop,2009,1,8,5,0,8000
Bishop,2009,1,8,6,0,8646
Bishop,2009,1,8,7,0,9074
Bishop,2009,1,8,8,0,9826
Bishop,2009,1,8,9,0,10378
Bishop,2009,1,8,10,0,10512
Bishop,2009,1,8,11,0,10481
Bishop,2009,1,8,12,0,10374
Bishop,2009,1,8,13,0,10287
Bishop,2009,1,8,14,0,10170
Bishop,2009,1,8,15,0,10210
Bishop,2009,1,8,16,0,10968
Bishop,2009,1,8,17,0,11858
Bishop,2009,1,8,18,0,11627
Bishop,2009,1,8,19,0,11236
Bishop,2009,1,8,20,0,10742
Bishop,2009,1,8,21,0,10242
Bishop,2009,1,8,22,0,9647
Bishop,2009,1,8,23,0,8505
Bishop,2009,1,9,0,0,7973
Bishop,2009,1,9,1,0,7667
Bishop,2009,1,9,2,0,7435
Bishop,2009,1,9,3,0,7400
Bishop,2009,1,9,4,0,7420
Bishop,2009,1,9,5,0,7728
Bishop,2009,1,9,6,0,8159
Bishop,2009,1,9,7,0,8656
Bishop,2009,1,9,8,0,9204
Bishop,2009,1,9,9,0,9638
Bishop,2009,1,9,10,0,9899
Bishop,2009,1,9,11,0,9870
Bishop,2009,1,9,12,0,9965
Bishop,2009,1,9,13,0,9771
Bishop,2009,1,9,14,0,9660
Bishop,2009,1,9,15,0,9655
Bishop,2009,1,9,16,0,10426
Bishop,2009,1,9,17,0,11751
Bishop,2009,1,9,18,0,11630
Bishop,2009,1,9,19,0,11368
Bishop,2009,1,9,20,0,10840
Bishop,2009,1,9,21,0,10003
Bishop,2009,1,9,22,0,9049
Bishop,2009,1,9,23,0,8272
Bishop,2009,1,10,0,0,7925
Bishop,2009,1,10,1,0,7645
Bishop,2009,1,10,2,0,7563
Bishop,2009,1,10,3,0,7664
Bishop,2009,1,10,4,0,7963
Bishop,2009,1,10,5,0,9069
Bishop,2009,1,10,6,0,10388
Bishop,2009,1,10,7,0,11091
Bishop,2009,1,10,8,0,11194
Bishop,2009,1,10,9,0,11377
Bishop,2009,1,10,10,0,11451
Bishop,2009,1,10,11,0,11321
Bishop,2009,1,10,12,0,11121
Bishop,2009,1,10,13,0,11046
Bishop,2009,1,10,14,0,10875
Bishop,2009,1,10,15,0,11048
Bishop,2009,1,10,16,0,11590
Bishop,2009,1,10,17,0,12752
Bishop,2009,1,10,18,0,12864
Bishop,2009,1,10,19,0,12530
Bishop,2009,1,10,20,0,11852
Bishop,2009,1,10,21,0,10821
Bishop,2009,1,10,22,0,9702
Bishop,2009,1,10,23,0,8759
Bishop,2009,1,11,0,0,8231
Bishop,2009,1,11,1,0,8234
Bishop,2009,1,11,2,0,7927
Bishop,2009,1,11,3,0,7908
Bishop,2009,1,11,4,0,8341
Bishop,2009,1,11,5,0,8861
Bishop,2009,1,11,6,0,10774
Bishop,2009,1,11,7,0,11288
Bishop,2009,1,11,8,0,11372
Bishop,2009,1,11,9,0,11478
Bishop,2009,1,11,10,0,11517
Bishop,2009,1,11,11,0,11425
Bishop,2009,1,11,12,0,11281
Bishop,2009,1,11,13,0,11138
Bishop,2009,1,11,14,0,11005
Bishop,2009,1,11,15,0,11042
Bishop,2009,1,11,16,0,11233
Bishop,2009,1,11,17,0,12978
Bishop,2009,1,11,18,0,12828
Bishop,2009,1,11,19,0,12667
Bishop,2009,1,11,20,0,12075
Bishop,2009,1,11,21,0,10918
Bishop,2009,1,11,22,0,9994
Bishop,2009,1,11,23,0,8795
Bishop,2009,1,12,0,0,8384
Bishop,2009,1,12,1,0,8179
Bishop,2009,1,12,2,0,8025
Bishop,2009,1,12,3,0,8116
Bishop,2009,1,12,4,0,8447
Bishop,2009,1,12,5,0,9563
Bishop,2009,1,12,6,0,11260
Bishop,2009,1,12,7,0,11593
Bishop,2009,1,12,8,0,11609
Bishop,2009,1,12,9,0,11556
Bishop,2009,1,12,10,0,11479
Bishop,2009,1,12,11,0,11248
Bishop,2009,1,12,12,0,11089
Bishop,2009,1,12,13,0,10946
Bishop,2009,1,12,14,0,10809
Bishop,2009,1,12,15,0,10640
Bishop,2009,1,12,16,0,11328
Bishop,2009,1,12,17,0,13033
Bishop,2009,1,12,18,0,12831
Bishop,2009,1,12,19,0,12623
Bishop,2009,1,12,20,0,12065
Bishop,2009,1,12,21,0,11127
Bishop,2009,1,12,22,0,9913
Bishop,2009,1,12,23,0,8909
Bishop,2009,1,13,0,0,8460
Bishop,2009,1,13,1,0,8255
Bishop,2009,1,13,2,0,8176
Bishop,2009,1,13,3,0,8143
Bishop,2009,1,13,4,0,8602
Bishop,2009,1,13,5,0,9774
Bishop,2009,1,13,6,0,11099
Bishop,2009,1,13,7,0,11924
Bishop,2009,1,13,8,0,12113
Bishop,2009,1,13,9,0,12131
Bishop,2009,1,13,10,0,12115
Bishop,2009,1,13,11,0,11953
Bishop,2009,1,13,12,0,11802
Bishop,2009,1,13,13,0,11718
Bishop,2009,1,13,14,0,11491
Bishop,2009,1,13,15,0,11383
Bishop,2009,1,13,16,0,12068
Bishop,2009,1,13,17,0,13128
Bishop,2009,1,13,18,0,13079
Bishop,2009,1,13,19,0,12719
Bishop,2009,1,13,20,0,12273
Bishop,2009,1,13,21,0,11262
Bishop,2009,1,13,22,0,9978
Bishop,2009,1,13,23,0,9129
Bishop,2009,1,14,0,0,8479
Bishop,2009,1,14,1,0,8294
Bishop,2009,1,14,2,0,8095
Bishop,2009,1,14,3,0,8073
Bishop,2009,1,14,4,0,8519
Bishop,2009,1,14,5,0,9705
Bishop,2009,1,14,6,0,11231
Bishop,2009,1,14,7,0,11858
Bishop,2009,1,14,8,0,11934
Bishop,2009,1,14,9,0,11948
Bishop,2009,1,14,10,0,11806
Bishop,2009,1,14,11,0,11461
Bishop,2009,1,14,12,0,11315
Bishop,2009,1,14,13,0,11137
Bishop,2009,1,14,14,0,10827
Bishop,2009,1,14,15,0,10747
Bishop,2009,1,14,16,0,11391
Bishop,2009,1,14,17,0,12614
Bishop,2009,1,14,18,0,12407
Bishop,2009,1,14,19,0,12116
Bishop,2009,1,14,20,0,11643
Bishop,2009,1,14,21,0,10787
Bishop,2009,1,14,22,0,9843
Bishop,2009,1,14,23,0,8928
Bishop,2009,1,15,0,0,8334
Bishop,2009,1,15,1,0,8219
Bishop,2009,1,15,2,0,7889
Bishop,2009,1,15,3,0,7812
Bishop,2009,1,15,4,0,7981
Bishop,2009,1,15,5,0,8375
Bishop,2009,1,15,6,0,9044
Bishop,2009,1,15,7,0,9531
Bishop,2009,1,15,8,0,10116
Bishop,2009,1,15,9,0,10456
Bishop,2009,1,15,10,0,10457
Bishop,2009,1,15,11,0,10307
