city,YR,M,D,HR,MIN,MW
Bowman,2009,1,1,0,0,2129
Bowman,2009,1,1,1,0,2094
Bowman,2009,1,1,2,0,2043
Bowman,2009,1,1,3,0,2038
Bowman,2009,1,1,4,0,2055
Bowman,2009,1,1,5,0,2104
Bowman,2009,1,1,6,0,2174
Bowman,2009,1,1,7,0,2221
Bowman,2009,1,1,8,0,2276
Bowman,2009,1,1,9,0,2291
Bowman,2009,1,1,10,0,2268
Bowman,2009,1,1,11,0,2225
Bowman,2009,1,1,12,0,2203
Bowman,2009,1,1,13,0,2130
Bowman,2009,1,1,14,0,2074
Bowman,2009,1,1,15,0,2039
Bowman,2009,1,1,16,0,2043
Bowman,2009,1,1,17,0,2176
Bowman,2009,1,1,18,0,2290
Bowman,2009,1,1,19,0,2278
Bowman,2009,1,1,20,0,2243
Bowman,2009,1,1,21,0,2219
Bowman,2009,1,1,22,0,2149
Bowman,2009,1,1,23,0,2112
Bowman,2009,1,2,0,0,2003
Bowman,2009,1,2,1,0,1958
Bowman,2009,1,2,2,0,1952
Bowman,2009,1,2,3,0,1971
Bowman,2009,1,2,4,0,1994
Bowman,2009,1,2,5,0,2063
Bowman,2009,1,2,6,0,2149
Bowman,2009,1,2,7,0,2239
Bowman,2009,1,2,8,0,2332
Bowman,2009,1,2,9,0,2346
Bowman,2009,1,2,10,0,2268
Bowman,2009,1,2,11,0,2192
Bowman,2009,1,2,12,0,2144
Bowman,2009,1,2,13,0,2114
Bowman,2009,1,2,14,0,2080
Bowman,2009,1,2,15,0,2064
Bowman,2009,1,2,16,0,2071
Bowman,2009,1,2,17,0,2224
Bowman,2009,1,2,18,0,2372
Bowman,2009,1,2,19,0,2403
Bowman,2009,1,2,20,0,2363
Bowman,2009,1,2,21,0,2316
Bowman,2009,1,2,22,0,2171
Bowman,2009,1,2,23,0,2057
Bowman,2009,1,3,0,0,1997
Bowman,2009,1,3,1,0,1943
Bowman,2009,1,3,2,0,1944
Bowman,2009,1,3,3,0,1946
Bowman,2009,1,3,4,0,2015
Bowman,2009,1,3,5,0,2152
Bowman,2009,1,3,6,0,2417
Bowman,2009,1,3,7,0,2582
Bowman,2009,1,3,8,0,2606
Bowman,2009,1,3,9,0,2584
Bowman,2009,1,3,10,0,2546
Bowman,2009,1,3,11,0,2497
Bowman,2009,1,3,12,0,2452
Bowman,2009,1,3,13,0,2436
Bowman,2009,1,3,14,0,2403
Bowman,2009,1,3,15,0,2387
Bowman,2009,1,3,16,0,2378
Bowman,2009,1,3,17,0,2510
Bowman,2009,1,3,18,0,2648
Bowman,2009,1,3,19,0,2616
Bowman,2009,1,3,20,0,2585
Bowman,2009,1,3,21,0,2457
Bowman,2009,1,3,22,0,2349
Bowman,2009,1,3,23,0,2207
Bowman,2009,1,4,0,0,2101
Bowman,2009,1,4,1,0,2036
Bowman,2009,1,4,2,0,2027
Bowman,2009,1,4,3,0,2002
Bowman,2009,1,4,4,0,2059
Bowman,2009,1,4,5,0,2224
Bowman,2009,1,4,6,0,2476
Bowman,2009,1,4,7,0,2600
Bowman,2009,1,4,8,0,2590
Bowman,2009,1,4,9,0,2556
Bowman,2009,1,4,10,0,2517
Bowman,2009,1,4,11,0,2483
Bowman,2009,1,4,12,0,2468
Bowman,2009,1,4,13,0,2477
Bowman,2009,1,4,14,0,2453
Bowman,2009,1,4,15,0,2429
Bowman,2009,1,4,16,0,2421
Bowman,2009,1,4,17,0,2500
Bowman,2009,1,4,18,0,2665
Bowman,2009,1,4,19,0,2635
Bowman,2009,1,4,20,0,2584
Bowman,2009,1,4,21,0,2446
Bowman,2009,1,4,22,0,2305
Bowman,2009,1,4,23,0,2130
Bowman,2009,1,5,0,0,2038
Bowman,2009,1,5,1,0,1974
Bowman,2009,1,5,2,0,1952
Bowman,2009,1,5,3,0,1949
Bowman,2009,1,5,4,0,2005
Bowman,2009,1,5,5,0,2152
Bowman,2009,1,5,6,0,2472
Bowman,2009,1,5,7,0,2585
Bowman,2009,1,5,8,0,2537
Bowman,2009,1,5,9,0,2510
Bowman,2009,1,5,10,0,2471
Bowman,2009,1,5,11,0,2446
Bowman,2009,1,5,12,0,2435
Bowman,2009,1,5,13,0,2429
Bowman,2009,1,5,14,0,2410
Bowman,2009,1,5,15,0,2406
Bowman,2009,1,5,16,0,2393
Bowman,2009,1,5,17,0,2512
Bowman,2009,1,5,18,0,2662
Bowman,2009,1,5,19,0,2654
Bowman,2009,1,5,20,0,2580
Bowman,2009,1,5,21,0,2462
Bowman,2009,1,5,22,0,2305
Bowman,2009,1,5,23,0,2132
Bowman,2009,1,6,0,0,2017
Bowman,2009,1,6,1,0,1963
Bowman,2009,1,6,2,0,1915
Bowman,2009,1,6,3,0,1925
Bowman,2009,1,6,4,0,1955
Bowman,2009,1,6,5,0,2105
Bowman,2009,1,6,6,0,2366
Bowman,2009,1,6,7,0,2467
Bowman,2009,1,6,8,0,2411
Bowman,2009,1,6,9,0,2397
Bowman,2009,1,6,10,0,2389
Bowman,2009,1,6,11,0,2378
Bowman,2009,1,6,12,0,2384
Bowman,2009,1,6,13,0,2384
Bowman,2009,1,6,14,0,2373
Bowman,2009,1,6,15,0,2356
Bowman,2009,1,6,16,0,2370
Bowman,2009,1,6,17,0,2514
Bowman,2009,1,6,18,0,2613
Bowman,2009,1,6,19,0,2616
Bowman,2009,1,6,20,0,2534
Bowman,2009,1,6,21,0,2411
Bowman,2009,1,6,22,0,2243
Bowman,2009,1,6,23,0,2083
Bowman,2009,1,7,0,0,1943
Bowman,2009,1,7,1,0,1887
Bowman,2009,1,7,2,0,1841
Bowman,2009,1,7,3,0,1827
Bowman,2009,1,7,4,0,1847
Bowman,2009,1,7,5,0,1987
Bowman,2009,1,7,6,0,2291
Bowman,2009,1,7,7,0,2423
Bowman,2009,1,7,8,0,2422
Bowman,2009,1,7,9,0,2425
Bowman,2009,1,7,10,0,2445
Bowman,2009,1,7,11,0,2438
Bowman,2009,1,7,12,0,2416
Bowman,2009,1,7,13,0,2417
Bowman,2009,1,7,14,0,2368
Bowman,2009,1,7,15,0,2367
Bowman,2009,1,7,16,0,2369
Bowman,2009,1,7,17,0,2449
Bowman,2009,1,7,18,0,2528
Bowman,2009,1,7,19,0,2483
Bowman,2009,1,7,20,0,2412
Bowman,2009,1,7,21,0,2326
Bowman,2009,1,7,22,0,2220
Bowman,2009,1,7,23,0,2069
Bowman,2009,1,8,0,0,1958
Bowman,2009,1,8,1,0,1873
Bowman,2009,1,8,2,0,1848
Bowman,2009,1,8,3,0,1824
Bowman,2009,1,8,4,0,1800
Bowman,2009,1,8,5,0,1865
Bowman,2009,1,8,6,0,1962
Bowman,2009,1,8,7,0,2047
Bowman,2009,1,8,8,0,2150
Bowman,2009,1,8,9,0,2233
Bowman,2009,1,8,10,0,2335
Bowman,2009,1,8,11,0,2333
Bowman,2009,1,8,12,0,2329
Bowman,2009,1,8,13,0,2330
Bowman,2009,1,8,14,0,2300
Bowman,2009,1,8,15,0,2281
Bowman,2009,1,8,16,0,2285
Bowman,2009,1,8,17,0,2367
Bowman,2009,1,8,18,0,2487
Bowman,2009,1,8,19,0,2456
Bowman,2009,1,8,20,0,2405
Bowman,2009,1,8,21,0,2324
Bowman,2009,1,8,22,0,2229
Bowman,2009,1,8,23,0,2086
Bowman,2009,1,9,0,0,1963
Bowman,2009,1,9,1,0,1886
Bowman,2009,1,9,2,0,1847
Bowman,2009,1,9,3,0,1827
Bowman,2009,1,9,4,0,1818
Bowman,2009,1,9,5,0,1860
Bowman,2009,1,9,6,0,1948
Bowman,2009,1,9,7,0,1999
Bowman,2009,1,9,8,0,2120
Bowman,2009,1,9,9,0,2190
Bowman,2009,1,9,10,0,2232
Bowman,2009,1,9,11,0,2220
Bowman,2009,1,9,12,0,2215
Bowman,2009,1,9,13,0,2199
Bowman,2009,1,9,14,0,2196
Bowman,2009,1,9,15,0,2171
Bowman,2009,1,9,16,0,2182
Bowman,2009,1,9,17,0,2302
Bowman,2009,1,9,18,0,2480
Bowman,2009,1,9,19,0,2476
Bowman,2009,1,9,20,0,2444
Bowman,2009,1,9,21,0,2376
Bowman,2009,1,9,22,0,2251
Bowman,2009,1,9,23,0,2120
Bowman,2009,1,10,0,0,1975
Bowman,2009,1,10,1,0,1935
Bowman,2009,1,10,2,0,1936
Bowman,2009,1,10,3,0,1971
Bowman,2009,1,10,4,0,2028
Bowman,2009,1,10,5,0,2236
Bowman,2009,1,10,6,0,2601
Bowman,2009,1,10,7,0,2720
Bowman,2009,1,10,8,0,2649
Bowman,2009,1,10,9,0,2587
Bowman,2009,1,10,10,0,2525
Bowman,2009,1,10,11,0,2446
Bowman,2009,1,10,12,0,2425
Bowman,2009,1,10,13,0,2438
Bowman,2009,1,10,14,0,2421
Bowman,2009,1,10,15,0,2398
Bowman,2009,1,10,16,0,2395
Bowman,2009,1,10,17,0,2476
Bowman,2009,1,10,18,0,2661
Bowman,2009,1,10,19,0,2654
Bowman,2009,1,10,20,0,2582
Bowman,2009,1,10,21,0,2479
Bowman,2009,1,10,22,0,2315
Bowman,2009,1,10,23,0,2157
Bowman,2009,1,11,0,0,2058
Bowman,2009,1,11,1,0,1994
Bowman,2009,1,11,2,0,1990
Bowman,2009,1,11,3,0,2000
Bowman,2009,1,11,4,0,2044
Bowman,2009,1,11,5,0,2224
Bowman,2009,1,11,6,0,2590
Bowman,2009,1,11,7,0,2671
Bowman,2009,1,11,8,0,2609
Bowman,2009,1,11,9,0,2523
Bowman,2009,1,11,10,0,2463
Bowman,2009,1,11,11,0,2446
Bowman,2009,1,11,12,0,2394
Bowman,2009,1,11,13,0,2379
Bowman,2009,1,11,14,0,2351
Bowman,2009,1,11,15,0,2338
Bowman,2009,1,11,16,0,2360
Bowman,2009,1,11,17,0,2465
Bowman,2009,1,11,18,0,2631
Bowman,2009,1,11,19,0,2630
Bowman,2009,1,11,20,0,2564
Bowman,2009,1,11,21,0,2451
Bowman,2009,1,11,22,0,2297
Bowman,2009,1,11,23,0,2136
Bowman,2009,1,12,0,0,2026
Bowman,2009,1,12,1,0,2017
Bowman,2009,1,12,2,0,1953
Bowman,2009,1,12,3,0,1947
Bowman,2009,1,12,4,0,2029
Bowman,2009,1,12,5,0,2178
Bowman,2009,1,12,6,0,2512
Bowman,2009,1,12,7,0,2593
Bowman,2009,1,12,8,0,2560
Bowman,2009,1,12,9,0,2509
Bowman,2009,1,12,10,0,2459
Bowman,2009,1,12,11,0,2438
Bowman,2009,1,12,12,0,2417
Bowman,2009,1,12,13,0,2415
Bowman,2009,1,12,14,0,2393
Bowman,2009,1,12,15,0,2372
Bowman,2009,1,12,16,0,2393
Bowman,2009,1,12,17,0,2501
Bowman,2009,1,12,18,0,2630
Bowman,2009,1,12,19,0,2630
Bowman,2009,1,12,20,0,2568
Bowman,2009,1,12,21,0,2438
Bowman,2009,1,12,22,0,2272
Bowman,2009,1,12,23,0,2090
Bowman,2009,1,13,0,0,1968
Bowman,2009,1,13,1,0,1904
Bowman,2009,1,13,2,0,1858
Bowman,2009,1,13,3,0,1864
Bowman,2009,1,13,4,0,1897
Bowman,2009,1,13,5,0,2053
Bowman,2009,1,13,6,0,2350
Bowman,2009,1,13,7,0,2454
Bowman,2009,1,13,8,0,2431
Bowman,2009,1,13,9,0,2467
Bowman,2009,1,13,10,0,2475
Bowman,2009,1,13,11,0,2473
Bowman,2009,1,13,12,0,2459
Bowman,2009,1,13,13,0,2487
Bowman,2009,1,13,14,0,2470
Bowman,2009,1,13,15,0,2467
Bowman,2009,1,13,16,0,2473
Bowman,2009,1,13,17,0,2542
Bowman,2009,1,13,18,0,2697
Bowman,2009,1,13,19,0,2692
Bowman,2009,1,13,20,0,2612
Bowman,2009,1,13,21,0,2506
Bowman,2009,1,13,22,0,2336
Bowman,2009,1,13,23,0,2142
Bowman,2009,1,14,0,0,2016
Bowman,2009,1,14,1,0,1928
Bowman,2009,1,14,2,0,1889
Bowman,2009,1,14,3,0,1855
Bowman,2009,1,14,4,0,1883
Bowman,2009,1,14,5,0,2003
Bowman,2009,1,14,6,0,2288
Bowman,2009,1,14,7,0,2444
Bowman,2009,1,14,8,0,2407
Bowman,2009,1,14,9,0,2454
Bowman,2009,1,14,10,0,2464
Bowman,2009,1,14,11,0,2470
Bowman,2009,1,14,12,0,2447
Bowman,2009,1,14,13,0,2425
Bowman,2009,1,14,14,0,2399
Bowman,2009,1,14,15,0,2401
