city,YR,M,D,HR,MIN,MW
Bridgeville,2009,1,1,0,0,1786
Bridgeville,2009,1,1,1,0,1726
Bridgeville,2009,1,1,2,0,1668
Bridgeville,2009,1,1,3,0,1645
Bridgeville,2009,1,1,4,0,1650
Bridgeville,2009,1,1,5,0,1681
Bridgeville,2009,1,1,6,0,1728
Bridgeville,2009,1,1,7,0,1765
Bridgeville,2009,1,1,8,0,1828
Bridgeville,2009,1,1,9,0,1881
Bridgeville,2009,1,1,10,0,1916
Bridgeville,2009,1,1,11,0,1906
Bridgeville,2009,1,1,12,0,1861
Bridgeville,2009,1,1,13,0,1804
Bridgeville,2009,1,1,14,0,1759
Bridgeville,2009,1,1,15,0,1732
Bridgeville,2009,1,1,16,0,1798
Bridgeville,2009,1,1,17,0,2022
Bridgeville,2009,1,1,18,0,2045
Bridgeville,2009,1,1,19,0,2026
Bridgeville,2009,1,1,20,0,1992
Bridgeville,2009,1,1,21,0,1949
Bridgeville,2009,1,1,22,0,1858
Bridgeville,2009,1,1,23,0,1760
Bridgeville,2009,1,2,0,0,1672
Bridgeville,2009,1,2,1,0,1628
Bridgeville,2009,1,2,2,0,1625
Bridgeville,2009,1,2,3,0,1640
Bridgeville,2009,1,2,4,0,1673
Bridgeville,2009,1,2,5,0,1726
Bridgeville,2009,1,2,6,0,1818
Bridgeville,2009,1,2,7,0,1910
Bridgeville,2009,1,2,8,0,2034
Bridgeville,2009,1,2,9,0,2099
Bridgeville,2009,1,2,10,0,2122
Bridgeville,2009,1,2,11,0,2116
Bridgeville,2009,1,2,12,0,2097
Bridgeville,2009,1,2,13,0,2053
Bridgeville,2009,1,2,14,0,2036
Bridgeville,2009,1,2,15,0,2027
Bridgeville,2009,1,2,16,0,2124
Bridgeville,2009,1,2,17,0,2294
Bridgeville,2009,1,2,18,0,2300
Bridgeville,2009,1,2,19,0,2282
Bridgeville,2009,1,2,20,0,2216
Bridgeville,2009,1,2,21,0,2104
Bridgeville,2009,1,2,22,0,1951
Bridgeville,2009,1,2,23,0,1843
Bridgeville,2009,1,3,0,0,1744
Bridgeville,2009,1,3,1,0,1683
Bridgeville,2009,1,3,2,0,1677
Bridgeville,2009,1,3,3,0,1688
Bridgeville,2009,1,3,4,0,1730
Bridgeville,2009,1,3,5,0,1870
Bridgeville,2009,1,3,6,0,2138
Bridgeville,2009,1,3,7,0,2223
Bridgeville,2009,1,3,8,0,2185
Bridgeville,2009,1,3,9,0,2159
Bridgeville,2009,1,3,10,0,2114
Bridgeville,2009,1,3,11,0,2055
Bridgeville,2009,1,3,12,0,1987
Bridgeville,2009,1,3,13,0,1958
Bridgeville,2009,1,3,14,0,1948
Bridgeville,2009,1,3,15,0,1952
Bridgeville,2009,1,3,16,0,2062
Bridgeville,2009,1,3,17,0,2247
Bridgeville,2009,1,3,18,0,2282
Bridgeville,2009,1,3,19,0,2261
Bridgeville,2009,1,3,20,0,2193
Bridgeville,2009,1,3,21,0,2070
Bridgeville,2009,1,3,22,0,1891
Bridgeville,2009,1,3,23,0,1730
Bridgeville,2009,1,4,0,0,1614
Bridgeville,2009,1,4,1,0,1554
Bridgeville,2009,1,4,2,0,1533
Bridgeville,2009,1,4,3,0,1520
Bridgeville,2009,1,4,4,0,1564
Bridgeville,2009,1,4,5,0,1687
Bridgeville,2009,1,4,6,0,1969
Bridgeville,2009,1,4,7,0,2070
Bridgeville,2009,1,4,8,0,2033
