city,YR,M,D,HR,MIN,MW
Calumet,2009,1,1,0,0,167.9677278
Calumet,2009,1,1,1,0,156.385233
Calumet,2009,1,1,2,0,148.5367904
Calumet,2009,1,1,3,0,143.4599238
Calumet,2009,1,1,4,0,142.0684043
Calumet,2009,1,1,5,0,143.5799131
Calumet,2009,1,1,6,0,149.0455164
Calumet,2009,1,1,7,0,155.2249933
Calumet,2009,1,1,8,0,159.9232131
Calumet,2009,1,1,9,0,174.7940168
Calumet,2009,1,1,10,0,187.2722453
Calumet,2009,1,1,11,0,192.4567537
Calumet,2009,1,1,12,0,193.266395
Calumet,2009,1,1,13,0,191.9518505
Calumet,2009,1,1,14,0,190.2217161
Calumet,2009,1,1,15,0,187.8789141
Calumet,2009,1,1,16,0,191.3390301
Calumet,2009,1,1,17,0,211.5200246
Calumet,2009,1,1,18,0,226.983416
Calumet,2009,1,1,19,0,222.4387506
Calumet,2009,1,1,20,0,217.5477655
Calumet,2009,1,1,21,0,208.0875351
Calumet,2009,1,1,22,0,193.1980207
Calumet,2009,1,1,23,0,173.9686278
Calumet,2009,1,2,0,0,157.8999402
Calumet,2009,1,2,1,0,147.3166159
Calumet,2009,1,2,2,0,141.5208914
Calumet,2009,1,2,3,0,138.5271836
Calumet,2009,1,2,4,0,137.7664243
Calumet,2009,1,2,5,0,140.5207443
Calumet,2009,1,2,6,0,147.8267514
Calumet,2009,1,2,7,0,159.9843504
Calumet,2009,1,2,8,0,170.6057103
Calumet,2009,1,2,9,0,180.4904942
Calumet,2009,1,2,10,0,186.205745
Calumet,2009,1,2,11,0,190.7810994
Calumet,2009,1,2,12,0,197.422508
Calumet,2009,1,2,13,0,197.0670791
Calumet,2009,1,2,14,0,197.7498101
Calumet,2009,1,2,15,0,200.6044717
Calumet,2009,1,2,16,0,209.8722125
Calumet,2009,1,2,17,0,233.8068894
Calumet,2009,1,2,18,0,244.3347655
Calumet,2009,1,2,19,0,241.0223875
Calumet,2009,1,2,20,0,234.3127306
Calumet,2009,1,2,21,0,223.8784741
Calumet,2009,1,2,22,0,203.6198391
Calumet,2009,1,2,23,0,180.9590196
Calumet,2009,1,3,0,0,165.5019487
Calumet,2009,1,3,1,0,159.496814
Calumet,2009,1,3,2,0,154.2176195
Calumet,2009,1,3,3,0,153.3237977
Calumet,2009,1,3,4,0,156.932326
Calumet,2009,1,3,5,0,170.8320129
Calumet,2009,1,3,6,0,200.1009708
Calumet,2009,1,3,7,0,231.3659521
Calumet,2009,1,3,8,0,238.0050395
Calumet,2009,1,3,9,0,244.7810153
Calumet,2009,1,3,10,0,249.2140761
Calumet,2009,1,3,11,0,250.4340443
Calumet,2009,1,3,12,0,246.2479136
Calumet,2009,1,3,13,0,244.723334
Calumet,2009,1,3,14,0,241.6826474
Calumet,2009,1,3,15,0,240.9817772
Calumet,2009,1,3,16,0,245.8038104
Calumet,2009,1,3,17,0,261.9575402
Calumet,2009,1,3,18,0,274.937772
Calumet,2009,1,3,19,0,270.0623556
Calumet,2009,1,3,20,0,263.1297066
Calumet,2009,1,3,21,0,249.8017862
Calumet,2009,1,3,22,0,225.6696063
Calumet,2009,1,3,23,0,201.2932599
Calumet,2009,1,4,0,0,185.7390565
Calumet,2009,1,4,1,0,178.3616823
Calumet,2009,1,4,2,0,175.0329717
Calumet,2009,1,4,3,0,173.9513344
Calumet,2009,1,4,4,0,178.290065
Calumet,2009,1,4,5,0,191.9609244
Calumet,2009,1,4,6,0,222.0901056
Calumet,2009,1,4,7,0,253.2009841
Calumet,2009,1,4,8,0,261.0457408
Calumet,2009,1,4,9,0,265.6075882
Calumet,2009,1,4,10,0,271.2470091
Calumet,2009,1,4,11,0,272.4056625
Calumet,2009,1,4,12,0,268.5649122
Calumet,2009,1,4,13,0,268.2004018
Calumet,2009,1,4,14,0,265.6469315
Calumet,2009,1,4,15,0,265.4213599
Calumet,2009,1,4,16,0,270.5635094
Calumet,2009,1,4,17,0,285.4092687
Calumet,2009,1,4,18,0,292.0637949
Calumet,2009,1,4,19,0,279.8059519
Calumet,2009,1,4,20,0,269.1632773
Calumet,2009,1,4,21,0,259.9386009
Calumet,2009,1,4,22,0,240.0071856
Calumet,2009,1,4,23,0,218.1735402
Calumet,2009,1,5,0,0,202.536288
Calumet,2009,1,5,1,0,194.3218846
Calumet,2009,1,5,2,0,192.0765241
Calumet,2009,1,5,3,0,191.7565699
Calumet,2009,1,5,4,0,194.8920609
Calumet,2009,1,5,5,0,208.9980094
