city,YR,M,D,HR,MIN,MW
Dayton,2009,1,1,0,0,1490
Dayton,2009,1,1,1,0,1429
Dayton,2009,1,1,2,0,1367
Dayton,2009,1,1,3,0,1325
Dayton,2009,1,1,4,0,1316
Dayton,2009,1,1,5,0,1335
Dayton,2009,1,1,6,0,1367
Dayton,2009,1,1,7,0,1426
Dayton,2009,1,1,8,0,1469
Dayton,2009,1,1,9,0,1573
Dayton,2009,1,1,10,0,1667
Dayton,2009,1,1,11,0,1734
Dayton,2009,1,1,12,0,1744
Dayton,2009,1,1,13,0,1743
Dayton,2009,1,1,14,0,1723
Dayton,2009,1,1,15,0,1727
Dayton,2009,1,1,16,0,1755
Dayton,2009,1,1,17,0,1867
Dayton,2009,1,1,18,0,1882
Dayton,2009,1,1,19,0,1854
Dayton,2009,1,1,20,0,1812
Dayton,2009,1,1,21,0,1755
Dayton,2009,1,1,22,0,1676
Dayton,2009,1,1,23,0,1576
Dayton,2009,1,2,0,0,1461
Dayton,2009,1,2,1,0,1399
Dayton,2009,1,2,2,0,1357
Dayton,2009,1,2,3,0,1350
Dayton,2009,1,2,4,0,1341
Dayton,2009,1,2,5,0,1374
Dayton,2009,1,2,6,0,1432
Dayton,2009,1,2,7,0,1512
Dayton,2009,1,2,8,0,1577
Dayton,2009,1,2,9,0,1652
Dayton,2009,1,2,10,0,1691
Dayton,2009,1,2,11,0,1731
Dayton,2009,1,2,12,0,1764
Dayton,2009,1,2,13,0,1750
Dayton,2009,1,2,14,0,1739
Dayton,2009,1,2,15,0,1741
Dayton,2009,1,2,16,0,1760
Dayton,2009,1,2,17,0,1920
Dayton,2009,1,2,18,0,1975
Dayton,2009,1,2,19,0,1956
Dayton,2009,1,2,20,0,1909
Dayton,2009,1,2,21,0,1833
Dayton,2009,1,2,22,0,1728
Dayton,2009,1,2,23,0,1625
Dayton,2009,1,3,0,0,1531
Dayton,2009,1,3,1,0,1488
Dayton,2009,1,3,2,0,1469
Dayton,2009,1,3,3,0,1466
Dayton,2009,1,3,4,0,1511
Dayton,2009,1,3,5,0,1645
Dayton,2009,1,3,6,0,1900
Dayton,2009,1,3,7,0,2070
Dayton,2009,1,3,8,0,2131
Dayton,2009,1,3,9,0,2155
Dayton,2009,1,3,10,0,2175
Dayton,2009,1,3,11,0,2181
Dayton,2009,1,3,12,0,2186
Dayton,2009,1,3,13,0,2187
Dayton,2009,1,3,14,0,2173
Dayton,2009,1,3,15,0,2150
Dayton,2009,1,3,16,0,2195
Dayton,2009,1,3,17,0,2309
Dayton,2009,1,3,18,0,2335
Dayton,2009,1,3,19,0,2307
Dayton,2009,1,3,20,0,2248
Dayton,2009,1,3,21,0,2144
Dayton,2009,1,3,22,0,2000
Dayton,2009,1,3,23,0,1844
Dayton,2009,1,4,0,0,1746
Dayton,2009,1,4,1,0,1674
Dayton,2009,1,4,2,0,1652
Dayton,2009,1,4,3,0,1642
Dayton,2009,1,4,4,0,1694
Dayton,2009,1,4,5,0,1824
Dayton,2009,1,4,6,0,2087
Dayton,2009,1,4,7,0,2278
Dayton,2009,1,4,8,0,2273
Dayton,2009,1,4,9,0,2267
Dayton,2009,1,4,10,0,2284
Dayton,2009,1,4,11,0,2283
Dayton,2009,1,4,12,0,2278
Dayton,2009,1,4,13,0,2276
Dayton,2009,1,4,14,0,2260
Dayton,2009,1,4,15,0,2249
Dayton,2009,1,4,16,0,2286
Dayton,2009,1,4,17,0,2391
Dayton,2009,1,4,18,0,2430
Dayton,2009,1,4,19,0,2397
Dayton,2009,1,4,20,0,2357
Dayton,2009,1,4,21,0,2251
Dayton,2009,1,4,22,0,2108
Dayton,2009,1,4,23,0,1968
Dayton,2009,1,5,0,0,1860
Dayton,2009,1,5,1,0,1788
Dayton,2009,1,5,2,0,1765
Dayton,2009,1,5,3,0,1750
Dayton,2009,1,5,4,0,1800
Dayton,2009,1,5,5,0,1936
Dayton,2009,1,5,6,0,2197
Dayton,2009,1,5,7,0,2402
Dayton,2009,1,5,8,0,2429
Dayton,2009,1,5,9,0,2439
Dayton,2009,1,5,10,0,2511
Dayton,2009,1,5,11,0,2492
Dayton,2009,1,5,12,0,2496
Dayton,2009,1,5,13,0,2487
Dayton,2009,1,5,14,0,2475
Dayton,2009,1,5,15,0,2477
Dayton,2009,1,5,16,0,2486
Dayton,2009,1,5,17,0,2580
Dayton,2009,1,5,18,0,2591
Dayton,2009,1,5,19,0,2524
Dayton,2009,1,5,20,0,2441
Dayton,2009,1,5,21,0,2327
Dayton,2009,1,5,22,0,2178
Dayton,2009,1,5,23,0,2015
Dayton,2009,1,6,0,0,1882
Dayton,2009,1,6,1,0,1820
Dayton,2009,1,6,2,0,1792
Dayton,2009,1,6,3,0,1763
Dayton,2009,1,6,4,0,1803
Dayton,2009,1,6,5,0,1890
Dayton,2009,1,6,6,0,2075
Dayton,2009,1,6,7,0,2206
Dayton,2009,1,6,8,0,2241
Dayton,2009,1,6,9,0,2235
Dayton,2009,1,6,10,0,2272
Dayton,2009,1,6,11,0,2248
Dayton,2009,1,6,12,0,2267
Dayton,2009,1,6,13,0,2288
Dayton,2009,1,6,14,0,2257
Dayton,2009,1,6,15,0,2252
Dayton,2009,1,6,16,0,2295
Dayton,2009,1,6,17,0,2385
Dayton,2009,1,6,18,0,2442
Dayton,2009,1,6,19,0,2424
Dayton,2009,1,6,20,0,2360
Dayton,2009,1,6,21,0,2294
Dayton,2009,1,6,22,0,2163
Dayton,2009,1,6,23,0,2030
Dayton,2009,1,7,0,0,1932
Dayton,2009,1,7,1,0,1886
Dayton,2009,1,7,2,0,1844
Dayton,2009,1,7,3,0,1854
Dayton,2009,1,7,4,0,1873
Dayton,2009,1,7,5,0,2000
Dayton,2009,1,7,6,0,2218
Dayton,2009,1,7,7,0,2374
Dayton,2009,1,7,8,0,2393
Dayton,2009,1,7,9,0,2376
Dayton,2009,1,7,10,0,2393
Dayton,2009,1,7,11,0,2365
Dayton,2009,1,7,12,0,2358
Dayton,2009,1,7,13,0,2339
Dayton,2009,1,7,14,0,2313
Dayton,2009,1,7,15,0,2289
Dayton,2009,1,7,16,0,2304
Dayton,2009,1,7,17,0,2379
Dayton,2009,1,7,18,0,2400
Dayton,2009,1,7,19,0,2355
Dayton,2009,1,7,20,0,2280
Dayton,2009,1,7,21,0,2238
Dayton,2009,1,7,22,0,2102
Dayton,2009,1,7,23,0,1949
Dayton,2009,1,8,0,0,1823
Dayton,2009,1,8,1,0,1746
Dayton,2009,1,8,2,0,1724
Dayton,2009,1,8,3,0,1703
Dayton,2009,1,8,4,0,1725
Dayton,2009,1,8,5,0,1769
Dayton,2009,1,8,6,0,1857
Dayton,2009,1,8,7,0,1961
Dayton,2009,1,8,8,0,2032
Dayton,2009,1,8,9,0,2122
Dayton,2009,1,8,10,0,2173
Dayton,2009,1,8,11,0,2167
Dayton,2009,1,8,12,0,2146
Dayton,2009,1,8,13,0,2108
Dayton,2009,1,8,14,0,2079
Dayton,2009,1,8,15,0,2065
Dayton,2009,1,8,16,0,2084
Dayton,2009,1,8,17,0,2163
Dayton,2009,1,8,18,0,2220
Dayton,2009,1,8,19,0,2175
Dayton,2009,1,8,20,0,2125
Dayton,2009,1,8,21,0,2061
Dayton,2009,1,8,22,0,1975
Dayton,2009,1,8,23,0,1863
Dayton,2009,1,9,0,0,1748
Dayton,2009,1,9,1,0,1671
Dayton,2009,1,9,2,0,1632
Dayton,2009,1,9,3,0,1624
Dayton,2009,1,9,4,0,1620
Dayton,2009,1,9,5,0,1642
Dayton,2009,1,9,6,0,1692
Dayton,2009,1,9,7,0,1787
Dayton,2009,1,9,8,0,1840
Dayton,2009,1,9,9,0,1919
Dayton,2009,1,9,10,0,1948
Dayton,2009,1,9,11,0,1946
Dayton,2009,1,9,12,0,1914
Dayton,2009,1,9,13,0,1871
Dayton,2009,1,9,14,0,1829
Dayton,2009,1,9,15,0,1788
Dayton,2009,1,9,16,0,1824
Dayton,2009,1,9,17,0,1976
Dayton,2009,1,9,18,0,2119
Dayton,2009,1,9,19,0,2132
Dayton,2009,1,9,20,0,2110
Dayton,2009,1,9,21,0,2049
Dayton,2009,1,9,22,0,1961
Dayton,2009,1,9,23,0,1853
Dayton,2009,1,10,0,0,1771
Dayton,2009,1,10,1,0,1715
Dayton,2009,1,10,2,0,1708
Dayton,2009,1,10,3,0,1712
Dayton,2009,1,10,4,0,1767
Dayton,2009,1,10,5,0,1913
Dayton,2009,1,10,6,0,2174
Dayton,2009,1,10,7,0,2354
Dayton,2009,1,10,8,0,2369
Dayton,2009,1,10,9,0,2367
Dayton,2009,1,10,10,0,2404
Dayton,2009,1,10,11,0,2393
Dayton,2009,1,10,12,0,2388
Dayton,2009,1,10,13,0,2371
Dayton,2009,1,10,14,0,2336
Dayton,2009,1,10,15,0,2312
Dayton,2009,1,10,16,0,2336
Dayton,2009,1,10,17,0,2436
Dayton,2009,1,10,18,0,2492
Dayton,2009,1,10,19,0,2460
Dayton,2009,1,10,20,0,2400
Dayton,2009,1,10,21,0,2302
Dayton,2009,1,10,22,0,2144
Dayton,2009,1,10,23,0,1996
Dayton,2009,1,11,0,0,1888
Dayton,2009,1,11,1,0,1820
Dayton,2009,1,11,2,0,1792
Dayton,2009,1,11,3,0,1766
Dayton,2009,1,11,4,0,1813
Dayton,2009,1,11,5,0,1939
Dayton,2009,1,11,6,0,2183
Dayton,2009,1,11,7,0,2352
Dayton,2009,1,11,8,0,2345
Dayton,2009,1,11,9,0,2348
Dayton,2009,1,11,10,0,2362
Dayton,2009,1,11,11,0,2345
Dayton,2009,1,11,12,0,2358
Dayton,2009,1,11,13,0,2354
Dayton,2009,1,11,14,0,2306
Dayton,2009,1,11,15,0,2302
Dayton,2009,1,11,16,0,2324
Dayton,2009,1,11,17,0,2411
Dayton,2009,1,11,18,0,2441
Dayton,2009,1,11,19,0,2382
Dayton,2009,1,11,20,0,2329
Dayton,2009,1,11,21,0,2212
Dayton,2009,1,11,22,0,2071
Dayton,2009,1,11,23,0,1907
Dayton,2009,1,12,0,0,1794
Dayton,2009,1,12,1,0,1713
Dayton,2009,1,12,2,0,1669
Dayton,2009,1,12,3,0,1651
Dayton,2009,1,12,4,0,1688
Dayton,2009,1,12,5,0,1788
Dayton,2009,1,12,6,0,2039
Dayton,2009,1,12,7,0,2222
Dayton,2009,1,12,8,0,2231
Dayton,2009,1,12,9,0,2218
Dayton,2009,1,12,10,0,2226
Dayton,2009,1,12,11,0,2216
Dayton,2009,1,12,12,0,2215
Dayton,2009,1,12,13,0,2196
Dayton,2009,1,12,14,0,2175
Dayton,2009,1,12,15,0,2138
Dayton,2009,1,12,16,0,2143
Dayton,2009,1,12,17,0,2235
Dayton,2009,1,12,18,0,2327
Dayton,2009,1,12,19,0,2290
Dayton,2009,1,12,20,0,2231
Dayton,2009,1,12,21,0,2152
Dayton,2009,1,12,22,0,1996
Dayton,2009,1,12,23,0,1826
Dayton,2009,1,13,0,0,1713
Dayton,2009,1,13,1,0,1651
Dayton,2009,1,13,2,0,1608
Dayton,2009,1,13,3,0,1612
Dayton,2009,1,13,4,0,1642
Dayton,2009,1,13,5,0,1763
Dayton,2009,1,13,6,0,2026
Dayton,2009,1,13,7,0,2212
Dayton,2009,1,13,8,0,2197
Dayton,2009,1,13,9,0,2196
Dayton,2009,1,13,10,0,2220
Dayton,2009,1,13,11,0,2217
Dayton,2009,1,13,12,0,2228
Dayton,2009,1,13,13,0,2221
Dayton,2009,1,13,14,0,2190
Dayton,2009,1,13,15,0,2177
Dayton,2009,1,13,16,0,2212
Dayton,2009,1,13,17,0,2328
Dayton,2009,1,13,18,0,2367
Dayton,2009,1,13,19,0,2361
Dayton,2009,1,13,20,0,2351
Dayton,2009,1,13,21,0,2284
Dayton,2009,1,13,22,0,2166
Dayton,2009,1,13,23,0,2027
Dayton,2009,1,14,0,0,1928
Dayton,2009,1,14,1,0,1872
Dayton,2009,1,14,2,0,1840
Dayton,2009,1,14,3,0,1843
Dayton,2009,1,14,4,0,1888
Dayton,2009,1,14,5,0,2039
Dayton,2009,1,14,6,0,2279
Dayton,2009,1,14,7,0,2459
Dayton,2009,1,14,8,0,2483
Dayton,2009,1,14,9,0,2478
Dayton,2009,1,14,10,0,2485
Dayton,2009,1,14,11,0,2446
Dayton,2009,1,14,12,0,2426
Dayton,2009,1,14,13,0,2397
Dayton,2009,1,14,14,0,2347
Dayton,2009,1,14,15,0,2298
Dayton,2009,1,14,16,0,2296
Dayton,2009,1,14,17,0,2384
Dayton,2009,1,14,18,0,2511
Dayton,2009,1,14,19,0,2482
Dayton,2009,1,14,20,0,2454
Dayton,2009,1,14,21,0,2398
Dayton,2009,1,14,22,0,2287
Dayton,2009,1,14,23,0,2158
Dayton,2009,1,15,0,0,2027
Dayton,2009,1,15,1,0,1965
Dayton,2009,1,15,2,0,1926
Dayton,2009,1,15,3,0,1909
Dayton,2009,1,15,4,0,1921
Dayton,2009,1,15,5,0,1979
Dayton,2009,1,15,6,0,2057
Dayton,2009,1,15,7,0,2177
Dayton,2009,1,15,8,0,2242
Dayton,2009,1,15,9,0,2289
Dayton,2009,1,15,10,0,2290
