city,YR,M,D,HR,MIN,MW
Dighton,2009,1,1,0,0,205.377
Dighton,2009,1,1,1,0,200.103
Dighton,2009,1,1,2,0,197.788
Dighton,2009,1,1,3,0,196.049
Dighton,2009,1,1,4,0,196.644
Dighton,2009,1,1,5,0,199.772
Dighton,2009,1,1,6,0,203.951
Dighton,2009,1,1,7,0,209.07
Dighton,2009,1,1,8,0,209.072
Dighton,2009,1,1,9,0,211.45
Dighton,2009,1,1,10,0,214.786
Dighton,2009,1,1,11,0,212.876
Dighton,2009,1,1,12,0,208.134
Dighton,2009,1,1,13,0,202.749
Dighton,2009,1,1,14,0,200.893
Dighton,2009,1,1,15,0,198.493
Dighton,2009,1,1,16,0,197.911
Dighton,2009,1,1,17,0,204.157
Dighton,2009,1,1,18,0,215.233
Dighton,2009,1,1,19,0,213.383
Dighton,2009,1,1,20,0,213.499
Dighton,2009,1,1,21,0,210.884
Dighton,2009,1,1,22,0,206.557
Dighton,2009,1,1,23,0,199.976
Dighton,2009,1,2,0,0,195.413
Dighton,2009,1,2,1,0,192.626
Dighton,2009,1,2,2,0,191.534
Dighton,2009,1,2,3,0,190.231
Dighton,2009,1,2,4,0,192.291
Dighton,2009,1,2,5,0,196.283
Dighton,2009,1,2,6,0,202.699
Dighton,2009,1,2,7,0,210.382
Dighton,2009,1,2,8,0,213.176
Dighton,2009,1,2,9,0,216.06
Dighton,2009,1,2,10,0,217.299
Dighton,2009,1,2,11,0,216.76
Dighton,2009,1,2,12,0,216.015
Dighton,2009,1,2,13,0,214.354
Dighton,2009,1,2,14,0,212.173
Dighton,2009,1,2,15,0,210.708
Dighton,2009,1,2,16,0,212.448
Dighton,2009,1,2,17,0,221.665
Dighton,2009,1,2,18,0,228.005
Dighton,2009,1,2,19,0,224.648
Dighton,2009,1,2,20,0,223.137
Dighton,2009,1,2,21,0,219.689
Dighton,2009,1,2,22,0,212.054
Dighton,2009,1,2,23,0,201.767
Dighton,2009,1,3,0,0,196.3
Dighton,2009,1,3,1,0,193.634
Dighton,2009,1,3,2,0,192.47
Dighton,2009,1,3,3,0,193.391
Dighton,2009,1,3,4,0,196.407
Dighton,2009,1,3,5,0,206.417
Dighton,2009,1,3,6,0,221.899
Dighton,2009,1,3,7,0,236.581
Dighton,2009,1,3,8,0,240.844
Dighton,2009,1,3,9,0,244.959
Dighton,2009,1,3,10,0,248.867
Dighton,2009,1,3,11,0,249.21
Dighton,2009,1,3,12,0,246.475
Dighton,2009,1,3,13,0,245.661
Dighton,2009,1,3,14,0,242.363
Dighton,2009,1,3,15,0,239.021
Dighton,2009,1,3,16,0,240.798
Dighton,2009,1,3,17,0,243.571
Dighton,2009,1,3,18,0,246.29
Dighton,2009,1,3,19,0,241.31
Dighton,2009,1,3,20,0,239.763
Dighton,2009,1,3,21,0,233.444
Dighton,2009,1,3,22,0,224.106
Dighton,2009,1,3,23,0,214.111
Dighton,2009,1,4,0,0,208.593
Dighton,2009,1,4,1,0,204.389
Dighton,2009,1,4,2,0,203.191
Dighton,2009,1,4,3,0,203.441
Dighton,2009,1,4,4,0,206.222
Dighton,2009,1,4,5,0,213.579
Dighton,2009,1,4,6,0,226.12
Dighton,2009,1,4,7,0,239.474
Dighton,2009,1,4,8,0,245.634
Dighton,2009,1,4,9,0,246.354
Dighton,2009,1,4,10,0,249.522
Dighton,2009,1,4,11,0,251.55
Dighton,2009,1,4,12,0,252.433
Dighton,2009,1,4,13,0,250.464
Dighton,2009,1,4,14,0,249.156
Dighton,2009,1,4,15,0,245.823
Dighton,2009,1,4,16,0,244.3
Dighton,2009,1,4,17,0,241.381
Dighton,2009,1,4,18,0,251.201
Dighton,2009,1,4,19,0,245.03
Dighton,2009,1,4,20,0,234.685
Dighton,2009,1,4,21,0,227.171
Dighton,2009,1,4,22,0,219.556
Dighton,2009,1,4,23,0,213.316
Dighton,2009,1,5,0,0,206.459
Dighton,2009,1,5,1,0,204.149
Dighton,2009,1,5,2,0,203.947
Dighton,2009,1,5,3,0,204.729
Dighton,2009,1,5,4,0,207.321
Dighton,2009,1,5,5,0,215.526
Dighton,2009,1,5,6,0,227.85
Dighton,2009,1,5,7,0,238.958
Dighton,2009,1,5,8,0,240.598
Dighton,2009,1,5,9,0,244.557
Dighton,2009,1,5,10,0,250.113
Dighton,2009,1,5,11,0,252.038
Dighton,2009,1,5,12,0,249.069
Dighton,2009,1,5,13,0,246.157
Dighton,2009,1,5,14,0,245.862
Dighton,2009,1,5,15,0,244.175
Dighton,2009,1,5,16,0,244.572
Dighton,2009,1,5,17,0,245.87
Dighton,2009,1,5,18,0,254.917
Dighton,2009,1,5,19,0,251.534
Dighton,2009,1,5,20,0,248.451
Dighton,2009,1,5,21,0,241.51
Dighton,2009,1,5,22,0,233.151
Dighton,2009,1,5,23,0,223.206
Dighton,2009,1,6,0,0,218.075
Dighton,2009,1,6,1,0,215.242
Dighton,2009,1,6,2,0,213.12
Dighton,2009,1,6,3,0,214.423
Dighton,2009,1,6,4,0,216.878
Dighton,2009,1,6,5,0,224.553
Dighton,2009,1,6,6,0,237.857
Dighton,2009,1,6,7,0,252.833
Dighton,2009,1,6,8,0,254.665
Dighton,2009,1,6,9,0,254.255
Dighton,2009,1,6,10,0,253.265
Dighton,2009,1,6,11,0,250.985
Dighton,2009,1,6,12,0,246.419
Dighton,2009,1,6,13,0,244.489
Dighton,2009,1,6,14,0,243.385
Dighton,2009,1,6,15,0,240.557
Dighton,2009,1,6,16,0,239.744
Dighton,2009,1,6,17,0,241.76
Dighton,2009,1,6,18,0,249.306
Dighton,2009,1,6,19,0,245.949
Dighton,2009,1,6,20,0,243.635
Dighton,2009,1,6,21,0,238.339
Dighton,2009,1,6,22,0,229.324
Dighton,2009,1,6,23,0,217.435
Dighton,2009,1,7,0,0,212.334
Dighton,2009,1,7,1,0,207.307
Dighton,2009,1,7,2,0,204.849
Dighton,2009,1,7,3,0,205.348
Dighton,2009,1,7,4,0,208.179
Dighton,2009,1,7,5,0,216.168
Dighton,2009,1,7,6,0,233.404
Dighton,2009,1,7,7,0,249.187
Dighton,2009,1,7,8,0,250.366
Dighton,2009,1,7,9,0,250.514
Dighton,2009,1,7,10,0,249.278
Dighton,2009,1,7,11,0,246.39
Dighton,2009,1,7,12,0,240.364
Dighton,2009,1,7,13,0,237.505
Dighton,2009,1,7,14,0,234.245
Dighton,2009,1,7,15,0,230.804
Dighton,2009,1,7,16,0,228.553
Dighton,2009,1,7,17,0,230.478
Dighton,2009,1,7,18,0,240.007
Dighton,2009,1,7,19,0,237.307
Dighton,2009,1,7,20,0,235.21
Dighton,2009,1,7,21,0,231.237
Dighton,2009,1,7,22,0,226.132
Dighton,2009,1,7,23,0,217.956
Dighton,2009,1,8,0,0,213.933
Dighton,2009,1,8,1,0,210.653
Dighton,2009,1,8,2,0,208.596
Dighton,2009,1,8,3,0,206.507
Dighton,2009,1,8,4,0,208.004
Dighton,2009,1,8,5,0,212.818
Dighton,2009,1,8,6,0,220.172
Dighton,2009,1,8,7,0,227.856
Dighton,2009,1,8,8,0,230.085
Dighton,2009,1,8,9,0,234.652
Dighton,2009,1,8,10,0,235.001
Dighton,2009,1,8,11,0,234.811
Dighton,2009,1,8,12,0,228.861
Dighton,2009,1,8,13,0,225.409
Dighton,2009,1,8,14,0,219.685
Dighton,2009,1,8,15,0,215.681
Dighton,2009,1,8,16,0,214.807
Dighton,2009,1,8,17,0,219.221
Dighton,2009,1,8,18,0,229.584
Dighton,2009,1,8,19,0,227.906
Dighton,2009,1,8,20,0,225.891
Dighton,2009,1,8,21,0,220.246
Dighton,2009,1,8,22,0,213.503
Dighton,2009,1,8,23,0,206.677
Dighton,2009,1,9,0,0,200.865
Dighton,2009,1,9,1,0,197.243
Dighton,2009,1,9,2,0,194.768
Dighton,2009,1,9,3,0,194.135
Dighton,2009,1,9,4,0,194.885
Dighton,2009,1,9,5,0,198.377
Dighton,2009,1,9,6,0,204.241
Dighton,2009,1,9,7,0,211.128
Dighton,2009,1,9,8,0,212.839
Dighton,2009,1,9,9,0,214.215
Dighton,2009,1,9,10,0,214.908
Dighton,2009,1,9,11,0,214.795
Dighton,2009,1,9,12,0,212.237
Dighton,2009,1,9,13,0,209.38
Dighton,2009,1,9,14,0,205.141
Dighton,2009,1,9,15,0,202.613
Dighton,2009,1,9,16,0,201.666
Dighton,2009,1,9,17,0,207.369
Dighton,2009,1,9,18,0,220.565
Dighton,2009,1,9,19,0,219.48
Dighton,2009,1,9,20,0,217.387
Dighton,2009,1,9,21,0,214.105
Dighton,2009,1,9,22,0,207.169
Dighton,2009,1,9,23,0,198.057
Dighton,2009,1,10,0,0,193.485
Dighton,2009,1,10,1,0,192.36
Dighton,2009,1,10,2,0,191.975
Dighton,2009,1,10,3,0,193.281
Dighton,2009,1,10,4,0,196.692
Dighton,2009,1,10,5,0,207.271
Dighton,2009,1,10,6,0,225.721
Dighton,2009,1,10,7,0,244.03
Dighton,2009,1,10,8,0,246.343
Dighton,2009,1,10,9,0,248.291
Dighton,2009,1,10,10,0,252.272
Dighton,2009,1,10,11,0,251.567
Dighton,2009,1,10,12,0,247.2
Dighton,2009,1,10,13,0,245.749
Dighton,2009,1,10,14,0,242.483
Dighton,2009,1,10,15,0,239.702
Dighton,2009,1,10,16,0,241.653
Dighton,2009,1,10,17,0,245.107
Dighton,2009,1,10,18,0,249.771
Dighton,2009,1,10,19,0,246.962
Dighton,2009,1,10,20,0,245.083
Dighton,2009,1,10,21,0,238.639
Dighton,2009,1,10,22,0,228.969
Dighton,2009,1,10,23,0,217.296
Dighton,2009,1,11,0,0,210.675
Dighton,2009,1,11,1,0,206.588
Dighton,2009,1,11,2,0,204.539
Dighton,2009,1,11,3,0,204.47
Dighton,2009,1,11,4,0,207.064
Dighton,2009,1,11,5,0,214.804
Dighton,2009,1,11,6,0,231.585
Dighton,2009,1,11,7,0,247.093
Dighton,2009,1,11,8,0,250.664
Dighton,2009,1,11,9,0,253.389
Dighton,2009,1,11,10,0,246.227
Dighton,2009,1,11,11,0,225.404
Dighton,2009,1,11,12,0,221.918
Dighton,2009,1,11,13,0,219.932
Dighton,2009,1,11,14,0,220.108
Dighton,2009,1,11,15,0,228.885
Dighton,2009,1,11,16,0,230.323
Dighton,2009,1,11,17,0,231.841
Dighton,2009,1,11,18,0,227.004
Dighton,2009,1,11,19,0,225.617
