city,YR,M,D,HR,MIN,MW
El Paso,2009,1,1,0,0,626
El Paso,2009,1,1,1,0,597
El Paso,2009,1,1,2,0,571
El Paso,2009,1,1,3,0,552
El Paso,2009,1,1,4,0,543
El Paso,2009,1,1,5,0,547
El Paso,2009,1,1,6,0,560
El Paso,2009,1,1,7,0,544
El Paso,2009,1,1,8,0,560
El Paso,2009,1,1,9,0,578
El Paso,2009,1,1,10,0,595
El Paso,2009,1,1,11,0,606
El Paso,2009,1,1,12,0,609
El Paso,2009,1,1,13,0,603
El Paso,2009,1,1,14,0,595
El Paso,2009,1,1,15,0,593
El Paso,2009,1,1,16,0,610
El Paso,2009,1,1,17,0,706
El Paso,2009,1,1,18,0,743
El Paso,2009,1,1,19,0,742
El Paso,2009,1,1,20,0,734
El Paso,2009,1,1,21,0,713
El Paso,2009,1,1,22,0,668
El Paso,2009,1,1,23,0,618
El Paso,2009,1,2,0,0,569
El Paso,2009,1,2,1,0,542
El Paso,2009,1,2,2,0,525
El Paso,2009,1,2,3,0,516
El Paso,2009,1,2,4,0,514
El Paso,2009,1,2,5,0,528
El Paso,2009,1,2,6,0,549
El Paso,2009,1,2,7,0,560
El Paso,2009,1,2,8,0,588
El Paso,2009,1,2,9,0,623
El Paso,2009,1,2,10,0,641
El Paso,2009,1,2,11,0,661
El Paso,2009,1,2,12,0,676
El Paso,2009,1,2,13,0,677
El Paso,2009,1,2,14,0,676
El Paso,2009,1,2,15,0,672
El Paso,2009,1,2,16,0,683
El Paso,2009,1,2,17,0,764
El Paso,2009,1,2,18,0,813
El Paso,2009,1,2,19,0,809
El Paso,2009,1,2,20,0,791
El Paso,2009,1,2,21,0,758
El Paso,2009,1,2,22,0,702
El Paso,2009,1,2,23,0,639
El Paso,2009,1,3,0,0,594
El Paso,2009,1,3,1,0,570
El Paso,2009,1,3,2,0,558
El Paso,2009,1,3,3,0,557
El Paso,2009,1,3,4,0,567
El Paso,2009,1,3,5,0,608
El Paso,2009,1,3,6,0,685
El Paso,2009,1,3,7,0,729
El Paso,2009,1,3,8,0,764
El Paso,2009,1,3,9,0,789
El Paso,2009,1,3,10,0,804
El Paso,2009,1,3,11,0,807
El Paso,2009,1,3,12,0,802
El Paso,2009,1,3,13,0,803
El Paso,2009,1,3,14,0,802
El Paso,2009,1,3,15,0,796
El Paso,2009,1,3,16,0,813
El Paso,2009,1,3,17,0,888
El Paso,2009,1,3,18,0,916
El Paso,2009,1,3,19,0,916
El Paso,2009,1,3,20,0,896
El Paso,2009,1,3,21,0,848
El Paso,2009,1,3,22,0,767
El Paso,2009,1,3,23,0,690
El Paso,2009,1,4,0,0,633
El Paso,2009,1,4,1,0,606
El Paso,2009,1,4,2,0,598
El Paso,2009,1,4,3,0,598
El Paso,2009,1,4,4,0,607
El Paso,2009,1,4,5,0,648
El Paso,2009,1,4,6,0,725
El Paso,2009,1,4,7,0,759
El Paso,2009,1,4,8,0,780
El Paso,2009,1,4,9,0,798
El Paso,2009,1,4,10,0,819
El Paso,2009,1,4,11,0,820
El Paso,2009,1,4,12,0,815
El Paso,2009,1,4,13,0,821
El Paso,2009,1,4,14,0,814
El Paso,2009,1,4,15,0,803
El Paso,2009,1,4,16,0,801
El Paso,2009,1,4,17,0,874
El Paso,2009,1,4,18,0,916
El Paso,2009,1,4,19,0,914
El Paso,2009,1,4,20,0,893
El Paso,2009,1,4,21,0,851
