city,YR,M,D,HR,MIN,MW
Ennis,2009,1,1,0,0,7612
Ennis,2009,1,1,1,0,7269
Ennis,2009,1,1,2,0,6927
Ennis,2009,1,1,3,0,6667
Ennis,2009,1,1,4,0,6575
Ennis,2009,1,1,5,0,6610
Ennis,2009,1,1,6,0,6772
Ennis,2009,1,1,7,0,6973
Ennis,2009,1,1,8,0,7224
Ennis,2009,1,1,9,0,7733
Ennis,2009,1,1,10,0,8220
Ennis,2009,1,1,11,0,8513
Ennis,2009,1,1,12,0,8621
Ennis,2009,1,1,13,0,8543
Ennis,2009,1,1,14,0,8438
Ennis,2009,1,1,15,0,8349
Ennis,2009,1,1,16,0,8355
Ennis,2009,1,1,17,0,8816
Ennis,2009,1,1,18,0,9434
Ennis,2009,1,1,19,0,9324
Ennis,2009,1,1,20,0,9192
Ennis,2009,1,1,21,0,8828
Ennis,2009,1,1,22,0,8468
Ennis,2009,1,1,23,0,7849
Ennis,2009,1,2,0,0,7276
Ennis,2009,1,2,1,0,6922
Ennis,2009,1,2,2,0,6683
Ennis,2009,1,2,3,0,6565
Ennis,2009,1,2,4,0,6552
Ennis,2009,1,2,5,0,6621
Ennis,2009,1,2,6,0,6876
Ennis,2009,1,2,7,0,7245
Ennis,2009,1,2,8,0,7666
Ennis,2009,1,2,9,0,8109
Ennis,2009,1,2,10,0,8519
Ennis,2009,1,2,11,0,8776
Ennis,2009,1,2,12,0,8960
Ennis,2009,1,2,13,0,8908
Ennis,2009,1,2,14,0,8747
Ennis,2009,1,2,15,0,8777
Ennis,2009,1,2,16,0,8877
Ennis,2009,1,2,17,0,9556
Ennis,2009,1,2,18,0,10073
Ennis,2009,1,2,19,0,9899
Ennis,2009,1,2,20,0,9701
Ennis,2009,1,2,21,0,9320
Ennis,2009,1,2,22,0,8723
Ennis,2009,1,2,23,0,7984
Ennis,2009,1,3,0,0,7366
Ennis,2009,1,3,1,0,7023
Ennis,2009,1,3,2,0,6817
Ennis,2009,1,3,3,0,6785
Ennis,2009,1,3,4,0,6948
Ennis,2009,1,3,5,0,7516
Ennis,2009,1,3,6,0,8510
Ennis,2009,1,3,7,0,9262
Ennis,2009,1,3,8,0,9518
Ennis,2009,1,3,9,0,9898
Ennis,2009,1,3,10,0,10187
Ennis,2009,1,3,11,0,10413
Ennis,2009,1,3,12,0,10515
Ennis,2009,1,3,13,0,10524
Ennis,2009,1,3,14,0,10538
Ennis,2009,1,3,15,0,10487
Ennis,2009,1,3,16,0,10438
Ennis,2009,1,3,17,0,10930
Ennis,2009,1,3,18,0,11281
Ennis,2009,1,3,19,0,11094
Ennis,2009,1,3,20,0,10760
Ennis,2009,1,3,21,0,10186
Ennis,2009,1,3,22,0,9309
Ennis,2009,1,3,23,0,8368
Ennis,2009,1,4,0,0,7556
Ennis,2009,1,4,1,0,7269
Ennis,2009,1,4,2,0,7105
Ennis,2009,1,4,3,0,7017
Ennis,2009,1,4,4,0,7119
Ennis,2009,1,4,5,0,7740
Ennis,2009,1,4,6,0,9021
Ennis,2009,1,4,7,0,9791
Ennis,2009,1,4,8,0,9738
Ennis,2009,1,4,9,0,9928
Ennis,2009,1,4,10,0,10387
Ennis,2009,1,4,11,0,10313
Ennis,2009,1,4,12,0,10327
Ennis,2009,1,4,13,0,10324
Ennis,2009,1,4,14,0,10299
Ennis,2009,1,4,15,0,10219
Ennis,2009,1,4,16,0,10293
Ennis,2009,1,4,17,0,10677
Ennis,2009,1,4,18,0,11259
Ennis,2009,1,4,19,0,11099
Ennis,2009,1,4,20,0,10834
Ennis,2009,1,4,21,0,10257
Ennis,2009,1,4,22,0,9407
Ennis,2009,1,4,23,0,8415
Ennis,2009,1,5,0,0,7723
Ennis,2009,1,5,1,0,7379
Ennis,2009,1,5,2,0,7193
Ennis,2009,1,5,3,0,7110
Ennis,2009,1,5,4,0,7168
Ennis,2009,1,5,5,0,7797
Ennis,2009,1,5,6,0,9138
Ennis,2009,1,5,7,0,10102
Ennis,2009,1,5,8,0,10221
Ennis,2009,1,5,9,0,10512
Ennis,2009,1,5,10,0,10964
Ennis,2009,1,5,11,0,11397
Ennis,2009,1,5,12,0,11768
Ennis,2009,1,5,13,0,12101
Ennis,2009,1,5,14,0,12363
Ennis,2009,1,5,15,0,12867
Ennis,2009,1,5,16,0,13579
Ennis,2009,1,5,17,0,14799
Ennis,2009,1,5,18,0,15666
Ennis,2009,1,5,19,0,15647
Ennis,2009,1,5,20,0,15560
Ennis,2009,1,5,21,0,15010
Ennis,2009,1,5,22,0,14168
Ennis,2009,1,5,23,0,13300
Ennis,2009,1,6,0,0,12841
Ennis,2009,1,6,1,0,12701
Ennis,2009,1,6,2,0,12729
Ennis,2009,1,6,3,0,12943
Ennis,2009,1,6,4,0,13299
Ennis,2009,1,6,5,0,14304
Ennis,2009,1,6,6,0,15845
Ennis,2009,1,6,7,0,16501
Ennis,2009,1,6,8,0,16147
Ennis,2009,1,6,9,0,15837
Ennis,2009,1,6,10,0,15407
Ennis,2009,1,6,11,0,14827
Ennis,2009,1,6,12,0,14270
Ennis,2009,1,6,13,0,13756
Ennis,2009,1,6,14,0,13210
Ennis,2009,1,6,15,0,12889
Ennis,2009,1,6,16,0,13153
Ennis,2009,1,6,17,0,14237
Ennis,2009,1,6,18,0,15216
Ennis,2009,1,6,19,0,15169
Ennis,2009,1,6,20,0,14882
Ennis,2009,1,6,21,0,14349
Ennis,2009,1,6,22,0,13370
Ennis,2009,1,6,23,0,12400
Ennis,2009,1,7,0,0,11759
Ennis,2009,1,7,1,0,11458
Ennis,2009,1,7,2,0,11362
Ennis,2009,1,7,3,0,11386
Ennis,2009,1,7,4,0,11627
Ennis,2009,1,7,5,0,12478
Ennis,2009,1,7,6,0,13863
Ennis,2009,1,7,7,0,14373
Ennis,2009,1,7,8,0,13994
Ennis,2009,1,7,9,0,13732
Ennis,2009,1,7,10,0,13506
Ennis,2009,1,7,11,0,12969
Ennis,2009,1,7,12,0,12416
Ennis,2009,1,7,13,0,11821
Ennis,2009,1,7,14,0,11146
Ennis,2009,1,7,15,0,10646
Ennis,2009,1,7,16,0,10487
Ennis,2009,1,7,17,0,11004
Ennis,2009,1,7,18,0,11973
Ennis,2009,1,7,19,0,11929
Ennis,2009,1,7,20,0,11914
Ennis,2009,1,7,21,0,11789
Ennis,2009,1,7,22,0,11431
Ennis,2009,1,7,23,0,10892
Ennis,2009,1,8,0,0,10516
Ennis,2009,1,8,1,0,10305
Ennis,2009,1,8,2,0,10252
Ennis,2009,1,8,3,0,10268
Ennis,2009,1,8,4,0,10467
Ennis,2009,1,8,5,0,10901
Ennis,2009,1,8,6,0,11522
Ennis,2009,1,8,7,0,12154
Ennis,2009,1,8,8,0,12537
Ennis,2009,1,8,9,0,12652
Ennis,2009,1,8,10,0,12486
Ennis,2009,1,8,11,0,11901
Ennis,2009,1,8,12,0,11101
Ennis,2009,1,8,13,0,10358
Ennis,2009,1,8,14,0,9723
Ennis,2009,1,8,15,0,9452
Ennis,2009,1,8,16,0,9462
