city,YR,M,D,HR,MIN,MW
Greenville,2009,1,1,0,0,137.42
Greenville,2009,1,1,1,0,135.857
Greenville,2009,1,1,2,0,131.859
Greenville,2009,1,1,3,0,129.309
Greenville,2009,1,1,4,0,128.877
Greenville,2009,1,1,5,0,130.637
Greenville,2009,1,1,6,0,134.814
Greenville,2009,1,1,7,0,134.932
Greenville,2009,1,1,8,0,139.904
Greenville,2009,1,1,9,0,144.971
Greenville,2009,1,1,10,0,148.147
Greenville,2009,1,1,11,0,145.206
Greenville,2009,1,1,12,0,141.175
Greenville,2009,1,1,13,0,138.273
Greenville,2009,1,1,14,0,135.477
Greenville,2009,1,1,15,0,132.924
Greenville,2009,1,1,16,0,133.952
Greenville,2009,1,1,17,0,149.663
Greenville,2009,1,1,18,0,155.21
Greenville,2009,1,1,19,0,152.133
Greenville,2009,1,1,20,0,149.026
Greenville,2009,1,1,21,0,145.331
Greenville,2009,1,1,22,0,139.263
Greenville,2009,1,1,23,0,131.161
Greenville,2009,1,2,0,0,123.413
Greenville,2009,1,2,1,0,119.111
Greenville,2009,1,2,2,0,117.295
Greenville,2009,1,2,3,0,117.946
Greenville,2009,1,2,4,0,119.644
Greenville,2009,1,2,5,0,122.564
Greenville,2009,1,2,6,0,128.021
Greenville,2009,1,2,7,0,132.797
Greenville,2009,1,2,8,0,140.942
Greenville,2009,1,2,9,0,144.282
Greenville,2009,1,2,10,0,140.397
Greenville,2009,1,2,11,0,134.845
Greenville,2009,1,2,12,0,133.999
Greenville,2009,1,2,13,0,133.495
Greenville,2009,1,2,14,0,131.725
Greenville,2009,1,2,15,0,129.6
Greenville,2009,1,2,16,0,131.487
Greenville,2009,1,2,17,0,151.482
Greenville,2009,1,2,18,0,158.216
Greenville,2009,1,2,19,0,157.026
Greenville,2009,1,2,20,0,152.94
Greenville,2009,1,2,21,0,148.357
Greenville,2009,1,2,22,0,141.391
Greenville,2009,1,2,23,0,132.614
Greenville,2009,1,3,0,0,124.922
Greenville,2009,1,3,1,0,121.015
Greenville,2009,1,3,2,0,120.095
Greenville,2009,1,3,3,0,120.95
Greenville,2009,1,3,4,0,124.566
Greenville,2009,1,3,5,0,136.076
Greenville,2009,1,3,6,0,155.41
Greenville,2009,1,3,7,0,167.922
Greenville,2009,1,3,8,0,167.389
Greenville,2009,1,3,9,0,166.234
Greenville,2009,1,3,10,0,163.97
Greenville,2009,1,3,11,0,163.087
Greenville,2009,1,3,12,0,162.535
Greenville,2009,1,3,13,0,161.583
Greenville,2009,1,3,14,0,158.718
Greenville,2009,1,3,15,0,156.195
Greenville,2009,1,3,16,0,155.968
Greenville,2009,1,3,17,0,171.313
Greenville,2009,1,3,18,0,180.97
Greenville,2009,1,3,19,0,179.076
Greenville,2009,1,3,20,0,174.181
Greenville,2009,1,3,21,0,165.092
Greenville,2009,1,3,22,0,152.798
Greenville,2009,1,3,23,0,138.896
Greenville,2009,1,4,0,0,127.568
Greenville,2009,1,4,1,0,121.071
Greenville,2009,1,4,2,0,117.959
Greenville,2009,1,4,3,0,116.783
Greenville,2009,1,4,4,0,119.727
Greenville,2009,1,4,5,0,129.197
