city,YR,M,D,HR,MIN,MW
Houston,2009,1,1,0,0,7365
Houston,2009,1,1,1,0,7134
Houston,2009,1,1,2,0,6903
Houston,2009,1,1,3,0,6742
Houston,2009,1,1,4,0,6651
Houston,2009,1,1,5,0,6655
Houston,2009,1,1,6,0,6729
Houston,2009,1,1,7,0,6721
Houston,2009,1,1,8,0,6828
Houston,2009,1,1,9,0,7144
Houston,2009,1,1,10,0,7503
Houston,2009,1,1,11,0,7769
Houston,2009,1,1,12,0,7950
Houston,2009,1,1,13,0,8046
Houston,2009,1,1,14,0,8022
Houston,2009,1,1,15,0,7999
Houston,2009,1,1,16,0,7981
Houston,2009,1,1,17,0,8281
Houston,2009,1,1,18,0,8568
Houston,2009,1,1,19,0,8517
Houston,2009,1,1,20,0,8490
Houston,2009,1,1,21,0,8301
Houston,2009,1,1,22,0,8038
Houston,2009,1,1,23,0,7664
Houston,2009,1,2,0,0,7283
Houston,2009,1,2,1,0,7023
Houston,2009,1,2,2,0,6840
Houston,2009,1,2,3,0,6744
Houston,2009,1,2,4,0,6706
Houston,2009,1,2,5,0,6748
Houston,2009,1,2,6,0,6877
Houston,2009,1,2,7,0,6919
Houston,2009,1,2,8,0,7127
Houston,2009,1,2,9,0,7476
Houston,2009,1,2,10,0,7752
Houston,2009,1,2,11,0,7935
Houston,2009,1,2,12,0,7963
Houston,2009,1,2,13,0,7966
Houston,2009,1,2,14,0,7987
Houston,2009,1,2,15,0,8047
Houston,2009,1,2,16,0,8114
Houston,2009,1,2,17,0,8492
Houston,2009,1,2,18,0,8902
Houston,2009,1,2,19,0,8836
Houston,2009,1,2,20,0,8658
Houston,2009,1,2,21,0,8408
Houston,2009,1,2,22,0,8065
Houston,2009,1,2,23,0,7687
Houston,2009,1,3,0,0,7256
Houston,2009,1,3,1,0,7019
Houston,2009,1,3,2,0,6898
Houston,2009,1,3,3,0,6863
Houston,2009,1,3,4,0,6965
Houston,2009,1,3,5,0,7401
Houston,2009,1,3,6,0,7963
Houston,2009,1,3,7,0,8316
Houston,2009,1,3,8,0,8495
Houston,2009,1,3,9,0,8789
Houston,2009,1,3,10,0,9153
Houston,2009,1,3,11,0,9486
Houston,2009,1,3,12,0,9749
Houston,2009,1,3,13,0,9925
Houston,2009,1,3,14,0,9978
Houston,2009,1,3,15,0,9981
Houston,2009,1,3,16,0,9859
Houston,2009,1,3,17,0,9905
Houston,2009,1,3,18,0,10171
Houston,2009,1,3,19,0,9996
Houston,2009,1,3,20,0,9713
Houston,2009,1,3,21,0,9274
Houston,2009,1,3,22,0,8670
Houston,2009,1,3,23,0,8056
Houston,2009,1,4,0,0,7590
Houston,2009,1,4,1,0,7318
Houston,2009,1,4,2,0,7165
Houston,2009,1,4,3,0,7113
Houston,2009,1,4,4,0,7213
Houston,2009,1,4,5,0,7678
Houston,2009,1,4,6,0,8456
Houston,2009,1,4,7,0,8778
Houston,2009,1,4,8,0,8750
Houston,2009,1,4,9,0,9015
Houston,2009,1,4,10,0,9233
Houston,2009,1,4,11,0,9426
Houston,2009,1,4,12,0,9480
Houston,2009,1,4,13,0,9579
Houston,2009,1,4,14,0,9591
Houston,2009,1,4,15,0,9606
Houston,2009,1,4,16,0,9579
Houston,2009,1,4,17,0,9781
Houston,2009,1,4,18,0,10038
Houston,2009,1,4,19,0,9882
Houston,2009,1,4,20,0,9645
Houston,2009,1,4,21,0,9221
Houston,2009,1,4,22,0,8673
Houston,2009,1,4,23,0,8014
Houston,2009,1,5,0,0,7583
Houston,2009,1,5,1,0,7360
Houston,2009,1,5,2,0,7219
Houston,2009,1,5,3,0,7153
Houston,2009,1,5,4,0,7250
Houston,2009,1,5,5,0,7723
Houston,2009,1,5,6,0,8560
Houston,2009,1,5,7,0,8803
Houston,2009,1,5,8,0,8862
Houston,2009,1,5,9,0,9146
Houston,2009,1,5,10,0,9394
Houston,2009,1,5,11,0,9498
Houston,2009,1,5,12,0,9605
Houston,2009,1,5,13,0,9686
Houston,2009,1,5,14,0,9700
Houston,2009,1,5,15,0,9670
Houston,2009,1,5,16,0,9672
Houston,2009,1,5,17,0,9909
Houston,2009,1,5,18,0,9825
Houston,2009,1,5,19,0,9400
Houston,2009,1,5,20,0,9064
Houston,2009,1,5,21,0,8612
Houston,2009,1,5,22,0,8031
Houston,2009,1,5,23,0,7457
Houston,2009,1,6,0,0,7140
Houston,2009,1,6,1,0,6965
Houston,2009,1,6,2,0,6940
Houston,2009,1,6,3,0,6982
Houston,2009,1,6,4,0,7243
Houston,2009,1,6,5,0,7907
Houston,2009,1,6,6,0,9032
Houston,2009,1,6,7,0,9572
Houston,2009,1,6,8,0,9624
Houston,2009,1,6,9,0,9742
Houston,2009,1,6,10,0,9827
Houston,2009,1,6,11,0,9857
Houston,2009,1,6,12,0,9715
Houston,2009,1,6,13,0,9619
Houston,2009,1,6,14,0,9494
Houston,2009,1,6,15,0,9541
Houston,2009,1,6,16,0,9786
Houston,2009,1,6,17,0,10299
Houston,2009,1,6,18,0,10601
Houston,2009,1,6,19,0,10574
Houston,2009,1,6,20,0,10352
Houston,2009,1,6,21,0,9908
Houston,2009,1,6,22,0,9257
Houston,2009,1,6,23,0,8634
Houston,2009,1,7,0,0,8256
Houston,2009,1,7,1,0,8055
Houston,2009,1,7,2,0,7925
Houston,2009,1,7,3,0,7922
Houston,2009,1,7,4,0,8130
Houston,2009,1,7,5,0,8717
Houston,2009,1,7,6,0,9577
Houston,2009,1,7,7,0,9846
Houston,2009,1,7,8,0,9694
Houston,2009,1,7,9,0,9747
Houston,2009,1,7,10,0,9755
Houston,2009,1,7,11,0,9770
Houston,2009,1,7,12,0,9584
Houston,2009,1,7,13,0,9457
Houston,2009,1,7,14,0,9356
Houston,2009,1,7,15,0,9357
Houston,2009,1,7,16,0,9390
Houston,2009,1,7,17,0,9675
Houston,2009,1,7,18,0,9838
Houston,2009,1,7,19,0,9614
Houston,2009,1,7,20,0,9358
Houston,2009,1,7,21,0,9053
Houston,2009,1,7,22,0,8656
Houston,2009,1,7,23,0,8212
Houston,2009,1,8,0,0,7912
Houston,2009,1,8,1,0,7749
Houston,2009,1,8,2,0,7653
Houston,2009,1,8,3,0,7649
Houston,2009,1,8,4,0,7731
Houston,2009,1,8,5,0,7952
Houston,2009,1,8,6,0,8310
Houston,2009,1,8,7,0,8589
Houston,2009,1,8,8,0,8783
Houston,2009,1,8,9,0,8765
Houston,2009,1,8,10,0,8631
Houston,2009,1,8,11,0,8480
Houston,2009,1,8,12,0,8233
Houston,2009,1,8,13,0,7920
Houston,2009,1,8,14,0,7748
Houston,2009,1,8,15,0,7674
Houston,2009,1,8,16,0,7654
Houston,2009,1,8,17,0,7914
Houston,2009,1,8,18,0,8595
Houston,2009,1,8,19,0,8619
Houston,2009,1,8,20,0,8540
Houston,2009,1,8,21,0,8326
Houston,2009,1,8,22,0,8070
Houston,2009,1,8,23,0,7734
Houston,2009,1,9,0,0,7447
Houston,2009,1,9,1,0,7300
Houston,2009,1,9,2,0,7233
Houston,2009,1,9,3,0,7161
Houston,2009,1,9,4,0,7087
Houston,2009,1,9,5,0,7148
Houston,2009,1,9,6,0,7288
Houston,2009,1,9,7,0,7345
Houston,2009,1,9,8,0,7521
Houston,2009,1,9,9,0,7649
Houston,2009,1,9,10,0,7669
Houston,2009,1,9,11,0,7690
Houston,2009,1,9,12,0,7763
Houston,2009,1,9,13,0,7843
Houston,2009,1,9,14,0,7881
Houston,2009,1,9,15,0,7903
Houston,2009,1,9,16,0,7947
Houston,2009,1,9,17,0,8325
Houston,2009,1,9,18,0,8818
Houston,2009,1,9,19,0,8748
Houston,2009,1,9,20,0,8612
Houston,2009,1,9,21,0,8367
