city,YR,M,D,HR,MIN,MW
Ishpeming,2009,1,1,0,0,84.066
Ishpeming,2009,1,1,1,0,81.978
Ishpeming,2009,1,1,2,0,80.507
Ishpeming,2009,1,1,3,0,77.522
Ishpeming,2009,1,1,4,0,79.078
Ishpeming,2009,1,1,5,0,84.143
Ishpeming,2009,1,1,6,0,87.642
Ishpeming,2009,1,1,7,0,94.146
Ishpeming,2009,1,1,8,0,95.291
Ishpeming,2009,1,1,9,0,99.265
Ishpeming,2009,1,1,10,0,107.41
Ishpeming,2009,1,1,11,0,104.467
Ishpeming,2009,1,1,12,0,99.478
Ishpeming,2009,1,1,13,0,103.482
Ishpeming,2009,1,1,14,0,101.24
Ishpeming,2009,1,1,15,0,98.996
Ishpeming,2009,1,1,16,0,112.674
Ishpeming,2009,1,1,17,0,114.279
Ishpeming,2009,1,1,18,0,112.487
Ishpeming,2009,1,1,19,0,112.132
Ishpeming,2009,1,1,20,0,106.412
Ishpeming,2009,1,1,21,0,97.96
Ishpeming,2009,1,1,22,0,91.235
Ishpeming,2009,1,1,23,0,82.827
Ishpeming,2009,1,2,0,0,86.576
Ishpeming,2009,1,2,1,0,81.378
Ishpeming,2009,1,2,2,0,79.399
Ishpeming,2009,1,2,3,0,85.116
Ishpeming,2009,1,2,4,0,82.457
Ishpeming,2009,1,2,5,0,82.853
Ishpeming,2009,1,2,6,0,88.115
Ishpeming,2009,1,2,7,0,87.368
Ishpeming,2009,1,2,8,0,96.058
Ishpeming,2009,1,2,9,0,96.122
Ishpeming,2009,1,2,10,0,99.175
Ishpeming,2009,1,2,11,0,101.594
Ishpeming,2009,1,2,12,0,98.376
Ishpeming,2009,1,2,13,0,98.107
Ishpeming,2009,1,2,14,0,98.031
Ishpeming,2009,1,2,15,0,98.941
Ishpeming,2009,1,2,16,0,112.889
Ishpeming,2009,1,2,17,0,120.525
Ishpeming,2009,1,2,18,0,122.856
Ishpeming,2009,1,2,19,0,116.086
Ishpeming,2009,1,2,20,0,111.422
Ishpeming,2009,1,2,21,0,100.659
Ishpeming,2009,1,2,22,0,94.675
Ishpeming,2009,1,2,23,0,87.245
Ishpeming,2009,1,3,0,0,83.817
Ishpeming,2009,1,3,1,0,78.13
Ishpeming,2009,1,3,2,0,79.836
Ishpeming,2009,1,3,3,0,84.447
Ishpeming,2009,1,3,4,0,89.835
Ishpeming,2009,1,3,5,0,99.88
Ishpeming,2009,1,3,6,0,116.223
Ishpeming,2009,1,3,7,0,116.695
Ishpeming,2009,1,3,8,0,119.641
Ishpeming,2009,1,3,9,0,118.493
Ishpeming,2009,1,3,10,0,118.017
Ishpeming,2009,1,3,11,0,116.93
Ishpeming,2009,1,3,12,0,117.235
Ishpeming,2009,1,3,13,0,113.984
Ishpeming,2009,1,3,14,0,114.858
Ishpeming,2009,1,3,15,0,114.232
Ishpeming,2009,1,3,16,0,119.264
Ishpeming,2009,1,3,17,0,129.952
Ishpeming,2009,1,3,18,0,127.793
Ishpeming,2009,1,3,19,0,122.887
Ishpeming,2009,1,3,20,0,118.827
Ishpeming,2009,1,3,21,0,106.405
Ishpeming,2009,1,3,22,0,98.276
Ishpeming,2009,1,3,23,0,90.132
Ishpeming,2009,1,4,0,0,89.126
Ishpeming,2009,1,4,1,0,83.373
Ishpeming,2009,1,4,2,0,83.675
Ishpeming,2009,1,4,3,0,85.642
Ishpeming,2009,1,4,4,0,89.971
Ishpeming,2009,1,4,5,0,106.723
Ishpeming,2009,1,4,6,0,116.181
Ishpeming,2009,1,4,7,0,118.094
Ishpeming,2009,1,4,8,0,119.889
Ishpeming,2009,1,4,9,0,119.14
Ishpeming,2009,1,4,10,0,118.128
Ishpeming,2009,1,4,11,0,117.624
Ishpeming,2009,1,4,12,0,116.434
Ishpeming,2009,1,4,13,0,115.095
Ishpeming,2009,1,4,14,0,114.605
Ishpeming,2009,1,4,15,0,120.828
Ishpeming,2009,1,4,16,0,125.164
Ishpeming,2009,1,4,17,0,128.548
Ishpeming,2009,1,4,18,0,128.352
Ishpeming,2009,1,4,19,0,122.043
Ishpeming,2009,1,4,20,0,117.963
Ishpeming,2009,1,4,21,0,106.825
Ishpeming,2009,1,4,22,0,100.674
Ishpeming,2009,1,4,23,0,92.745
Ishpeming,2009,1,5,0,0,87.623
Ishpeming,2009,1,5,1,0,86.355
Ishpeming,2009,1,5,2,0,88.465
Ishpeming,2009,1,5,3,0,88.362
Ishpeming,2009,1,5,4,0,93.918
Ishpeming,2009,1,5,5,0,107.376
Ishpeming,2009,1,5,6,0,121.782
Ishpeming,2009,1,5,7,0,123.188
Ishpeming,2009,1,5,8,0,125.492
Ishpeming,2009,1,5,9,0,119.456
Ishpeming,2009,1,5,10,0,124.187
Ishpeming,2009,1,5,11,0,121.076
Ishpeming,2009,1,5,12,0,116.892
Ishpeming,2009,1,5,13,0,116.3
Ishpeming,2009,1,5,14,0,117.034
Ishpeming,2009,1,5,15,0,118.571
Ishpeming,2009,1,5,16,0,125.041
Ishpeming,2009,1,5,17,0,129.159
