city,YR,M,D,HR,MIN,MW
Kingsbury,2009,1,1,0,0,3843
Kingsbury,2009,1,1,1,0,3676
Kingsbury,2009,1,1,2,0,3497
Kingsbury,2009,1,1,3,0,3367
Kingsbury,2009,1,1,4,0,3312
Kingsbury,2009,1,1,5,0,3308
Kingsbury,2009,1,1,6,0,3393
Kingsbury,2009,1,1,7,0,3462
Kingsbury,2009,1,1,8,0,3565
Kingsbury,2009,1,1,9,0,3816
Kingsbury,2009,1,1,10,0,4045
Kingsbury,2009,1,1,11,0,4225
Kingsbury,2009,1,1,12,0,4298
Kingsbury,2009,1,1,13,0,4305
Kingsbury,2009,1,1,14,0,4261
Kingsbury,2009,1,1,15,0,4225
Kingsbury,2009,1,1,16,0,4216
Kingsbury,2009,1,1,17,0,4341
Kingsbury,2009,1,1,18,0,4717
Kingsbury,2009,1,1,19,0,4680
Kingsbury,2009,1,1,20,0,4615
Kingsbury,2009,1,1,21,0,4474
Kingsbury,2009,1,1,22,0,4255
Kingsbury,2009,1,1,23,0,3959
Kingsbury,2009,1,2,0,0,3701
Kingsbury,2009,1,2,1,0,3496
Kingsbury,2009,1,2,2,0,3381
Kingsbury,2009,1,2,3,0,3303
Kingsbury,2009,1,2,4,0,3283
Kingsbury,2009,1,2,5,0,3311
Kingsbury,2009,1,2,6,0,3421
Kingsbury,2009,1,2,7,0,3557
Kingsbury,2009,1,2,8,0,3744
Kingsbury,2009,1,2,9,0,3988
Kingsbury,2009,1,2,10,0,4207
Kingsbury,2009,1,2,11,0,4326
Kingsbury,2009,1,2,12,0,4418
Kingsbury,2009,1,2,13,0,4436
Kingsbury,2009,1,2,14,0,4421
Kingsbury,2009,1,2,15,0,4404
Kingsbury,2009,1,2,16,0,4458
Kingsbury,2009,1,2,17,0,4691
Kingsbury,2009,1,2,18,0,5075
Kingsbury,2009,1,2,19,0,5039
Kingsbury,2009,1,2,20,0,4944
Kingsbury,2009,1,2,21,0,4774
Kingsbury,2009,1,2,22,0,4490
Kingsbury,2009,1,2,23,0,4095
Kingsbury,2009,1,3,0,0,3820
Kingsbury,2009,1,3,1,0,3652
Kingsbury,2009,1,3,2,0,3543
Kingsbury,2009,1,3,3,0,3484
Kingsbury,2009,1,3,4,0,3520
Kingsbury,2009,1,3,5,0,3770
Kingsbury,2009,1,3,6,0,4245
Kingsbury,2009,1,3,7,0,4525
Kingsbury,2009,1,3,8,0,4629
Kingsbury,2009,1,3,9,0,4815
Kingsbury,2009,1,3,10,0,4981
Kingsbury,2009,1,3,11,0,5086
Kingsbury,2009,1,3,12,0,5142
Kingsbury,2009,1,3,13,0,5164
Kingsbury,2009,1,3,14,0,5176
Kingsbury,2009,1,3,15,0,5169
Kingsbury,2009,1,3,16,0,5138
Kingsbury,2009,1,3,17,0,5265
Kingsbury,2009,1,3,18,0,5572
Kingsbury,2009,1,3,19,0,5549
Kingsbury,2009,1,3,20,0,5356
Kingsbury,2009,1,3,21,0,5064
Kingsbury,2009,1,3,22,0,4656
Kingsbury,2009,1,3,23,0,4166
Kingsbury,2009,1,4,0,0,3868
Kingsbury,2009,1,4,1,0,3669
Kingsbury,2009,1,4,2,0,3545
Kingsbury,2009,1,4,3,0,3485
Kingsbury,2009,1,4,4,0,3493
Kingsbury,2009,1,4,5,0,3773
Kingsbury,2009,1,4,6,0,4410
Kingsbury,2009,1,4,7,0,4732
Kingsbury,2009,1,4,8,0,4774
Kingsbury,2009,1,4,9,0,4807
Kingsbury,2009,1,4,10,0,4904
Kingsbury,2009,1,4,11,0,5009
Kingsbury,2009,1,4,12,0,5076
Kingsbury,2009,1,4,13,0,5124
Kingsbury,2009,1,4,14,0,5151
Kingsbury,2009,1,4,15,0,5125
Kingsbury,2009,1,4,16,0,5126
Kingsbury,2009,1,4,17,0,5210
Kingsbury,2009,1,4,18,0,5614
Kingsbury,2009,1,4,19,0,5541
Kingsbury,2009,1,4,20,0,5367
Kingsbury,2009,1,4,21,0,5100
Kingsbury,2009,1,4,22,0,4660
Kingsbury,2009,1,4,23,0,4175
Kingsbury,2009,1,5,0,0,3900
Kingsbury,2009,1,5,1,0,3703
Kingsbury,2009,1,5,2,0,3576
Kingsbury,2009,1,5,3,0,3538
Kingsbury,2009,1,5,4,0,3582
Kingsbury,2009,1,5,5,0,3858
Kingsbury,2009,1,5,6,0,4491
Kingsbury,2009,1,5,7,0,4814
Kingsbury,2009,1,5,8,0,4765
Kingsbury,2009,1,5,9,0,4829
Kingsbury,2009,1,5,10,0,4911
Kingsbury,2009,1,5,11,0,4956
Kingsbury,2009,1,5,12,0,4953
Kingsbury,2009,1,5,13,0,4879
Kingsbury,2009,1,5,14,0,4870
Kingsbury,2009,1,5,15,0,4798
Kingsbury,2009,1,5,16,0,4822
Kingsbury,2009,1,5,17,0,5095
Kingsbury,2009,1,5,18,0,5491
Kingsbury,2009,1,5,19,0,5505
Kingsbury,2009,1,5,20,0,5475
Kingsbury,2009,1,5,21,0,5327
Kingsbury,2009,1,5,22,0,4989
Kingsbury,2009,1,5,23,0,4585
Kingsbury,2009,1,6,0,0,4374
Kingsbury,2009,1,6,1,0,4292
Kingsbury,2009,1,6,2,0,4306
Kingsbury,2009,1,6,3,0,4374
Kingsbury,2009,1,6,4,0,4541
Kingsbury,2009,1,6,5,0,5064
Kingsbury,2009,1,6,6,0,5919
Kingsbury,2009,1,6,7,0,6268
Kingsbury,2009,1,6,8,0,6185
Kingsbury,2009,1,6,9,0,6204
Kingsbury,2009,1,6,10,0,6201
Kingsbury,2009,1,6,11,0,6175
Kingsbury,2009,1,6,12,0,6114
Kingsbury,2009,1,6,13,0,6057
Kingsbury,2009,1,6,14,0,6038
Kingsbury,2009,1,6,15,0,6050
Kingsbury,2009,1,6,16,0,6248
Kingsbury,2009,1,6,17,0,6567
Kingsbury,2009,1,6,18,0,6870
Kingsbury,2009,1,6,19,0,6830
Kingsbury,2009,1,6,20,0,6673
Kingsbury,2009,1,6,21,0,6381
Kingsbury,2009,1,6,22,0,5918
Kingsbury,2009,1,6,23,0,5472
Kingsbury,2009,1,7,0,0,5200
Kingsbury,2009,1,7,1,0,5062
Kingsbury,2009,1,7,2,0,5006
Kingsbury,2009,1,7,3,0,4995
Kingsbury,2009,1,7,4,0,5102
Kingsbury,2009,1,7,5,0,5484
Kingsbury,2009,1,7,6,0,6149
Kingsbury,2009,1,7,7,0,6358
Kingsbury,2009,1,7,8,0,6152
Kingsbury,2009,1,7,9,0,6077
Kingsbury,2009,1,7,10,0,5949
Kingsbury,2009,1,7,11,0,5681
Kingsbury,2009,1,7,12,0,5342
Kingsbury,2009,1,7,13,0,5058
