city,YR,M,D,HR,MIN,MW
Las Vegas,2009,1,1,0,0,2154
Las Vegas,2009,1,1,1,0,2101
Las Vegas,2009,1,1,2,0,2059
Las Vegas,2009,1,1,3,0,2034
Las Vegas,2009,1,1,4,0,2027
Las Vegas,2009,1,1,5,0,2037
Las Vegas,2009,1,1,6,0,2045
Las Vegas,2009,1,1,7,0,1941
Las Vegas,2009,1,1,8,0,1943
Las Vegas,2009,1,1,9,0,1962
Las Vegas,2009,1,1,10,0,1994
Las Vegas,2009,1,1,11,0,1992
Las Vegas,2009,1,1,12,0,1969
Las Vegas,2009,1,1,13,0,1942
Las Vegas,2009,1,1,14,0,1923
Las Vegas,2009,1,1,15,0,1940
Las Vegas,2009,1,1,16,0,2112
Las Vegas,2009,1,1,17,0,2398
Las Vegas,2009,1,1,18,0,2434
Las Vegas,2009,1,1,19,0,2414
Las Vegas,2009,1,1,20,0,2381
Las Vegas,2009,1,1,21,0,2323
Las Vegas,2009,1,1,22,0,2228
Las Vegas,2009,1,1,23,0,2145
Las Vegas,2009,1,2,0,0,2076
Las Vegas,2009,1,2,1,0,2018
Las Vegas,2009,1,2,2,0,1981
Las Vegas,2009,1,2,3,0,1966
Las Vegas,2009,1,2,4,0,1990
Las Vegas,2009,1,2,5,0,2035
Las Vegas,2009,1,2,6,0,2080
Las Vegas,2009,1,2,7,0,2019
Las Vegas,2009,1,2,8,0,2046
Las Vegas,2009,1,2,9,0,2068
Las Vegas,2009,1,2,10,0,2071
Las Vegas,2009,1,2,11,0,2055
Las Vegas,2009,1,2,12,0,2043
Las Vegas,2009,1,2,13,0,2032
Las Vegas,2009,1,2,14,0,2022
Las Vegas,2009,1,2,15,0,2043
Las Vegas,2009,1,2,16,0,2247
Las Vegas,2009,1,2,17,0,2473
Las Vegas,2009,1,2,18,0,2493
Las Vegas,2009,1,2,19,0,2469
Las Vegas,2009,1,2,20,0,2418
Las Vegas,2009,1,2,21,0,2338
Las Vegas,2009,1,2,22,0,2214
Las Vegas,2009,1,2,23,0,2096
Las Vegas,2009,1,3,0,0,2002
Las Vegas,2009,1,3,1,0,1951
Las Vegas,2009,1,3,2,0,1925
Las Vegas,2009,1,3,3,0,1934
Las Vegas,2009,1,3,4,0,1985
Las Vegas,2009,1,3,5,0,2111
Las Vegas,2009,1,3,6,0,2250
Las Vegas,2009,1,3,7,0,2277
Las Vegas,2009,1,3,8,0,2295
Las Vegas,2009,1,3,9,0,2337
Las Vegas,2009,1,3,10,0,2370
Las Vegas,2009,1,3,11,0,2367
Las Vegas,2009,1,3,12,0,2368
Las Vegas,2009,1,3,13,0,2369
Las Vegas,2009,1,3,14,0,2365
Las Vegas,2009,1,3,15,0,2406
Las Vegas,2009,1,3,16,0,2548
Las Vegas,2009,1,3,17,0,2693
Las Vegas,2009,1,3,18,0,2680
Las Vegas,2009,1,3,19,0,2637
Las Vegas,2009,1,3,20,0,2561
Las Vegas,2009,1,3,21,0,2439
Las Vegas,2009,1,3,22,0,2275
Las Vegas,2009,1,3,23,0,2138
Las Vegas,2009,1,4,0,0,2055
Las Vegas,2009,1,4,1,0,1999
Las Vegas,2009,1,4,2,0,1963
Las Vegas,2009,1,4,3,0,1960
Las Vegas,2009,1,4,4,0,2004
Las Vegas,2009,1,4,5,0,2132
Las Vegas,2009,1,4,6,0,2278
Las Vegas,2009,1,4,7,0,2247
Las Vegas,2009,1,4,8,0,2241
Las Vegas,2009,1,4,9,0,2283
Las Vegas,2009,1,4,10,0,2288
Las Vegas,2009,1,4,11,0,2258
Las Vegas,2009,1,4,12,0,2225
Las Vegas,2009,1,4,13,0,2183
Las Vegas,2009,1,4,14,0,2156
Las Vegas,2009,1,4,15,0,2173
Las Vegas,2009,1,4,16,0,2364
Las Vegas,2009,1,4,17,0,2632
Las Vegas,2009,1,4,18,0,2667
Las Vegas,2009,1,4,19,0,2665
Las Vegas,2009,1,4,20,0,2617
Las Vegas,2009,1,4,21,0,2505
Las Vegas,2009,1,4,22,0,2356
Las Vegas,2009,1,4,23,0,2233
Las Vegas,2009,1,5,0,0,2138
Las Vegas,2009,1,5,1,0,2092
Las Vegas,2009,1,5,2,0,2073
Las Vegas,2009,1,5,3,0,2092
Las Vegas,2009,1,5,4,0,2158
Las Vegas,2009,1,5,5,0,2299
Las Vegas,2009,1,5,6,0,2452
Las Vegas,2009,1,5,7,0,2402
Las Vegas,2009,1,5,8,0,2357
Las Vegas,2009,1,5,9,0,2319
Las Vegas,2009,1,5,10,0,2294
Las Vegas,2009,1,5,11,0,2252
