city,YR,M,D,HR,MIN,MW
Lincoln,2009,1,1,0,0,319
Lincoln,2009,1,1,1,0,307
Lincoln,2009,1,1,2,0,300
Lincoln,2009,1,1,3,0,295
Lincoln,2009,1,1,4,0,294
Lincoln,2009,1,1,5,0,302
Lincoln,2009,1,1,6,0,310
Lincoln,2009,1,1,7,0,318
Lincoln,2009,1,1,8,0,324
Lincoln,2009,1,1,9,0,339
Lincoln,2009,1,1,10,0,354
Lincoln,2009,1,1,11,0,363
Lincoln,2009,1,1,12,0,364
Lincoln,2009,1,1,13,0,357
Lincoln,2009,1,1,14,0,353
Lincoln,2009,1,1,15,0,345
Lincoln,2009,1,1,16,0,350
Lincoln,2009,1,1,17,0,381
Lincoln,2009,1,1,18,0,386
Lincoln,2009,1,1,19,0,380
Lincoln,2009,1,1,20,0,377
Lincoln,2009,1,1,21,0,369
Lincoln,2009,1,1,22,0,349
Lincoln,2009,1,1,23,0,330
Lincoln,2009,1,2,0,0,312
Lincoln,2009,1,2,1,0,306
Lincoln,2009,1,2,2,0,302
Lincoln,2009,1,2,3,0,302
Lincoln,2009,1,2,4,0,304
Lincoln,2009,1,2,5,0,316
Lincoln,2009,1,2,6,0,329
Lincoln,2009,1,2,7,0,340
Lincoln,2009,1,2,8,0,350
Lincoln,2009,1,2,9,0,359
Lincoln,2009,1,2,10,0,361
Lincoln,2009,1,2,11,0,364
Lincoln,2009,1,2,12,0,369
Lincoln,2009,1,2,13,0,372
Lincoln,2009,1,2,14,0,370
Lincoln,2009,1,2,15,0,377
Lincoln,2009,1,2,16,0,395
Lincoln,2009,1,2,17,0,426
Lincoln,2009,1,2,18,0,433
Lincoln,2009,1,2,19,0,425
Lincoln,2009,1,2,20,0,417
Lincoln,2009,1,2,21,0,401
Lincoln,2009,1,2,22,0,372
Lincoln,2009,1,2,23,0,346
Lincoln,2009,1,3,0,0,328
Lincoln,2009,1,3,1,0,320
Lincoln,2009,1,3,2,0,316
Lincoln,2009,1,3,3,0,318
Lincoln,2009,1,3,4,0,327
Lincoln,2009,1,3,5,0,347
Lincoln,2009,1,3,6,0,397
Lincoln,2009,1,3,7,0,437
Lincoln,2009,1,3,8,0,450
Lincoln,2009,1,3,9,0,460
Lincoln,2009,1,3,10,0,467
Lincoln,2009,1,3,11,0,471
Lincoln,2009,1,3,12,0,472
Lincoln,2009,1,3,13,0,478
Lincoln,2009,1,3,14,0,469
Lincoln,2009,1,3,15,0,467
Lincoln,2009,1,3,16,0,476
Lincoln,2009,1,3,17,0,497
Lincoln,2009,1,3,18,0,501
Lincoln,2009,1,3,19,0,489
Lincoln,2009,1,3,20,0,477
Lincoln,2009,1,3,21,0,451
Lincoln,2009,1,3,22,0,414
Lincoln,2009,1,3,23,0,381
Lincoln,2009,1,4,0,0,358
Lincoln,2009,1,4,1,0,349
Lincoln,2009,1,4,2,0,343
Lincoln,2009,1,4,3,0,344
Lincoln,2009,1,4,4,0,354
Lincoln,2009,1,4,5,0,374
Lincoln,2009,1,4,6,0,421
Lincoln,2009,1,4,7,0,460
Lincoln,2009,1,4,8,0,467
Lincoln,2009,1,4,9,0,470
Lincoln,2009,1,4,10,0,481
Lincoln,2009,1,4,11,0,481
Lincoln,2009,1,4,12,0,483
Lincoln,2009,1,4,13,0,487
Lincoln,2009,1,4,14,0,482
Lincoln,2009,1,4,15,0,480
Lincoln,2009,1,4,16,0,491
Lincoln,2009,1,4,17,0,515
Lincoln,2009,1,4,18,0,520
Lincoln,2009,1,4,19,0,507
Lincoln,2009,1,4,20,0,494
Lincoln,2009,1,4,21,0,478
Lincoln,2009,1,4,22,0,441
Lincoln,2009,1,4,23,0,412
Lincoln,2009,1,5,0,0,389
Lincoln,2009,1,5,1,0,381
Lincoln,2009,1,5,2,0,377
Lincoln,2009,1,5,3,0,375
Lincoln,2009,1,5,4,0,386
Lincoln,2009,1,5,5,0,405
Lincoln,2009,1,5,6,0,440
Lincoln,2009,1,5,7,0,471
Lincoln,2009,1,5,8,0,479
Lincoln,2009,1,5,9,0,488
Lincoln,2009,1,5,10,0,501
Lincoln,2009,1,5,11,0,506
Lincoln,2009,1,5,12,0,508
Lincoln,2009,1,5,13,0,506
Lincoln,2009,1,5,14,0,505
Lincoln,2009,1,5,15,0,505
Lincoln,2009,1,5,16,0,509
Lincoln,2009,1,5,17,0,535
Lincoln,2009,1,5,18,0,538
Lincoln,2009,1,5,19,0,526
