city,YR,M,D,HR,MIN,MW
Los Angeles,2009,1,1,0,0,2556
Los Angeles,2009,1,1,1,0,2438
Los Angeles,2009,1,1,2,0,2331
Los Angeles,2009,1,1,3,0,2262
Los Angeles,2009,1,1,4,0,2217
Los Angeles,2009,1,1,5,0,2224
Los Angeles,2009,1,1,6,0,2258
Los Angeles,2009,1,1,7,0,2217
Los Angeles,2009,1,1,8,0,2313
Los Angeles,2009,1,1,9,0,2414
Los Angeles,2009,1,1,10,0,2494
Los Angeles,2009,1,1,11,0,2565
Los Angeles,2009,1,1,12,0,2623
Los Angeles,2009,1,1,13,0,2603
Los Angeles,2009,1,1,14,0,2599
Los Angeles,2009,1,1,15,0,2638
Los Angeles,2009,1,1,16,0,2721
Los Angeles,2009,1,1,17,0,3029
Los Angeles,2009,1,1,18,0,3104
Los Angeles,2009,1,1,19,0,3063
Los Angeles,2009,1,1,20,0,3008
Los Angeles,2009,1,1,21,0,2920
Los Angeles,2009,1,1,22,0,2786
Los Angeles,2009,1,1,23,0,2590
Los Angeles,2009,1,2,0,0,2412
Los Angeles,2009,1,2,1,0,2283
Los Angeles,2009,1,2,2,0,2203
Los Angeles,2009,1,2,3,0,2168
Los Angeles,2009,1,2,4,0,2153
Los Angeles,2009,1,2,5,0,2189
Los Angeles,2009,1,2,6,0,2239
Los Angeles,2009,1,2,7,0,2244
Los Angeles,2009,1,2,8,0,2349
Los Angeles,2009,1,2,9,0,2479
Los Angeles,2009,1,2,10,0,2637
Los Angeles,2009,1,2,11,0,2663
Los Angeles,2009,1,2,12,0,2704
Los Angeles,2009,1,2,13,0,2746
Los Angeles,2009,1,2,14,0,2783
Los Angeles,2009,1,2,15,0,2780
Los Angeles,2009,1,2,16,0,2935
Los Angeles,2009,1,2,17,0,3230
Los Angeles,2009,1,2,18,0,3306
Los Angeles,2009,1,2,19,0,3257
Los Angeles,2009,1,2,20,0,3203
Los Angeles,2009,1,2,21,0,3074
Los Angeles,2009,1,2,22,0,2894
Los Angeles,2009,1,2,23,0,2646
Los Angeles,2009,1,3,0,0,2469
Los Angeles,2009,1,3,1,0,2353
Los Angeles,2009,1,3,2,0,2309
Los Angeles,2009,1,3,3,0,2272
Los Angeles,2009,1,3,4,0,2313
Los Angeles,2009,1,3,5,0,2438
Los Angeles,2009,1,3,6,0,2731
Los Angeles,2009,1,3,7,0,3003
Los Angeles,2009,1,3,8,0,3240
Los Angeles,2009,1,3,9,0,3390
Los Angeles,2009,1,3,10,0,3448
Los Angeles,2009,1,3,11,0,3468
Los Angeles,2009,1,3,12,0,3394
Los Angeles,2009,1,3,13,0,3376
Los Angeles,2009,1,3,14,0,3334
Los Angeles,2009,1,3,15,0,3333
Los Angeles,2009,1,3,16,0,3454
Los Angeles,2009,1,3,17,0,3702
Los Angeles,2009,1,3,18,0,3680
Los Angeles,2009,1,3,19,0,3629
Los Angeles,2009,1,3,20,0,3510
Los Angeles,2009,1,3,21,0,3346
Los Angeles,2009,1,3,22,0,3074
Los Angeles,2009,1,3,23,0,2806
Los Angeles,2009,1,4,0,0,2587
Los Angeles,2009,1,4,1,0,2438
Los Angeles,2009,1,4,2,0,2360
Los Angeles,2009,1,4,3,0,2312
Los Angeles,2009,1,4,4,0,2363
Los Angeles,2009,1,4,5,0,2528
Los Angeles,2009,1,4,6,0,2854
Los Angeles,2009,1,4,7,0,3072
Los Angeles,2009,1,4,8,0,3240
Los Angeles,2009,1,4,9,0,3399
Los Angeles,2009,1,4,10,0,3485
Los Angeles,2009,1,4,11,0,3540
Los Angeles,2009,1,4,12,0,3466
Los Angeles,2009,1,4,13,0,3422
Los Angeles,2009,1,4,14,0,3372
Los Angeles,2009,1,4,15,0,3350
Los Angeles,2009,1,4,16,0,3378
Los Angeles,2009,1,4,17,0,3699
Los Angeles,2009,1,4,18,0,3715
Los Angeles,2009,1,4,19,0,3671
Los Angeles,2009,1,4,20,0,3569
Los Angeles,2009,1,4,21,0,3406
Los Angeles,2009,1,4,22,0,2949
Los Angeles,2009,1,4,23,0,2804
Los Angeles,2009,1,5,0,0,2614
Los Angeles,2009,1,5,1,0,2471
Los Angeles,2009,1,5,2,0,2397
Los Angeles,2009,1,5,3,0,2383
Los Angeles,2009,1,5,4,0,2410
Los Angeles,2009,1,5,5,0,2548
Los Angeles,2009,1,5,6,0,2854
Los Angeles,2009,1,5,7,0,3070
Los Angeles,2009,1,5,8,0,3307
Los Angeles,2009,1,5,9,0,3349
Los Angeles,2009,1,5,10,0,3342
Los Angeles,2009,1,5,11,0,3339
Los Angeles,2009,1,5,12,0,3375
Los Angeles,2009,1,5,13,0,3370
Los Angeles,2009,1,5,14,0,3358
Los Angeles,2009,1,5,15,0,3321
Los Angeles,2009,1,5,16,0,3387
Los Angeles,2009,1,5,17,0,3670
Los Angeles,2009,1,5,18,0,3674
Los Angeles,2009,1,5,19,0,3605
Los Angeles,2009,1,5,20,0,3527
Los Angeles,2009,1,5,21,0,3361
Los Angeles,2009,1,5,22,0,2879
Los Angeles,2009,1,5,23,0,3056
Los Angeles,2009,1,6,0,0,2605
Los Angeles,2009,1,6,1,0,2472
Los Angeles,2009,1,6,2,0,2406
Los Angeles,2009,1,6,3,0,2380
Los Angeles,2009,1,6,4,0,2417
Los Angeles,2009,1,6,5,0,2573
Los Angeles,2009,1,6,6,0,2881
Los Angeles,2009,1,6,7,0,3087
Los Angeles,2009,1,6,8,0,3275
Los Angeles,2009,1,6,9,0,3374
Los Angeles,2009,1,6,10,0,3425
Los Angeles,2009,1,6,11,0,3414
Los Angeles,2009,1,6,12,0,3377
Los Angeles,2009,1,6,13,0,3349
Los Angeles,2009,1,6,14,0,3330
Los Angeles,2009,1,6,15,0,3305
Los Angeles,2009,1,6,16,0,3336
Los Angeles,2009,1,6,17,0,3651
Los Angeles,2009,1,6,18,0,3651
Los Angeles,2009,1,6,19,0,3583
Los Angeles,2009,1,6,20,0,3492
Los Angeles,2009,1,6,21,0,3334
Los Angeles,2009,1,6,22,0,3080
Los Angeles,2009,1,6,23,0,2814
Los Angeles,2009,1,7,0,0,2582
Los Angeles,2009,1,7,1,0,2442
Los Angeles,2009,1,7,2,0,2357
Los Angeles,2009,1,7,3,0,2326
Los Angeles,2009,1,7,4,0,2359
Los Angeles,2009,1,7,5,0,2502
Los Angeles,2009,1,7,6,0,2847
Los Angeles,2009,1,7,7,0,3110
Los Angeles,2009,1,7,8,0,3397
Los Angeles,2009,1,7,9,0,3581
Los Angeles,2009,1,7,10,0,3705
Los Angeles,2009,1,7,11,0,3809
Los Angeles,2009,1,7,12,0,3767
Los Angeles,2009,1,7,13,0,3765
Los Angeles,2009,1,7,14,0,3688
Los Angeles,2009,1,7,15,0,3627
Los Angeles,2009,1,7,16,0,3673
Los Angeles,2009,1,7,17,0,3848
Los Angeles,2009,1,7,18,0,3769
Los Angeles,2009,1,7,19,0,3558
Los Angeles,2009,1,7,20,0,3497
Los Angeles,2009,1,7,21,0,3329
Los Angeles,2009,1,7,22,0,3075
Los Angeles,2009,1,7,23,0,2844
