city,YR,M,D,HR,MIN,MW
Pelham,2009,1,1,0,0,565
Pelham,2009,1,1,1,0,522
Pelham,2009,1,1,2,0,490
Pelham,2009,1,1,3,0,479
Pelham,2009,1,1,4,0,476
Pelham,2009,1,1,5,0,492
Pelham,2009,1,1,6,0,508
Pelham,2009,1,1,7,0,520
Pelham,2009,1,1,8,0,549
Pelham,2009,1,1,9,0,589
Pelham,2009,1,1,10,0,629
Pelham,2009,1,1,11,0,654
Pelham,2009,1,1,12,0,649
Pelham,2009,1,1,13,0,643
Pelham,2009,1,1,14,0,639
Pelham,2009,1,1,15,0,644
Pelham,2009,1,1,16,0,700
Pelham,2009,1,1,17,0,783
Pelham,2009,1,1,18,0,766
Pelham,2009,1,1,19,0,752
Pelham,2009,1,1,20,0,727
Pelham,2009,1,1,21,0,686
Pelham,2009,1,1,22,0,646
Pelham,2009,1,1,23,0,590
Pelham,2009,1,2,0,0,539
Pelham,2009,1,2,1,0,505
Pelham,2009,1,2,2,0,502
Pelham,2009,1,2,3,0,491
Pelham,2009,1,2,4,0,498
Pelham,2009,1,2,5,0,517
Pelham,2009,1,2,6,0,547
Pelham,2009,1,2,7,0,577
Pelham,2009,1,2,8,0,618
Pelham,2009,1,2,9,0,663
Pelham,2009,1,2,10,0,675
Pelham,2009,1,2,11,0,691
Pelham,2009,1,2,12,0,705
Pelham,2009,1,2,13,0,713
Pelham,2009,1,2,14,0,721
Pelham,2009,1,2,15,0,737
Pelham,2009,1,2,16,0,809
Pelham,2009,1,2,17,0,851
Pelham,2009,1,2,18,0,838
Pelham,2009,1,2,19,0,810
Pelham,2009,1,2,20,0,769
Pelham,2009,1,2,21,0,719
Pelham,2009,1,2,22,0,652
Pelham,2009,1,2,23,0,595
Pelham,2009,1,3,0,0,542
Pelham,2009,1,3,1,0,523
Pelham,2009,1,3,2,0,515
Pelham,2009,1,3,3,0,514
Pelham,2009,1,3,4,0,527
Pelham,2009,1,3,5,0,571
Pelham,2009,1,3,6,0,680
Pelham,2009,1,3,7,0,749
Pelham,2009,1,3,8,0,762
Pelham,2009,1,3,9,0,775
Pelham,2009,1,3,10,0,782
Pelham,2009,1,3,11,0,783
Pelham,2009,1,3,12,0,776
Pelham,2009,1,3,13,0,768
Pelham,2009,1,3,14,0,752
Pelham,2009,1,3,15,0,766
Pelham,2009,1,3,16,0,828
Pelham,2009,1,3,17,0,882
Pelham,2009,1,3,18,0,864
Pelham,2009,1,3,19,0,833
Pelham,2009,1,3,20,0,799
Pelham,2009,1,3,21,0,742
Pelham,2009,1,3,22,0,658
Pelham,2009,1,3,23,0,593
Pelham,2009,1,4,0,0,549
Pelham,2009,1,4,1,0,522
Pelham,2009,1,4,2,0,513
Pelham,2009,1,4,3,0,515
Pelham,2009,1,4,4,0,537
Pelham,2009,1,4,5,0,587
Pelham,2009,1,4,6,0,698
Pelham,2009,1,4,7,0,771
Pelham,2009,1,4,8,0,784
Pelham,2009,1,4,9,0,782
Pelham,2009,1,4,10,0,784
Pelham,2009,1,4,11,0,777
