city,YR,M,D,HR,MIN,MW
Portales,2009,1,1,0,0,2591
Portales,2009,1,1,1,0,2539
Portales,2009,1,1,2,0,2510
Portales,2009,1,1,3,0,2483
Portales,2009,1,1,4,0,2483
Portales,2009,1,1,5,0,2485
Portales,2009,1,1,6,0,2505
Portales,2009,1,1,7,0,2541
Portales,2009,1,1,8,0,2583
Portales,2009,1,1,9,0,2639
Portales,2009,1,1,10,0,2675
Portales,2009,1,1,11,0,2694
Portales,2009,1,1,12,0,2682
Portales,2009,1,1,13,0,2618
Portales,2009,1,1,14,0,2591
Portales,2009,1,1,15,0,2563
Portales,2009,1,1,16,0,2552
Portales,2009,1,1,17,0,2572
Portales,2009,1,1,18,0,2724
Portales,2009,1,1,19,0,2738
Portales,2009,1,1,20,0,2739
Portales,2009,1,1,21,0,2723
Portales,2009,1,1,22,0,2678
Portales,2009,1,1,23,0,2597
Portales,2009,1,2,0,0,2526
Portales,2009,1,2,1,0,2496
Portales,2009,1,2,2,0,2470
Portales,2009,1,2,3,0,2467
Portales,2009,1,2,4,0,2480
Portales,2009,1,2,5,0,2509
Portales,2009,1,2,6,0,2536
Portales,2009,1,2,7,0,2609
Portales,2009,1,2,8,0,2654
Portales,2009,1,2,9,0,2703
Portales,2009,1,2,10,0,2724
Portales,2009,1,2,11,0,2720
Portales,2009,1,2,12,0,2725
Portales,2009,1,2,13,0,2706
Portales,2009,1,2,14,0,2692
Portales,2009,1,2,15,0,2679
Portales,2009,1,2,16,0,2699
Portales,2009,1,2,17,0,2765
Portales,2009,1,2,18,0,2878
Portales,2009,1,2,19,0,2867
Portales,2009,1,2,20,0,2864
Portales,2009,1,2,21,0,2825
Portales,2009,1,2,22,0,2741
Portales,2009,1,2,23,0,2627
Portales,2009,1,3,0,0,2522
Portales,2009,1,3,1,0,2484
Portales,2009,1,3,2,0,2455
Portales,2009,1,3,3,0,2458
Portales,2009,1,3,4,0,2479
Portales,2009,1,3,5,0,2541
Portales,2009,1,3,6,0,2685
Portales,2009,1,3,7,0,2836
Portales,2009,1,3,8,0,2876
Portales,2009,1,3,9,0,2878
Portales,2009,1,3,10,0,2891
Portales,2009,1,3,11,0,2888
Portales,2009,1,3,12,0,2860
Portales,2009,1,3,13,0,2840
Portales,2009,1,3,14,0,2812
Portales,2009,1,3,15,0,2807
Portales,2009,1,3,16,0,2788
Portales,2009,1,3,17,0,2827
Portales,2009,1,3,18,0,2962
Portales,2009,1,3,19,0,2974
Portales,2009,1,3,20,0,2957
Portales,2009,1,3,21,0,2905
Portales,2009,1,3,22,0,2806
Portales,2009,1,3,23,0,2672
Portales,2009,1,4,0,0,2570
Portales,2009,1,4,1,0,2536
Portales,2009,1,4,2,0,2525
Portales,2009,1,4,3,0,2524
Portales,2009,1,4,4,0,2535
Portales,2009,1,4,5,0,2609
Portales,2009,1,4,6,0,2777
Portales,2009,1,4,7,0,2949
