city,YR,M,D,HR,MIN,MW
Prince Frederick,2009,1,1,0,0,2855.49
Prince Frederick,2009,1,1,1,0,2806
Prince Frederick,2009,1,1,2,0,2720.52
Prince Frederick,2009,1,1,3,0,2669.974
Prince Frederick,2009,1,1,4,0,2667.718
Prince Frederick,2009,1,1,5,0,2683.998
Prince Frederick,2009,1,1,6,0,2784.274
Prince Frederick,2009,1,1,7,0,2865.435
Prince Frederick,2009,1,1,8,0,2916.003
Prince Frederick,2009,1,1,9,0,2999.629
Prince Frederick,2009,1,1,10,0,3051.038
Prince Frederick,2009,1,1,11,0,3047.516
Prince Frederick,2009,1,1,12,0,3064.552
Prince Frederick,2009,1,1,13,0,2995.87
Prince Frederick,2009,1,1,14,0,2920.434
Prince Frederick,2009,1,1,15,0,2867.152
Prince Frederick,2009,1,1,16,0,2948.627
Prince Frederick,2009,1,1,17,0,3181.811
Prince Frederick,2009,1,1,18,0,3275.409
Prince Frederick,2009,1,1,19,0,3238.778
Prince Frederick,2009,1,1,20,0,3218.172
Prince Frederick,2009,1,1,21,0,3140.781
Prince Frederick,2009,1,1,22,0,3057.692
Prince Frederick,2009,1,1,23,0,2905.563
Prince Frederick,2009,1,2,0,0,2759.738
Prince Frederick,2009,1,2,1,0,2631.884
Prince Frederick,2009,1,2,2,0,2599.427
Prince Frederick,2009,1,2,3,0,2598.598
Prince Frederick,2009,1,2,4,0,2631.568
Prince Frederick,2009,1,2,5,0,2653.42
Prince Frederick,2009,1,2,6,0,2805.54
Prince Frederick,2009,1,2,7,0,2886.787
Prince Frederick,2009,1,2,8,0,3062.187
Prince Frederick,2009,1,2,9,0,3245.286
Prince Frederick,2009,1,2,10,0,3334.985
Prince Frederick,2009,1,2,11,0,3355.897
Prince Frederick,2009,1,2,12,0,3377.374
Prince Frederick,2009,1,2,13,0,3342.045
Prince Frederick,2009,1,2,14,0,3353.243
Prince Frederick,2009,1,2,15,0,3324.576
Prince Frederick,2009,1,2,16,0,3419.517
Prince Frederick,2009,1,2,17,0,3683.245
Prince Frederick,2009,1,2,18,0,3720.684
Prince Frederick,2009,1,2,19,0,3694.236
Prince Frederick,2009,1,2,20,0,3631.196
Prince Frederick,2009,1,2,21,0,3517.331
Prince Frederick,2009,1,2,22,0,3292.075
Prince Frederick,2009,1,2,23,0,3031.143
Prince Frederick,2009,1,3,0,0,2891.6
Prince Frederick,2009,1,3,1,0,2769.66
Prince Frederick,2009,1,3,2,0,2707.587
Prince Frederick,2009,1,3,3,0,2738.042
Prince Frederick,2009,1,3,4,0,2822.211
Prince Frederick,2009,1,3,5,0,3116.959
Prince Frederick,2009,1,3,6,0,3486.493
Prince Frederick,2009,1,3,7,0,3709.257
Prince Frederick,2009,1,3,8,0,3751.682
Prince Frederick,2009,1,3,9,0,3656.253
Prince Frederick,2009,1,3,10,0,3617.681
Prince Frederick,2009,1,3,11,0,3569.624
Prince Frederick,2009,1,3,12,0,3532.194
Prince Frederick,2009,1,3,13,0,3445.814
Prince Frederick,2009,1,3,14,0,3476.031
Prince Frederick,2009,1,3,15,0,3442.647
Prince Frederick,2009,1,3,16,0,3569.71
Prince Frederick,2009,1,3,17,0,3830.409
Prince Frederick,2009,1,3,18,0,3786.084
Prince Frederick,2009,1,3,19,0,3678.9
Prince Frederick,2009,1,3,20,0,3559.084
Prince Frederick,2009,1,3,21,0,3362.025
Prince Frederick,2009,1,3,22,0,3079.881
Prince Frederick,2009,1,3,23,0,2802.574
Prince Frederick,2009,1,4,0,0,2596.934
Prince Frederick,2009,1,4,1,0,2482.21
Prince Frederick,2009,1,4,2,0,2418.583
Prince Frederick,2009,1,4,3,0,2417.981
Prince Frederick,2009,1,4,4,0,2526.532
Prince Frederick,2009,1,4,5,0,2774.284
Prince Frederick,2009,1,4,6,0,3189.268
Prince Frederick,2009,1,4,7,0,3443.235
Prince Frederick,2009,1,4,8,0,3515.124
Prince Frederick,2009,1,4,9,0,3527.988
Prince Frederick,2009,1,4,10,0,3511.124
Prince Frederick,2009,1,4,11,0,3497.984
Prince Frederick,2009,1,4,12,0,3483.132
Prince Frederick,2009,1,4,13,0,3482.067
Prince Frederick,2009,1,4,14,0,3452.692
Prince Frederick,2009,1,4,15,0,3441.588
Prince Frederick,2009,1,4,16,0,3533.538
Prince Frederick,2009,1,4,17,0,3789.593
Prince Frederick,2009,1,4,18,0,3758.29
Prince Frederick,2009,1,4,19,0,3696.323
Prince Frederick,2009,1,4,20,0,3490.388
Prince Frederick,2009,1,4,21,0,3359.97
Prince Frederick,2009,1,4,22,0,3073.402
Prince Frederick,2009,1,4,23,0,2836.797
Prince Frederick,2009,1,5,0,0,2629.587
Prince Frederick,2009,1,5,1,0,2511.453
Prince Frederick,2009,1,5,2,0,2488.662
Prince Frederick,2009,1,5,3,0,2475.57
Prince Frederick,2009,1,5,4,0,2572.711
Prince Frederick,2009,1,5,5,0,2862.809
Prince Frederick,2009,1,5,6,0,3330.354
Prince Frederick,2009,1,5,7,0,3588.97
Prince Frederick,2009,1,5,8,0,3663.906
