city,YR,M,D,HR,MIN,MW
Remer,2009,1,1,0,0,1494.2
Remer,2009,1,1,1,0,1470.8
Remer,2009,1,1,2,0,1467.8
Remer,2009,1,1,3,0,1467.5
Remer,2009,1,1,4,0,1454.2
Remer,2009,1,1,5,0,1455.4
Remer,2009,1,1,6,0,1479.5
Remer,2009,1,1,7,0,1497.9
Remer,2009,1,1,8,0,1513.7
Remer,2009,1,1,9,0,1530.8
Remer,2009,1,1,10,0,1562.9
Remer,2009,1,1,11,0,1579.1
Remer,2009,1,1,12,0,1570.8
Remer,2009,1,1,13,0,1557.2
Remer,2009,1,1,14,0,1537
Remer,2009,1,1,15,0,1542.2
Remer,2009,1,1,16,0,1573.8
Remer,2009,1,1,17,0,1593.6
Remer,2009,1,1,18,0,1579.4
Remer,2009,1,1,19,0,1545.8
Remer,2009,1,1,20,0,1538.1
Remer,2009,1,1,21,0,1534.1
Remer,2009,1,1,22,0,1500.5
Remer,2009,1,1,23,0,1468.4
Remer,2009,1,2,0,0,1436.3
Remer,2009,1,2,1,0,1442.8
Remer,2009,1,2,2,0,1441.8
Remer,2009,1,2,3,0,1429.4
Remer,2009,1,2,4,0,1426.2
Remer,2009,1,2,5,0,1430.8
Remer,2009,1,2,6,0,1442.5
Remer,2009,1,2,7,0,1448
Remer,2009,1,2,8,0,1461.9
Remer,2009,1,2,9,0,1478.7
Remer,2009,1,2,10,0,1489.9
Remer,2009,1,2,11,0,1505.7
Remer,2009,1,2,12,0,1509.4
Remer,2009,1,2,13,0,1500.6
Remer,2009,1,2,14,0,1487.6
Remer,2009,1,2,15,0,1477.3
Remer,2009,1,2,16,0,1527.2
Remer,2009,1,2,17,0,1587.2
Remer,2009,1,2,18,0,1591.4
Remer,2009,1,2,19,0,1608.7
Remer,2009,1,2,20,0,1608.8
Remer,2009,1,2,21,0,1586.1
Remer,2009,1,2,22,0,1551.5
Remer,2009,1,2,23,0,1529.2
Remer,2009,1,3,0,0,1510.8
Remer,2009,1,3,1,0,1497.7
Remer,2009,1,3,2,0,1510.4
Remer,2009,1,3,3,0,1511.5
Remer,2009,1,3,4,0,1519.1
Remer,2009,1,3,5,0,1544.7
Remer,2009,1,3,6,0,1604.3
Remer,2009,1,3,7,0,1634.4
Remer,2009,1,3,8,0,1632.3
Remer,2009,1,3,9,0,1629.7
Remer,2009,1,3,10,0,1625.8
Remer,2009,1,3,11,0,1627.8
Remer,2009,1,3,12,0,1631.2
Remer,2009,1,3,13,0,1644
Remer,2009,1,3,14,0,1652.6
Remer,2009,1,3,15,0,1626
Remer,2009,1,3,16,0,1668.2
Remer,2009,1,3,17,0,1695.7
Remer,2009,1,3,18,0,1692.3
Remer,2009,1,3,19,0,1668.5
Remer,2009,1,3,20,0,1647.6
Remer,2009,1,3,21,0,1606.3
Remer,2009,1,3,22,0,1557.4
Remer,2009,1,3,23,0,1530.7
Remer,2009,1,4,0,0,1495.3
Remer,2009,1,4,1,0,1484.8
Remer,2009,1,4,2,0,1489.3
Remer,2009,1,4,3,0,1499.3
Remer,2009,1,4,4,0,1502.3
Remer,2009,1,4,5,0,1536
Remer,2009,1,4,6,0,1594.4
Remer,2009,1,4,7,0,1630.4
Remer,2009,1,4,8,0,1615.7
Remer,2009,1,4,9,0,1618
Remer,2009,1,4,10,0,1635.4
Remer,2009,1,4,11,0,1638.9
Remer,2009,1,4,12,0,1616.8
Remer,2009,1,4,13,0,1617.3
Remer,2009,1,4,14,0,1597.1
Remer,2009,1,4,15,0,1594.3
Remer,2009,1,4,16,0,1624.5
Remer,2009,1,4,17,0,1674.5
Remer,2009,1,4,18,0,1666.9
Remer,2009,1,4,19,0,1654.7
Remer,2009,1,4,20,0,1634.6
Remer,2009,1,4,21,0,1627.2
Remer,2009,1,4,22,0,1578.8
Remer,2009,1,4,23,0,1556.9
Remer,2009,1,5,0,0,1541.7
Remer,2009,1,5,1,0,1531.1
Remer,2009,1,5,2,0,1524.7
Remer,2009,1,5,3,0,1526.4
Remer,2009,1,5,4,0,1529.4
Remer,2009,1,5,5,0,1557.5
Remer,2009,1,5,6,0,1616.8
Remer,2009,1,5,7,0,1654.8
