city,YR,M,D,HR,MIN,MW
Sacramento,2009,1,1,0,0,1054
Sacramento,2009,1,1,1,0,996
Sacramento,2009,1,1,2,0,953
Sacramento,2009,1,1,3,0,927
Sacramento,2009,1,1,4,0,927
Sacramento,2009,1,1,5,0,959
Sacramento,2009,1,1,6,0,996
Sacramento,2009,1,1,7,0,1024
Sacramento,2009,1,1,8,0,1067
Sacramento,2009,1,1,9,0,1105
Sacramento,2009,1,1,10,0,1138
Sacramento,2009,1,1,11,0,1157
Sacramento,2009,1,1,12,0,1149
Sacramento,2009,1,1,13,0,1142
Sacramento,2009,1,1,14,0,1125
Sacramento,2009,1,1,15,0,1142
Sacramento,2009,1,1,16,0,1215
Sacramento,2009,1,1,17,0,1354
Sacramento,2009,1,1,18,0,1370
Sacramento,2009,1,1,19,0,1347
Sacramento,2009,1,1,20,0,1315
Sacramento,2009,1,1,21,0,1248
Sacramento,2009,1,1,22,0,1176
Sacramento,2009,1,1,23,0,1084
Sacramento,2009,1,2,0,0,996
Sacramento,2009,1,2,1,0,944
Sacramento,2009,1,2,2,0,914
Sacramento,2009,1,2,3,0,911
Sacramento,2009,1,2,4,0,922
Sacramento,2009,1,2,5,0,955
Sacramento,2009,1,2,6,0,1005
Sacramento,2009,1,2,7,0,1060
Sacramento,2009,1,2,8,0,1137
Sacramento,2009,1,2,9,0,1216
Sacramento,2009,1,2,10,0,1278
Sacramento,2009,1,2,11,0,1302
Sacramento,2009,1,2,12,0,1299
Sacramento,2009,1,2,13,0,1282
Sacramento,2009,1,2,14,0,1278
Sacramento,2009,1,2,15,0,1306
Sacramento,2009,1,2,16,0,1385
Sacramento,2009,1,2,17,0,1499
Sacramento,2009,1,2,18,0,1518
Sacramento,2009,1,2,19,0,1492
Sacramento,2009,1,2,20,0,1434
Sacramento,2009,1,2,21,0,1346
Sacramento,2009,1,2,22,0,1211
Sacramento,2009,1,2,23,0,1084
Sacramento,2009,1,3,0,0,991
Sacramento,2009,1,3,1,0,945
Sacramento,2009,1,3,2,0,918
Sacramento,2009,1,3,3,0,927
Sacramento,2009,1,3,4,0,973
Sacramento,2009,1,3,5,0,1083
Sacramento,2009,1,3,6,0,1266
Sacramento,2009,1,3,7,0,1375
Sacramento,2009,1,3,8,0,1376
Sacramento,2009,1,3,9,0,1388
Sacramento,2009,1,3,10,0,1395
Sacramento,2009,1,3,11,0,1398
Sacramento,2009,1,3,12,0,1397
Sacramento,2009,1,3,13,0,1383
Sacramento,2009,1,3,14,0,1379
Sacramento,2009,1,3,15,0,1396
Sacramento,2009,1,3,16,0,1465
Sacramento,2009,1,3,17,0,1583
Sacramento,2009,1,3,18,0,1587
Sacramento,2009,1,3,19,0,1545
Sacramento,2009,1,3,20,0,1494
Sacramento,2009,1,3,21,0,1386
Sacramento,2009,1,3,22,0,1251
Sacramento,2009,1,3,23,0,1107
Sacramento,2009,1,4,0,0,1019
Sacramento,2009,1,4,1,0,977
Sacramento,2009,1,4,2,0,958
Sacramento,2009,1,4,3,0,971
Sacramento,2009,1,4,4,0,1023
Sacramento,2009,1,4,5,0,1144
Sacramento,2009,1,4,6,0,1335
Sacramento,2009,1,4,7,0,1441
