city,YR,M,D,HR,MIN,MW
Sebring,2009,1,1,0,0,8897
Sebring,2009,1,1,1,0,8358
Sebring,2009,1,1,2,0,7771
Sebring,2009,1,1,3,0,7428
Sebring,2009,1,1,4,0,7256
Sebring,2009,1,1,5,0,7255
Sebring,2009,1,1,6,0,7330
Sebring,2009,1,1,7,0,7550
Sebring,2009,1,1,8,0,8463
Sebring,2009,1,1,9,0,9642
Sebring,2009,1,1,10,0,10502
Sebring,2009,1,1,11,0,11061
Sebring,2009,1,1,12,0,11369
Sebring,2009,1,1,13,0,11406
Sebring,2009,1,1,14,0,11317
Sebring,2009,1,1,15,0,11187
Sebring,2009,1,1,16,0,10951
Sebring,2009,1,1,17,0,11180
Sebring,2009,1,1,18,0,12068
Sebring,2009,1,1,19,0,11792
Sebring,2009,1,1,20,0,11297
Sebring,2009,1,1,21,0,10781
Sebring,2009,1,1,22,0,10052
Sebring,2009,1,1,23,0,9081
Sebring,2009,1,2,0,0,8194
Sebring,2009,1,2,1,0,7601
Sebring,2009,1,2,2,0,7174
Sebring,2009,1,2,3,0,6946
Sebring,2009,1,2,4,0,6904
Sebring,2009,1,2,5,0,7022
Sebring,2009,1,2,6,0,7296
Sebring,2009,1,2,7,0,7789
Sebring,2009,1,2,8,0,8848
Sebring,2009,1,2,9,0,9888
Sebring,2009,1,2,10,0,10636
Sebring,2009,1,2,11,0,11005
Sebring,2009,1,2,12,0,11160
Sebring,2009,1,2,13,0,11177
Sebring,2009,1,2,14,0,11072
Sebring,2009,1,2,15,0,10958
Sebring,2009,1,2,16,0,10863
Sebring,2009,1,2,17,0,11266
Sebring,2009,1,2,18,0,12263
Sebring,2009,1,2,19,0,12094
Sebring,2009,1,2,20,0,11530
Sebring,2009,1,2,21,0,10865
Sebring,2009,1,2,22,0,9974
Sebring,2009,1,2,23,0,8835
Sebring,2009,1,3,0,0,7863
Sebring,2009,1,3,1,0,7281
Sebring,2009,1,3,2,0,7012
Sebring,2009,1,3,3,0,6906
Sebring,2009,1,3,4,0,7038
Sebring,2009,1,3,5,0,7734
Sebring,2009,1,3,6,0,8960
Sebring,2009,1,3,7,0,9825
Sebring,2009,1,3,8,0,10473
Sebring,2009,1,3,9,0,11150
Sebring,2009,1,3,10,0,11649
Sebring,2009,1,3,11,0,11941
Sebring,2009,1,3,12,0,12128
Sebring,2009,1,3,13,0,12166
Sebring,2009,1,3,14,0,12092
Sebring,2009,1,3,15,0,12061
Sebring,2009,1,3,16,0,12007
Sebring,2009,1,3,17,0,12285
Sebring,2009,1,3,18,0,13368
Sebring,2009,1,3,19,0,13159
Sebring,2009,1,3,20,0,12494
Sebring,2009,1,3,21,0,11541
Sebring,2009,1,3,22,0,10434
Sebring,2009,1,3,23,0,9246
Sebring,2009,1,4,0,0,8241
Sebring,2009,1,4,1,0,7588
Sebring,2009,1,4,2,0,7275
Sebring,2009,1,4,3,0,7180
Sebring,2009,1,4,4,0,7345
Sebring,2009,1,4,5,0,7974
Sebring,2009,1,4,6,0,9288
Sebring,2009,1,4,7,0,10209
Sebring,2009,1,4,8,0,10772
Sebring,2009,1,4,9,0,11379
Sebring,2009,1,4,10,0,11869
Sebring,2009,1,4,11,0,12176
Sebring,2009,1,4,12,0,12394
Sebring,2009,1,4,13,0,12503
Sebring,2009,1,4,14,0,12480
Sebring,2009,1,4,15,0,12383
Sebring,2009,1,4,16,0,12337
Sebring,2009,1,4,17,0,12560
Sebring,2009,1,4,18,0,13491
Sebring,2009,1,4,19,0,13275
Sebring,2009,1,4,20,0,12612
Sebring,2009,1,4,21,0,11676
Sebring,2009,1,4,22,0,10594
Sebring,2009,1,4,23,0,9320
Sebring,2009,1,5,0,0,8228
Sebring,2009,1,5,1,0,7579
Sebring,2009,1,5,2,0,7275
Sebring,2009,1,5,3,0,7139
Sebring,2009,1,5,4,0,7236
Sebring,2009,1,5,5,0,7857
Sebring,2009,1,5,6,0,9216
Sebring,2009,1,5,7,0,10108
Sebring,2009,1,5,8,0,10730
Sebring,2009,1,5,9,0,11415
Sebring,2009,1,5,10,0,12069
Sebring,2009,1,5,11,0,12422
Sebring,2009,1,5,12,0,12657
Sebring,2009,1,5,13,0,12809
Sebring,2009,1,5,14,0,12877
Sebring,2009,1,5,15,0,12918
Sebring,2009,1,5,16,0,12830
Sebring,2009,1,5,17,0,12953
Sebring,2009,1,5,18,0,13895
Sebring,2009,1,5,19,0,13667
Sebring,2009,1,5,20,0,13055
Sebring,2009,1,5,21,0,12110
Sebring,2009,1,5,22,0,11044
