city,YR,M,D,HR,MIN,MW
Sidney Center,2009,1,1,0,0,15617
Sidney Center,2009,1,1,1,0,14737
Sidney Center,2009,1,1,2,0,13950
Sidney Center,2009,1,1,3,0,13489
Sidney Center,2009,1,1,4,0,13324
Sidney Center,2009,1,1,5,0,13426
Sidney Center,2009,1,1,6,0,13743
Sidney Center,2009,1,1,7,0,13940
Sidney Center,2009,1,1,8,0,14356
Sidney Center,2009,1,1,9,0,15048
Sidney Center,2009,1,1,10,0,15709
Sidney Center,2009,1,1,11,0,16319
Sidney Center,2009,1,1,12,0,16536
Sidney Center,2009,1,1,13,0,16468
Sidney Center,2009,1,1,14,0,16372
Sidney Center,2009,1,1,15,0,16409
Sidney Center,2009,1,1,16,0,17371
Sidney Center,2009,1,1,17,0,19069
Sidney Center,2009,1,1,18,0,19131
Sidney Center,2009,1,1,19,0,18902
Sidney Center,2009,1,1,20,0,18583
Sidney Center,2009,1,1,21,0,18063
Sidney Center,2009,1,1,22,0,17215
Sidney Center,2009,1,1,23,0,16119
Sidney Center,2009,1,2,0,0,15084
Sidney Center,2009,1,2,1,0,14322
Sidney Center,2009,1,2,2,0,13884
Sidney Center,2009,1,2,3,0,13630
Sidney Center,2009,1,2,4,0,13631
Sidney Center,2009,1,2,5,0,13815
Sidney Center,2009,1,2,6,0,14310
Sidney Center,2009,1,2,7,0,14800
Sidney Center,2009,1,2,8,0,15547
Sidney Center,2009,1,2,9,0,16426
Sidney Center,2009,1,2,10,0,17022
Sidney Center,2009,1,2,11,0,17461
Sidney Center,2009,1,2,12,0,17780
Sidney Center,2009,1,2,13,0,17886
Sidney Center,2009,1,2,14,0,17902
Sidney Center,2009,1,2,15,0,18114
Sidney Center,2009,1,2,16,0,19136
Sidney Center,2009,1,2,17,0,20444
Sidney Center,2009,1,2,18,0,20325
Sidney Center,2009,1,2,19,0,19962
Sidney Center,2009,1,2,20,0,19401
Sidney Center,2009,1,2,21,0,18433
Sidney Center,2009,1,2,22,0,17095
Sidney Center,2009,1,2,23,0,15650
Sidney Center,2009,1,3,0,0,14490
Sidney Center,2009,1,3,1,0,13857
Sidney Center,2009,1,3,2,0,13515
Sidney Center,2009,1,3,3,0,13396
Sidney Center,2009,1,3,4,0,13569
Sidney Center,2009,1,3,5,0,14561
Sidney Center,2009,1,3,6,0,16697
Sidney Center,2009,1,3,7,0,18456
Sidney Center,2009,1,3,8,0,19035
Sidney Center,2009,1,3,9,0,19471
Sidney Center,2009,1,3,10,0,19796
Sidney Center,2009,1,3,11,0,19816
Sidney Center,2009,1,3,12,0,19524
Sidney Center,2009,1,3,13,0,19607
Sidney Center,2009,1,3,14,0,19668
Sidney Center,2009,1,3,15,0,19902
Sidney Center,2009,1,3,16,0,21000
Sidney Center,2009,1,3,17,0,22156
Sidney Center,2009,1,3,18,0,21881
Sidney Center,2009,1,3,19,0,21356
Sidney Center,2009,1,3,20,0,20629
Sidney Center,2009,1,3,21,0,19464
Sidney Center,2009,1,3,22,0,17808
Sidney Center,2009,1,3,23,0,16134
Sidney Center,2009,1,4,0,0,14894
Sidney Center,2009,1,4,1,0,14232
Sidney Center,2009,1,4,2,0,13804
Sidney Center,2009,1,4,3,0,13667
Sidney Center,2009,1,4,4,0,13847
Sidney Center,2009,1,4,5,0,14818
Sidney Center,2009,1,4,6,0,17050
Sidney Center,2009,1,4,7,0,18950
Sidney Center,2009,1,4,8,0,19556
Sidney Center,2009,1,4,9,0,20000
Sidney Center,2009,1,4,10,0,20203
Sidney Center,2009,1,4,11,0,20226
Sidney Center,2009,1,4,12,0,20146
Sidney Center,2009,1,4,13,0,20137
Sidney Center,2009,1,4,14,0,20041
Sidney Center,2009,1,4,15,0,20039
Sidney Center,2009,1,4,16,0,20942
Sidney Center,2009,1,4,17,0,22305
Sidney Center,2009,1,4,18,0,22131
Sidney Center,2009,1,4,19,0,21589
Sidney Center,2009,1,4,20,0,20816
Sidney Center,2009,1,4,21,0,19715
Sidney Center,2009,1,4,22,0,18133
Sidney Center,2009,1,4,23,0,16486
Sidney Center,2009,1,5,0,0,15246
Sidney Center,2009,1,5,1,0,14557
Sidney Center,2009,1,5,2,0,14186
Sidney Center,2009,1,5,3,0,14076
Sidney Center,2009,1,5,4,0,14244
Sidney Center,2009,1,5,5,0,15217
Sidney Center,2009,1,5,6,0,17460
Sidney Center,2009,1,5,7,0,19348
Sidney Center,2009,1,5,8,0,19987
Sidney Center,2009,1,5,9,0,20457
Sidney Center,2009,1,5,10,0,20816
Sidney Center,2009,1,5,11,0,21014
Sidney Center,2009,1,5,12,0,20977
Sidney Center,2009,1,5,13,0,20985
Sidney Center,2009,1,5,14,0,20958
Sidney Center,2009,1,5,15,0,21097
Sidney Center,2009,1,5,16,0,21998
Sidney Center,2009,1,5,17,0,23263
Sidney Center,2009,1,5,18,0,22941
Sidney Center,2009,1,5,19,0,22392
Sidney Center,2009,1,5,20,0,21650
Sidney Center,2009,1,5,21,0,20462
Sidney Center,2009,1,5,22,0,18921
Sidney Center,2009,1,5,23,0,17302
Sidney Center,2009,1,6,0,0,16092
Sidney Center,2009,1,6,1,0,15475
Sidney Center,2009,1,6,2,0,15141
Sidney Center,2009,1,6,3,0,15011
Sidney Center,2009,1,6,4,0,15202
Sidney Center,2009,1,6,5,0,16120
Sidney Center,2009,1,6,6,0,18067
Sidney Center,2009,1,6,7,0,19752
Sidney Center,2009,1,6,8,0,20572
Sidney Center,2009,1,6,9,0,21217
Sidney Center,2009,1,6,10,0,21581
Sidney Center,2009,1,6,11,0,21733
Sidney Center,2009,1,6,12,0,21668
Sidney Center,2009,1,6,13,0,21612
Sidney Center,2009,1,6,14,0,21483
Sidney Center,2009,1,6,15,0,21512
Sidney Center,2009,1,6,16,0,22239
Sidney Center,2009,1,6,17,0,23220
Sidney Center,2009,1,6,18,0,22807
Sidney Center,2009,1,6,19,0,22215
