city,YR,M,D,HR,MIN,MW
South Elgin,2009,1,1,0,0,9751
South Elgin,2009,1,1,1,0,9336
South Elgin,2009,1,1,2,0,8975
South Elgin,2009,1,1,3,0,8689
South Elgin,2009,1,1,4,0,8508
South Elgin,2009,1,1,5,0,8521
South Elgin,2009,1,1,6,0,8565
South Elgin,2009,1,1,7,0,8819
South Elgin,2009,1,1,8,0,8806
South Elgin,2009,1,1,9,0,8899
South Elgin,2009,1,1,10,0,9157
South Elgin,2009,1,1,11,0,9375
South Elgin,2009,1,1,12,0,9695
South Elgin,2009,1,1,13,0,9894
South Elgin,2009,1,1,14,0,9922
South Elgin,2009,1,1,15,0,9981
South Elgin,2009,1,1,16,0,10153
South Elgin,2009,1,1,17,0,10833
South Elgin,2009,1,1,18,0,11377
South Elgin,2009,1,1,19,0,11394
South Elgin,2009,1,1,20,0,11252
South Elgin,2009,1,1,21,0,11147
South Elgin,2009,1,1,22,0,10840
South Elgin,2009,1,1,23,0,10272
South Elgin,2009,1,2,0,0,9564
South Elgin,2009,1,2,1,0,8892
South Elgin,2009,1,2,2,0,8525
South Elgin,2009,1,2,3,0,8183
South Elgin,2009,1,2,4,0,8068
South Elgin,2009,1,2,5,0,7938
South Elgin,2009,1,2,6,0,8103
South Elgin,2009,1,2,7,0,8311
South Elgin,2009,1,2,8,0,8458
South Elgin,2009,1,2,9,0,8798
South Elgin,2009,1,2,10,0,9084
South Elgin,2009,1,2,11,0,9365
South Elgin,2009,1,2,12,0,9513
South Elgin,2009,1,2,13,0,9620
South Elgin,2009,1,2,14,0,9658
South Elgin,2009,1,2,15,0,9749
South Elgin,2009,1,2,16,0,9911
South Elgin,2009,1,2,17,0,10701
South Elgin,2009,1,2,18,0,11462
South Elgin,2009,1,2,19,0,11527
South Elgin,2009,1,2,20,0,11426
South Elgin,2009,1,2,21,0,11184
South Elgin,2009,1,2,22,0,10818
South Elgin,2009,1,2,23,0,10130
South Elgin,2009,1,3,0,0,9481
South Elgin,2009,1,3,1,0,8985
South Elgin,2009,1,3,2,0,8797
South Elgin,2009,1,3,3,0,8662
South Elgin,2009,1,3,4,0,8666
South Elgin,2009,1,3,5,0,8948
South Elgin,2009,1,3,6,0,9688
South Elgin,2009,1,3,7,0,10904
South Elgin,2009,1,3,8,0,11863
South Elgin,2009,1,3,9,0,12140
South Elgin,2009,1,3,10,0,12307
South Elgin,2009,1,3,11,0,12474
South Elgin,2009,1,3,12,0,12576
South Elgin,2009,1,3,13,0,12669
South Elgin,2009,1,3,14,0,12678
South Elgin,2009,1,3,15,0,12570
South Elgin,2009,1,3,16,0,12486
South Elgin,2009,1,3,17,0,13100
