city,YR,M,D,HR,MIN,MW
Tipton,2009,1,1,0,0,582
Tipton,2009,1,1,1,0,550
Tipton,2009,1,1,2,0,525
Tipton,2009,1,1,3,0,516
Tipton,2009,1,1,4,0,517
Tipton,2009,1,1,5,0,529
Tipton,2009,1,1,6,0,552
Tipton,2009,1,1,7,0,584
Tipton,2009,1,1,8,0,615
Tipton,2009,1,1,9,0,668
Tipton,2009,1,1,10,0,719
Tipton,2009,1,1,11,0,744
Tipton,2009,1,1,12,0,747
Tipton,2009,1,1,13,0,736
Tipton,2009,1,1,14,0,725
Tipton,2009,1,1,15,0,721
Tipton,2009,1,1,16,0,734
Tipton,2009,1,1,17,0,784
Tipton,2009,1,1,18,0,813
Tipton,2009,1,1,19,0,800
Tipton,2009,1,1,20,0,775
Tipton,2009,1,1,21,0,794
Tipton,2009,1,1,22,0,754
Tipton,2009,1,1,23,0,670
Tipton,2009,1,2,0,0,634
Tipton,2009,1,2,1,0,617
Tipton,2009,1,2,2,0,610
Tipton,2009,1,2,3,0,601
Tipton,2009,1,2,4,0,597
Tipton,2009,1,2,5,0,604
Tipton,2009,1,2,6,0,629
Tipton,2009,1,2,7,0,671
Tipton,2009,1,2,8,0,701
Tipton,2009,1,2,9,0,726
Tipton,2009,1,2,10,0,712
Tipton,2009,1,2,11,0,755
Tipton,2009,1,2,12,0,763
Tipton,2009,1,2,13,0,746
Tipton,2009,1,2,14,0,733
Tipton,2009,1,2,15,0,748
Tipton,2009,1,2,16,0,768
Tipton,2009,1,2,17,0,825
Tipton,2009,1,2,18,0,871
Tipton,2009,1,2,19,0,864
Tipton,2009,1,2,20,0,839
Tipton,2009,1,2,21,0,798
Tipton,2009,1,2,22,0,686
Tipton,2009,1,2,23,0,607
Tipton,2009,1,3,0,0,616
Tipton,2009,1,3,1,0,597
Tipton,2009,1,3,2,0,603
Tipton,2009,1,3,3,0,597
Tipton,2009,1,3,4,0,625
Tipton,2009,1,3,5,0,691
Tipton,2009,1,3,6,0,794
Tipton,2009,1,3,7,0,841
Tipton,2009,1,3,8,0,840
Tipton,2009,1,3,9,0,837
Tipton,2009,1,3,10,0,836
