city,YR,M,D,HR,MIN,MW
Union Springs,2009,1,1,0,0,14964.655
Union Springs,2009,1,1,1,0,14615.27
Union Springs,2009,1,1,2,0,14425.576
Union Springs,2009,1,1,3,0,14387.48
Union Springs,2009,1,1,4,0,14495.151
Union Springs,2009,1,1,5,0,14839.417
Union Springs,2009,1,1,6,0,15202.23
Union Springs,2009,1,1,7,0,15385.934
Union Springs,2009,1,1,8,0,15873.316
Union Springs,2009,1,1,9,0,16187.27
Union Springs,2009,1,1,10,0,16275.136
Union Springs,2009,1,1,11,0,16129.813
Union Springs,2009,1,1,12,0,15815.861
Union Springs,2009,1,1,13,0,15514.846
Union Springs,2009,1,1,14,0,15321.71
Union Springs,2009,1,1,15,0,15199.827
Union Springs,2009,1,1,16,0,15674.725
Union Springs,2009,1,1,17,0,16956.565
Union Springs,2009,1,1,18,0,16945.199
Union Springs,2009,1,1,19,0,16692.204
Union Springs,2009,1,1,20,0,16378.819
Union Springs,2009,1,1,21,0,15913.698
Union Springs,2009,1,1,22,0,15235.628
Union Springs,2009,1,1,23,0,14585.723
Union Springs,2009,1,2,0,0,14054.764
Union Springs,2009,1,2,1,0,13692.962
Union Springs,2009,1,2,2,0,13539.624
Union Springs,2009,1,2,3,0,13532.503
Union Springs,2009,1,2,4,0,13825.136
Union Springs,2009,1,2,5,0,14199.774
Union Springs,2009,1,2,6,0,14758.806
Union Springs,2009,1,2,7,0,15314.047
Union Springs,2009,1,2,8,0,16042.208
Union Springs,2009,1,2,9,0,16204.034
Union Springs,2009,1,2,10,0,16069.496
Union Springs,2009,1,2,11,0,15980.93
Union Springs,2009,1,2,12,0,15952.249
Union Springs,2009,1,2,13,0,15801.046
Union Springs,2009,1,2,14,0,15741.271
Union Springs,2009,1,2,15,0,15781.351
Union Springs,2009,1,2,16,0,16289.181
Union Springs,2009,1,2,17,0,17760.326
Union Springs,2009,1,2,18,0,17943.649
Union Springs,2009,1,2,19,0,17669.299
Union Springs,2009,1,2,20,0,17315.657
Union Springs,2009,1,2,21,0,16546.047
Union Springs,2009,1,2,22,0,15769.675
Union Springs,2009,1,2,23,0,14932.315
Union Springs,2009,1,3,0,0,14463.856
Union Springs,2009,1,3,1,0,14192.766
Union Springs,2009,1,3,2,0,14168.389
Union Springs,2009,1,3,3,0,14502.668
Union Springs,2009,1,3,4,0,15164.69
Union Springs,2009,1,3,5,0,16793.609
Union Springs,2009,1,3,6,0,18280.43
Union Springs,2009,1,3,7,0,18738.817
Union Springs,2009,1,3,8,0,18924.476
Union Springs,2009,1,3,9,0,19057.436
Union Springs,2009,1,3,10,0,19033.697
Union Springs,2009,1,3,11,0,18944.548
Union Springs,2009,1,3,12,0,18862.442
Union Springs,2009,1,3,13,0,18733.84
Union Springs,2009,1,3,14,0,18773.953
Union Springs,2009,1,3,15,0,18404.306
