city,YR,M,D,HR,MIN,MW
Vashon,2009,1,1,0,0,2663
Vashon,2009,1,1,1,0,2516
Vashon,2009,1,1,2,0,2420
Vashon,2009,1,1,3,0,2372
Vashon,2009,1,1,4,0,2389
Vashon,2009,1,1,5,0,2483
Vashon,2009,1,1,6,0,2621
Vashon,2009,1,1,7,0,2803
Vashon,2009,1,1,8,0,2985
Vashon,2009,1,1,9,0,3171
Vashon,2009,1,1,10,0,3292
Vashon,2009,1,1,11,0,3299
Vashon,2009,1,1,12,0,3255
Vashon,2009,1,1,13,0,3190
Vashon,2009,1,1,14,0,3175
Vashon,2009,1,1,15,0,3203
Vashon,2009,1,1,16,0,3438
Vashon,2009,1,1,17,0,3623
Vashon,2009,1,1,18,0,3613
Vashon,2009,1,1,19,0,3537
Vashon,2009,1,1,20,0,3433
Vashon,2009,1,1,21,0,3278
Vashon,2009,1,1,22,0,3036
Vashon,2009,1,1,23,0,2782
Vashon,2009,1,2,0,0,2585
Vashon,2009,1,2,1,0,2473
Vashon,2009,1,2,2,0,2433
Vashon,2009,1,2,3,0,2459
Vashon,2009,1,2,4,0,2549
Vashon,2009,1,2,5,0,2679
Vashon,2009,1,2,6,0,2906
Vashon,2009,1,2,7,0,3182
Vashon,2009,1,2,8,0,3418
Vashon,2009,1,2,9,0,3549
Vashon,2009,1,2,10,0,3535
Vashon,2009,1,2,11,0,3448
Vashon,2009,1,2,12,0,3351
Vashon,2009,1,2,13,0,3244
Vashon,2009,1,2,14,0,3189
Vashon,2009,1,2,15,0,3235
Vashon,2009,1,2,16,0,3560
Vashon,2009,1,2,17,0,3955
Vashon,2009,1,2,18,0,4032
Vashon,2009,1,2,19,0,4001
Vashon,2009,1,2,20,0,3888
Vashon,2009,1,2,21,0,3675
Vashon,2009,1,2,22,0,3310
Vashon,2009,1,2,23,0,2989
Vashon,2009,1,3,0,0,2809
Vashon,2009,1,3,1,0,2752
Vashon,2009,1,3,2,0,2767
Vashon,2009,1,3,3,0,2843
Vashon,2009,1,3,4,0,3044
Vashon,2009,1,3,5,0,3437
Vashon,2009,1,3,6,0,4006
Vashon,2009,1,3,7,0,4301
Vashon,2009,1,3,8,0,4256
Vashon,2009,1,3,9,0,4120
Vashon,2009,1,3,10,0,3972
Vashon,2009,1,3,11,0,3818
Vashon,2009,1,3,12,0,3686
Vashon,2009,1,3,13,0,3581
Vashon,2009,1,3,14,0,3524
Vashon,2009,1,3,15,0,3594
Vashon,2009,1,3,16,0,3910
Vashon,2009,1,3,17,0,4324
Vashon,2009,1,3,18,0,4376
Vashon,2009,1,3,19,0,4313
Vashon,2009,1,3,20,0,4172
Vashon,2009,1,3,21,0,3901
Vashon,2009,1,3,22,0,3494
Vashon,2009,1,3,23,0,3144
Vashon,2009,1,4,0,0,2934
Vashon,2009,1,4,1,0,2884
