city,YR,M,D,HR,MIN,MW
Winona,2009,1,1,0,0,552
Winona,2009,1,1,1,0,531
Winona,2009,1,1,2,0,508
Winona,2009,1,1,3,0,492
Winona,2009,1,1,4,0,502
Winona,2009,1,1,5,0,518
Winona,2009,1,1,6,0,562
Winona,2009,1,1,7,0,598
Winona,2009,1,1,8,0,644
Winona,2009,1,1,9,0,678
Winona,2009,1,1,10,0,698
Winona,2009,1,1,11,0,699
Winona,2009,1,1,12,0,674
Winona,2009,1,1,13,0,666
Winona,2009,1,1,14,0,658
Winona,2009,1,1,15,0,663
Winona,2009,1,1,16,0,717
Winona,2009,1,1,17,0,780
Winona,2009,1,1,18,0,762
Winona,2009,1,1,19,0,746
Winona,2009,1,1,20,0,717
Winona,2009,1,1,21,0,664
Winona,2009,1,1,22,0,605
Winona,2009,1,1,23,0,513
Winona,2009,1,2,0,0,482
Winona,2009,1,2,1,0,465
Winona,2009,1,2,2,0,437
Winona,2009,1,2,3,0,450
Winona,2009,1,2,4,0,445
Winona,2009,1,2,5,0,472
Winona,2009,1,2,6,0,542
Winona,2009,1,2,7,0,579
Winona,2009,1,2,8,0,627
Winona,2009,1,2,9,0,667
Winona,2009,1,2,10,0,667
Winona,2009,1,2,11,0,650
Winona,2009,1,2,12,0,627
Winona,2009,1,2,13,0,600
Winona,2009,1,2,14,0,580
Winona,2009,1,2,15,0,586
Winona,2009,1,2,16,0,648
Winona,2009,1,2,17,0,746
Winona,2009,1,2,18,0,777
Winona,2009,1,2,19,0,766
Winona,2009,1,2,20,0,722
Winona,2009,1,2,21,0,653
Winona,2009,1,2,22,0,591
Winona,2009,1,2,23,0,526
Winona,2009,1,3,0,0,497
Winona,2009,1,3,1,0,492
Winona,2009,1,3,2,0,486
Winona,2009,1,3,3,0,488
Winona,2009,1,3,4,0,515
Winona,2009,1,3,5,0,577
Winona,2009,1,3,6,0,667
Winona,2009,1,3,7,0,710
Winona,2009,1,3,8,0,716
Winona,2009,1,3,9,0,699
Winona,2009,1,3,10,0,686
Winona,2009,1,3,11,0,660
Winona,2009,1,3,12,0,633
Winona,2009,1,3,13,0,656
Winona,2009,1,3,14,0,643
Winona,2009,1,3,15,0,631
Winona,2009,1,3,16,0,672
Winona,2009,1,3,17,0,749
Winona,2009,1,3,18,0,775
Winona,2009,1,3,19,0,750
Winona,2009,1,3,20,0,739
Winona,2009,1,3,21,0,687
Winona,2009,1,3,22,0,683
Winona,2009,1,3,23,0,598
Winona,2009,1,4,0,0,535
Winona,2009,1,4,1,0,520
Winona,2009,1,4,2,0,502
Winona,2009,1,4,3,0,505
Winona,2009,1,4,4,0,514
Winona,2009,1,4,5,0,579
Winona,2009,1,4,6,0,681
Winona,2009,1,4,7,0,728
Winona,2009,1,4,8,0,698
Winona,2009,1,4,9,0,648
Winona,2009,1,4,10,0,670
Winona,2009,1,4,11,0,658
Winona,2009,1,4,12,0,622
Winona,2009,1,4,13,0,647
Winona,2009,1,4,14,0,651
Winona,2009,1,4,15,0,642
Winona,2009,1,4,16,0,695
Winona,2009,1,4,17,0,785
Winona,2009,1,4,18,0,797
Winona,2009,1,4,19,0,766
Winona,2009,1,4,20,0,719
Winona,2009,1,4,21,0,724
Winona,2009,1,4,22,0,676
Winona,2009,1,4,23,0,641
Winona,2009,1,5,0,0,566
Winona,2009,1,5,1,0,545
Winona,2009,1,5,2,0,530
Winona,2009,1,5,3,0,530
Winona,2009,1,5,4,0,559
Winona,2009,1,5,5,0,630
Winona,2009,1,5,6,0,721
Winona,2009,1,5,7,0,754
Winona,2009,1,5,8,0,697
Winona,2009,1,5,9,0,707
